f_hz,C1_corr_200_220,n_propagating,n_eff_0p2,phys_D_200_220,phys_D_200_210,max_k_r,kr_max_allowed
201.0,0.579,1206,105,0.9420337687664633,0.9161837689908995,0.8418808171562576,0.8419468311620646
235.0,0.994,1436,101,0.9390570173699108,0.93475526479214,0.984299680952022,0.9843656981248018
283.0,1.0,1793,104,0.9149688636129663,0.985506316760958,1.1853616076551463,1.1854276279545486
338.0,0.067,2292,99,0.9380293109798903,0.9488637254341699,1.4157450664868356,1.4158110892178002
