f_hz,L_m,kind,z_i,z_j,D_abs
201.0,600.0,ORACLE_FULL_MODE,200,210,0.5648380043967001
201.0,600.0,ORACLE_RESOLUTION_CELL,200,210,0.3386143593913016
201.0,600.0,ORACLE_FULL_MODE,200,220,0.7373059633472282
201.0,600.0,ORACLE_RESOLUTION_CELL,200,220,0.7778125796630755
201.0,1200.0,ORACLE_FULL_MODE,200,210,0.5648380043967001
201.0,1200.0,ORACLE_RESOLUTION_CELL,200,210,0.3386143593913016
201.0,1200.0,ORACLE_FULL_MODE,200,220,0.7373059633472282
201.0,1200.0,ORACLE_RESOLUTION_CELL,200,220,0.7778125796630755
201.0,2400.0,ORACLE_FULL_MODE,200,210,0.5648380043967001
201.0,2400.0,ORACLE_RESOLUTION_CELL,200,210,0.3386143593913016
201.0,2400.0,ORACLE_FULL_MODE,200,220,0.7373059633472282
201.0,2400.0,ORACLE_RESOLUTION_CELL,200,220,0.7778125796630755
235.0,600.0,ORACLE_FULL_MODE,200,210,0.5554371658852768
235.0,600.0,ORACLE_RESOLUTION_CELL,200,210,0.31564569114336294
235.0,600.0,ORACLE_FULL_MODE,200,220,0.7247214592121669
235.0,600.0,ORACLE_RESOLUTION_CELL,200,220,0.6827814817106119
235.0,1200.0,ORACLE_FULL_MODE,200,210,0.5554371658852768
235.0,1200.0,ORACLE_RESOLUTION_CELL,200,210,0.31564569114336294
235.0,1200.0,ORACLE_FULL_MODE,200,220,0.7247214592121669
235.0,1200.0,ORACLE_RESOLUTION_CELL,200,220,0.6827814817106119
235.0,2400.0,ORACLE_FULL_MODE,200,210,0.5554371658852768
235.0,2400.0,ORACLE_RESOLUTION_CELL,200,210,0.31564569114336294
235.0,2400.0,ORACLE_FULL_MODE,200,220,0.7247214592121669
235.0,2400.0,ORACLE_RESOLUTION_CELL,200,220,0.6827814817106119
283.0,600.0,ORACLE_FULL_MODE,200,210,0.5947246328032814
283.0,600.0,ORACLE_RESOLUTION_CELL,200,210,0.3644427269173016
283.0,600.0,ORACLE_FULL_MODE,200,220,0.7297763446224043
283.0,600.0,ORACLE_RESOLUTION_CELL,200,220,0.7625360415655884
283.0,1200.0,ORACLE_FULL_MODE,200,210,0.5947246328032814
283.0,1200.0,ORACLE_RESOLUTION_CELL,200,210,0.3644427269173016
283.0,1200.0,ORACLE_FULL_MODE,200,220,0.7297763446224043
283.0,1200.0,ORACLE_RESOLUTION_CELL,200,220,0.7625360415655884
283.0,2400.0,ORACLE_FULL_MODE,200,210,0.5947246328032814
283.0,2400.0,ORACLE_RESOLUTION_CELL,200,210,0.3644427269173016
283.0,2400.0,ORACLE_FULL_MODE,200,220,0.7297763446224043
283.0,2400.0,ORACLE_RESOLUTION_CELL,200,220,0.7625360415655884
338.0,600.0,ORACLE_FULL_MODE,200,210,0.6145236799658161
338.0,600.0,ORACLE_RESOLUTION_CELL,200,210,0.2746638516944715
338.0,600.0,ORACLE_FULL_MODE,200,220,0.7608003439326413
338.0,600.0,ORACLE_RESOLUTION_CELL,200,220,0.6615369077845666
338.0,1200.0,ORACLE_FULL_MODE,200,210,0.6145236799658161
338.0,1200.0,ORACLE_RESOLUTION_CELL,200,210,0.2746638516944715
338.0,1200.0,ORACLE_FULL_MODE,200,220,0.7608003439326413
338.0,1200.0,ORACLE_RESOLUTION_CELL,200,220,0.6615369077845666
338.0,2400.0,ORACLE_FULL_MODE,200,210,0.6145236799658161
338.0,2400.0,ORACLE_RESOLUTION_CELL,200,210,0.2746638516944715
338.0,2400.0,ORACLE_FULL_MODE,200,220,0.7608003439326413
338.0,2400.0,ORACLE_RESOLUTION_CELL,200,220,0.6615369077845666
