f_hz,L_m,kind,z_i,z_j,n_modes,D_abs
201.0,600.0,ORACLE_FULL_MODE,180,190,105,0.8531773256232478
201.0,600.0,ORACLE_FULL_MODE,190,200,105,0.8588591730050525
201.0,600.0,ORACLE_FULL_MODE,200,210,105,0.9120427488219505
201.0,600.0,ORACLE_FULL_MODE,210,220,105,0.8809448363290298
201.0,600.0,ORACLE_FULL_MODE,180,200,105,0.9208873734899795
201.0,600.0,ORACLE_FULL_MODE,200,220,105,0.9537546657502132
201.0,1200.0,ORACLE_FULL_MODE,180,190,105,0.8531773256232478
201.0,1200.0,ORACLE_FULL_MODE,190,200,105,0.8588591730050525
201.0,1200.0,ORACLE_FULL_MODE,200,210,105,0.9120427488219505
201.0,1200.0,ORACLE_FULL_MODE,210,220,105,0.8809448363290298
201.0,1200.0,ORACLE_FULL_MODE,180,200,105,0.9208873734899795
201.0,1200.0,ORACLE_FULL_MODE,200,220,105,0.9537546657502132
201.0,2400.0,ORACLE_FULL_MODE,180,190,105,0.8531773256232478
201.0,2400.0,ORACLE_FULL_MODE,190,200,105,0.8588591730050525
201.0,2400.0,ORACLE_FULL_MODE,200,210,105,0.9120427488219505
201.0,2400.0,ORACLE_FULL_MODE,210,220,105,0.8809448363290298
201.0,2400.0,ORACLE_FULL_MODE,180,200,105,0.9208873734899795
201.0,2400.0,ORACLE_FULL_MODE,200,220,105,0.9537546657502132
235.0,600.0,ORACLE_FULL_MODE,180,190,97,0.9248993407617917
235.0,600.0,ORACLE_FULL_MODE,190,200,97,0.906473296198562
235.0,600.0,ORACLE_FULL_MODE,200,210,97,0.8958327183582544
235.0,600.0,ORACLE_FULL_MODE,210,220,97,0.844716826084521
235.0,600.0,ORACLE_FULL_MODE,180,200,97,0.9626150519573324
235.0,600.0,ORACLE_FULL_MODE,200,220,97,0.9213663436587511
235.0,1200.0,ORACLE_FULL_MODE,180,190,97,0.9248993407617917
235.0,1200.0,ORACLE_FULL_MODE,190,200,97,0.906473296198562
235.0,1200.0,ORACLE_FULL_MODE,200,210,97,0.8958327183582544
235.0,1200.0,ORACLE_FULL_MODE,210,220,97,0.844716826084521
235.0,1200.0,ORACLE_FULL_MODE,180,200,97,0.9626150519573324
235.0,1200.0,ORACLE_FULL_MODE,200,220,97,0.9213663436587511
235.0,2400.0,ORACLE_FULL_MODE,180,190,97,0.9248993407617917
235.0,2400.0,ORACLE_FULL_MODE,190,200,97,0.906473296198562
235.0,2400.0,ORACLE_FULL_MODE,200,210,97,0.8958327183582544
235.0,2400.0,ORACLE_FULL_MODE,210,220,97,0.844716826084521
235.0,2400.0,ORACLE_FULL_MODE,180,200,97,0.9626150519573324
235.0,2400.0,ORACLE_FULL_MODE,200,220,97,0.9213663436587511
283.0,600.0,ORACLE_FULL_MODE,180,190,98,0.907802687226015
283.0,600.0,ORACLE_FULL_MODE,190,200,98,0.9748269347984075
283.0,600.0,ORACLE_FULL_MODE,200,210,98,0.9583190386575673
283.0,600.0,ORACLE_FULL_MODE,210,220,98,0.93335445316627
283.0,600.0,ORACLE_FULL_MODE,180,200,98,0.9042713350628291
283.0,600.0,ORACLE_FULL_MODE,200,220,98,0.9113628936650909
283.0,1200.0,ORACLE_FULL_MODE,180,190,98,0.907802687226015
283.0,1200.0,ORACLE_FULL_MODE,190,200,98,0.9748269347984075
283.0,1200.0,ORACLE_FULL_MODE,200,210,98,0.9583190386575673
283.0,1200.0,ORACLE_FULL_MODE,210,220,98,0.93335445316627
283.0,1200.0,ORACLE_FULL_MODE,180,200,98,0.9042713350628291
283.0,1200.0,ORACLE_FULL_MODE,200,220,98,0.9113628936650909
283.0,2400.0,ORACLE_FULL_MODE,180,190,98,0.907802687226015
283.0,2400.0,ORACLE_FULL_MODE,190,200,98,0.9748269347984075
283.0,2400.0,ORACLE_FULL_MODE,200,210,98,0.9583190386575673
283.0,2400.0,ORACLE_FULL_MODE,210,220,98,0.93335445316627
283.0,2400.0,ORACLE_FULL_MODE,180,200,98,0.9042713350628291
283.0,2400.0,ORACLE_FULL_MODE,200,220,98,0.9113628936650909
338.0,600.0,ORACLE_FULL_MODE,180,190,95,0.9207480409158543
338.0,600.0,ORACLE_FULL_MODE,190,200,95,0.9855098789767597
338.0,600.0,ORACLE_FULL_MODE,200,210,95,0.9891407076599973
338.0,600.0,ORACLE_FULL_MODE,210,220,95,0.9383476323357731
338.0,600.0,ORACLE_FULL_MODE,180,200,95,0.9430264024989803
338.0,600.0,ORACLE_FULL_MODE,200,220,95,0.9450344128210538
338.0,1200.0,ORACLE_FULL_MODE,180,190,95,0.9207480409158543
338.0,1200.0,ORACLE_FULL_MODE,190,200,95,0.9855098789767597
338.0,1200.0,ORACLE_FULL_MODE,200,210,95,0.9891407076599973
338.0,1200.0,ORACLE_FULL_MODE,210,220,95,0.9383476323357731
338.0,1200.0,ORACLE_FULL_MODE,180,200,95,0.9430264024989803
338.0,1200.0,ORACLE_FULL_MODE,200,220,95,0.9450344128210538
338.0,2400.0,ORACLE_FULL_MODE,180,190,95,0.9207480409158543
338.0,2400.0,ORACLE_FULL_MODE,190,200,95,0.9855098789767597
338.0,2400.0,ORACLE_FULL_MODE,200,210,95,0.9891407076599973
338.0,2400.0,ORACLE_FULL_MODE,210,220,95,0.9383476323357731
338.0,2400.0,ORACLE_FULL_MODE,180,200,95,0.9430264024989803
338.0,2400.0,ORACLE_FULL_MODE,200,220,95,0.9450344128210538
