f_hz,C1_corr_200_220,D_obs_coh_200_220,D_obs_energy_200_220,D_oracle_cluster_200_220,D_oracle_mode_200_220,n_clusters_observed,n_resolved_cluster,n_resolved_single
201.0,0.579,0.0,0.0,0.2717962905525412,0.44387361544637094,1.0,0.0,1.0
235.0,0.994,0.0,0.0,0.01610244554634843,0.4453940574279469,1.0,0.0,1.0
283.0,1.0,0.0,0.0,0.013500351330909877,0.46074038348081825,1.0,0.0,1.0
338.0,0.067,0.0,0.0,0.025454120501299582,0.49012941168830504,1.0,0.0,1.0
