f_hz,z_i,z_j,n_modes,corr,D_abs,metric
201.0,180,190,8,0.8627554022246455,0.13724459777535447,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
201.0,190,200,8,0.6474017879799385,0.3525982120200615,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
201.0,200,210,8,0.6186342174226105,0.3813657825773895,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
201.0,210,220,8,0.8227515999656774,0.17724840003432263,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
201.0,180,200,8,0.8165704816173417,0.1834295183826583,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
201.0,200,220,8,0.7779187151321405,0.2220812848678595,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
235.0,180,190,14,0.7052632121454896,0.2947367878545104,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
235.0,190,200,14,0.5689682680767162,0.4310317319232838,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
235.0,200,210,14,0.5831302599615527,0.41686974003844735,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
235.0,210,220,14,0.771162258084174,0.22883774191582595,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
235.0,180,200,14,0.5607643739520423,0.43923562604795774,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
235.0,200,220,14,0.5762897663642788,0.42371023363572125,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
283.0,180,190,12,0.756824349906688,0.243175650093312,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
283.0,190,200,12,0.6976329497231266,0.3023670502768734,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
283.0,200,210,12,0.7141713615600893,0.2858286384399107,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
283.0,210,220,12,0.7871341044366451,0.2128658955633549,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
283.0,180,200,12,0.5116428308117631,0.4883571691882369,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
283.0,200,220,12,0.5222291253227597,0.47777087467724033,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
338.0,180,190,13,0.6572326544247715,0.3427673455752285,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
338.0,190,200,13,0.5607642214326928,0.4392357785673072,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
338.0,200,210,13,0.6381660812605279,0.3618339187394721,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
338.0,210,220,13,0.651890730724914,0.348109269275086,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
338.0,180,200,13,0.32989729760815967,0.6701027023918403,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
338.0,200,220,13,0.3288958249758318,0.6711041750241682,phi_m(z) unit vectors on effective modes (Yang estimator NOT built)
