f_hz,L_m,kind,z_i,z_j,n_modes,D_abs
201.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,180,190,0,
201.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,190,200,0,
201.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,200,210,0,
201.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,210,220,0,
201.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,180,200,0,
201.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,200,220,0,
201.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,180,190,1,0.0
201.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,190,200,1,0.0
201.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,200,210,1,0.0
201.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,210,220,1,0.0
201.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,180,200,1,0.0
201.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,200,220,1,0.0
201.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,180,190,1,0.0
201.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,190,200,1,0.0
201.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,200,210,1,0.0
201.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,210,220,1,0.0
201.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,180,200,1,0.0
201.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,200,220,1,0.0
235.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,180,190,0,
235.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,190,200,0,
235.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,200,210,0,
235.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,210,220,0,
235.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,180,200,0,
235.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,200,220,0,
235.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,180,190,1,0.0
235.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,190,200,1,0.0
235.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,200,210,1,0.0
235.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,210,220,1,0.0
235.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,180,200,1,0.0
235.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,200,220,1,0.0
235.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,180,190,1,0.0
235.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,190,200,1,0.0
235.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,200,210,1,0.0
235.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,210,220,1,0.0
235.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,180,200,1,0.0
235.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,200,220,1,0.0
