cluster_id_4001,cluster_id_8001,k_center_4001,k_center_8001,k_span_4001,k_span_over_dkr,n_modes_4001,n_modes_8001,E_C_norm_4001,E_C_norm_8001,principal_angle_max_deg,subspace_overlap,cluster_converged,delta_k_center,converged_energy_fraction,f_hz,alpha
0,0,0.740110476307754,0.7415638586820101,0.0,0.0,1,1,0.0035834130185803384,0.0035893248213330546,46.77190130530908,0.6849045205536384,False,0.0014533823742561847,0.9173634750960715,201.0,0.5
1,1,0.7481027040457595,0.7493875903817838,0.0004029142041829248,0.15390188937035928,2,2,0.007391214979034924,0.007418579153593539,67.46588081586671,0.3832335274448184,False,0.0012848863360243046,0.9173634750960715,201.0,0.5
2,2,0.7560187580950457,0.7569571832923107,0.000388695577476339,0.14847077403196351,2,3,0.007712012220023507,0.011313855024112097,51.404977623914995,0.6238116990402099,False,0.0009384251972649471,0.9173634750960715,201.0,0.5
3,3,0.7634630906625874,0.7640878503941838,0.00074967738345455,0.2863556671223758,3,3,0.011751544669601576,0.01171796813535188,38.000847018638105,0.7880016520344527,False,0.0006247597315963693,0.9173634750960715,201.0,0.5
4,4,0.7702755860247721,0.7709755138666275,0.001084985074607081,0.41443377073114995,4,3,0.015839059825172194,0.012277892269314928,85.79860092812024,0.07326254994037057,False,0.0006999278418554633,0.9173634750960715,201.0,0.5
5,5,0.7768441520342074,0.7774464003369539,0.0006968324949556681,0.26617040659020674,3,4,0.012817348967686134,0.016519784819036258,28.143014120286345,0.8817730109352866,False,0.0006022483027464665,0.9173634750960715,201.0,0.5
6,6,0.7831662933672365,0.7835173286817003,0.0010051764659589901,0.38394912776883733,4,4,0.017077335686714306,0.01723048552355889,23.901785407385805,0.9142413300772303,True,0.0003510353144637879,0.9173634750960715,201.0,0.5
7,7,0.788756979244882,0.7890441882392738,0.0009679283017257623,0.36972137706767666,4,4,0.01804683810924745,0.017946723365754223,20.21225489134234,0.9384191460815327,True,0.0002872089943918299,0.9173634750960715,201.0,0.5
8,8,0.7941351056071575,0.7945199219732973,0.0009301305157195516,0.35528368631371327,4,5,0.018906505928003053,0.022477093000553505,16.841042446192542,0.9571122109999097,True,0.0003848163661398507,0.9173634750960715,201.0,0.5
9,9,0.7991481163741811,0.7994809213474353,0.0011903468997110922,0.45467902339951904,5,4,0.02354193122382983,0.0198866976029902,89.98274850643743,0.0003010953590039836,False,0.0003328049732541638,0.9173634750960715,201.0,0.5
10,10,0.8038110791791027,0.8039574726340272,0.0011409359035611244,0.4358054131266503,5,5,0.024677418953218237,0.024585014526268177,11.326711614937677,0.9805232007872959,True,0.0001463934549245094,0.9173634750960715,201.0,0.5
11,11,0.8082737727684671,0.8083872340926346,0.0010901598567382154,0.4164103919045747,5,5,0.026201916453238994,0.026189894441427497,9.049080834467752,0.9875539729984311,True,0.00011346132416745203,0.9173634750960715,201.0,0.5
12,12,0.8122702072256518,0.8123576425915949,0.001040993958407399,0.3976304021024075,5,5,0.02774527062581776,0.027725228965532377,7.175852096879114,0.9921674361956732,True,8.743536594313372e-05,0.9173634750960715,201.0,0.5
13,13,0.8158309049995343,0.8158979303762528,0.0009933868899760778,0.3794458414617062,5,5,0.029247620254048444,0.029239390316070046,5.650823505686784,0.9951404487604794,True,6.702537671854358e-05,0.9173634750960715,201.0,0.5
14,14,0.8192214479810266,0.8192714896371364,0.0009436810303241616,0.3604596016275435,5,5,0.03143984612185535,0.03143335129418331,4.335191313619674,0.9971388931797788,True,5.004165610977829e-05,0.9173634750960715,201.0,0.5
15,15,0.82221020466464,0.8222472723796063,0.0008951276658937246,0.34191358254071247,5,5,0.03351002470943922,0.03354040656144754,3.2949074594119705,0.9983469290534523,True,3.7067714966254606e-05,0.9173634750960715,201.0,0.5
16,16,0.8250364876012695,0.8250630214715015,0.0008435615692496956,0.3222167845162686,5,5,0.03641656933897909,0.036341575384911666,2.422822834667492,0.9991060703537546,True,2.653387023199283e-05,0.9173634750960715,201.0,0.5
17,17,0.827391685895058,0.8273120760187342,0.0009932317353168463,0.3793865767474011,6,5,0.042469476187245656,0.038871710985193327,1.811043953849065,0.9995004872687459,True,7.96098763237163e-05,0.9173634750960715,201.0,0.5
18,18,0.8294152708906533,0.8294288482713934,0.0007461084195534706,0.2849924233305998,5,5,0.04277317445208061,0.04284188205239006,1.3096533182105163,0.9997387727216794,True,1.357738074014847e-05,0.9173634750960715,201.0,0.5
19,19,0.8312178926255431,0.8312273350036012,0.0006950572994608439,0.26549233185911303,5,5,0.04698890228168068,0.04703090928963357,0.9445660555203425,0.9998641124801079,True,9.44237805811099e-06,0.9173634750960715,201.0,0.5
20,20,0.8328801837725234,0.8328864439677323,0.001258695975214441,0.48078644713260504,6,6,0.056194987607703396,0.056425202624266396,0.8751286651904823,0.9998833566146992,True,6.260195208884767e-06,0.9173634750960715,201.0,0.5
21,21,0.8343764562287058,0.8343803234596016,0.0011193559572143519,0.42756248080805814,6,6,0.0976149297466344,0.09737954232170155,0.7373610649988303,0.9999171906932326,True,3.8672308957377055e-06,0.9173634750960715,201.0,0.5
22,22,0.8359620039053097,0.835964109484808,0.0012238418943730789,0.46747316892581947,9,9,0.36214499982237663,0.36222138115539226,0.6534206830925482,0.9999349711929205,True,2.105579498312693e-06,0.9173634750960715,201.0,0.5
23,23,0.8366563132639958,0.8366579540240296,0.0,0.0,1,1,0.005907658817788338,0.005796106365983516,0.44197111836347813,0.9999702483972503,True,1.6407600338386175e-06,0.9173634750960715,201.0,0.5
0,0,0.740110476307754,0.7415638586820101,0.0,0.0,1,1,0.0035834130185803384,0.0035893248213330546,46.77190130530908,0.6849045205536384,False,0.0014533823742561847,0.8430706772675494,201.0,1.0
1,1,0.7481027040457595,0.7493875903817838,0.0004029142041829248,0.15390188937035928,2,2,0.007391214979034924,0.007418579153593539,67.46588081586671,0.3832335274448184,False,0.0012848863360243046,0.8430706772675494,201.0,1.0
2,2,0.7560187580950457,0.7569571832923107,0.000388695577476339,0.14847077403196351,2,3,0.007712012220023507,0.011313855024112097,51.404977623914995,0.6238116990402099,False,0.0009384251972649471,0.8430706772675494,201.0,1.0
3,3,0.7634630906625874,0.7640878503941838,0.00074967738345455,0.2863556671223758,3,3,0.011751544669601576,0.01171796813535188,38.000847018638105,0.7880016520344527,False,0.0006247597315963693,0.8430706772675494,201.0,1.0
4,4,0.7702755860247721,0.7709755138666275,0.001084985074607081,0.41443377073114995,4,3,0.015839059825172194,0.012277892269314928,85.79860092812024,0.07326254994037057,False,0.0006999278418554633,0.8430706772675494,201.0,1.0
5,5,0.7768441520342074,0.7774464003369539,0.0006968324949556681,0.26617040659020674,3,4,0.012817348967686134,0.016519784819036258,28.143014120286345,0.8817730109352866,False,0.0006022483027464665,0.8430706772675494,201.0,1.0
6,6,0.7831662933672365,0.7835173286817003,0.0010051764659589901,0.38394912776883733,4,4,0.017077335686714306,0.01723048552355889,23.901785407385805,0.9142413300772303,True,0.0003510353144637879,0.8430706772675494,201.0,1.0
7,7,0.788756979244882,0.7890441882392738,0.0009679283017257623,0.36972137706767666,4,4,0.01804683810924745,0.017946723365754223,20.21225489134234,0.9384191460815327,True,0.0002872089943918299,0.8430706772675494,201.0,1.0
8,8,0.7941351056071575,0.7945199219732973,0.0009301305157195516,0.35528368631371327,4,5,0.018906505928003053,0.022477093000553505,16.841042446192542,0.9571122109999097,True,0.0003848163661398507,0.8430706772675494,201.0,1.0
