cluster_id_4001,cluster_id_8001,k_center_4001,k_center_8001,k_span_4001,k_span_8001,n_modes_4001,n_modes_8001,principal_angle_max_deg,subspace_overlap,cluster_converged,E_C_norm_4001,E_C_norm_8001,delta_k_center,f_hz,L_m,alpha
0,0,0.8180512748690772,0.8162391625873295,0.05399297108543921,0.059727102905218765,90,93,89.99999052254996,1.654127077479616e-07,False,0.9409054063199014,0.9536823805962944,0.001812112281747713,201.0,600.0,0.5
1,1,0.7768441520342074,0.7709755138666275,0.0006968324949556681,0.0007121668946057369,3,3,89.9999989688973,1.7996137041931597e-08,False,0.01281734896768613,0.012277892269314928,0.005868638167579876,201.0,600.0,0.5
2,2,0.7702755860247721,0.7640878503941838,0.001084985074607081,0.0007378341317701986,4,3,89.9999992305984,1.3428591141127992e-08,False,0.01583905982517219,0.01171796813535188,0.006187735630588276,201.0,600.0,0.5
3,3,0.7634630906625874,0.7569571832923107,0.00074967738345455,0.0007633379697934428,3,3,89.99999808614238,3.3403116681450356e-08,False,0.011751544669601573,0.011313855024112099,0.006505907370276787,201.0,600.0,0.5
4,4,0.7560187580950457,0.7493875903817838,0.000388695577476339,0.00039470868658852964,2,2,89.99999669727568,5.764341365983096e-08,False,0.007712012220023506,0.007418579153593539,0.006631167713261887,201.0,600.0,0.5
5,5,0.7481027040457595,0.7415638586820101,0.0004029142041829248,0.0,2,1,89.99741070901803,4.5191652912226e-05,False,0.007391214979034923,0.0035893248213330546,0.006538845363749379,201.0,600.0,0.5
0,0,0.8102380210571026,0.809777550502158,0.09654583695624186,0.09509409534201951,105,105,89.98900428239432,0.00019191147466062196,False,1.0,1.0,0.0004604705549445809,201.0,600.0,1.0
0,0,0.8102380210571026,0.809777550502158,0.09654583695624186,0.09509409534201951,105,105,89.98900428239432,0.00019191147466062196,False,1.0,1.0,0.0004604705549445809,201.0,600.0,1.5
0,0,0.8270510537100176,0.8270639293983936,0.024907437145124445,0.02481844821305179,63,62,7.336414427295417,0.9918134861476964,True,0.8124534599656495,0.8088466873167057,1.2875688375935113e-05,201.0,1200.0,0.5
1,1,0.8082737727684671,0.8083872340926345,0.0010901598567382154,0.0010826128257359624,5,5,9.049080834467711,0.9875539729984312,True,0.026201916453238994,0.0261898944414275,0.000113461324167341,201.0,1200.0,0.5
2,2,0.8038110791791029,0.8039574726340272,0.0011409359035611244,0.0011319971924197425,5,5,11.326711614937516,0.9805232007872965,True,0.024677418953218237,0.02458501452626818,0.00014639345492428735,201.0,1200.0,0.5
3,3,0.7991481163741811,0.7994809213474353,0.0011903468997110922,0.0008838147760057424,5,4,59.877969400330805,0.5018433564233244,False,0.023541931223829835,0.0198866976029902,0.0003328049732541638,201.0,1200.0,0.5
4,4,0.7941351056071575,0.7945199219732972,0.0009301305157195516,0.001226590844132347,4,5,58.78878602648844,0.518194411993213,False,0.018906505928003053,0.022477093000553505,0.0003848163661397397,201.0,1200.0,0.5
