f_hz,C1_corr_200_220,C1_D_abs_implied,n_eff_modes_A0p1,n_eff_modes_A0p2,n_resolvable_eta_L2p4km,median_eta_L2p4km,mode_D_200_220,mode_D_200_210
201.0,0.579,0.42100000000000004,12,9,0,0.010103545905451872,0.038383849900157196,0.009785070910355631
235.0,0.994,0.006000000000000005,12,9,0,0.008641199921655424,0.038383849900157196,0.009785070910355631
283.0,1.0,0.0,12,9,0,0.007175163875746982,0.038383849900157196,0.009785070910355631
338.0,0.067,0.933,12,9,0,0.0060073903619389055,0.038383849900157196,0.009785070910355631
