f_hz,L_m,cluster_id,k_center,n_modes,E_C,E_C_norm
201.0,600.0,0,0.8102380210571026,105,6.755197429339082e-05,1.0
201.0,1200.0,0,0.8180512748690772,90,6.356001782023443e-05,0.9409054063199014
201.0,1200.0,1,0.7768441520342074,3,8.65837227974553e-07,0.01281734896768613
201.0,1200.0,2,0.7702755860247721,4,1.0699597621415113e-06,0.01583905982517219
201.0,1200.0,3,0.7634630906625874,3,7.938400434285595e-07,0.011751544669601573
201.0,1200.0,4,0.7560187580950457,2,5.209616512373438e-07,0.007712012220023506
201.0,1200.0,5,0.7481027040457595,2,4.992911642606923e-07,0.007391214979034923
201.0,1200.0,6,0.740110476307754,1,2.42066624113741e-07,0.0035834130185803375
201.0,2400.0,0,0.8270510537100176,63,5.488283524217598e-05,0.8124534599656495
201.0,2400.0,1,0.8082737727684671,5,1.7699911866867743e-06,0.026201916453238994
201.0,2400.0,2,0.8038110791791029,5,1.6670083707550337e-06,0.024677418953218237
201.0,2400.0,3,0.7991481163741811,5,1.5903039328489277e-06,0.023541931223829835
201.0,2400.0,4,0.7941351056071575,4,1.2771718024263034e-06,0.018906505928003053
201.0,2400.0,5,0.788756979244882,4,1.2190995440328695e-06,0.01804683810924745
201.0,2400.0,6,0.7831662933672365,4,1.1536077413085304e-06,0.017077335686714306
201.0,2400.0,7,0.7768441520342074,3,8.65837227974553e-07,0.012817348967686134
201.0,2400.0,8,0.7702755860247721,4,1.0699597621415113e-06,0.015839059825172194
201.0,2400.0,9,0.7634630906625874,3,7.938400434285595e-07,0.011751544669601576
201.0,2400.0,10,0.7560187580950457,2,5.209616512373438e-07,0.007712012220023507
201.0,2400.0,11,0.7481027040457595,2,4.992911642606923e-07,0.007391214979034924
201.0,2400.0,12,0.740110476307754,1,2.42066624113741e-07,0.0035834130185803384
235.0,600.0,0,0.9551101108300439,97,7.315397651696052e-05,1.0
235.0,1200.0,0,0.9578528540641983,92,7.170350075267857e-05,0.9801722909219344
235.0,1200.0,1,0.9098055100052878,2,5.974000225103205e-07,0.008166336964222516
235.0,1200.0,2,0.9034501600899365,2,5.744355748247401e-07,0.007852417628883907
235.0,1200.0,3,0.896706836417571,1,2.78640166946875e-07,0.003808954484959176
235.0,2400.0,0,0.968272749561949,63,6.160534674987426e-05,0.8421325768338959
235.0,2400.0,1,0.9500201110967212,4,1.6073696569240707e-06,0.021972416722300905
235.0,2400.0,2,0.9460407949455036,4,1.5230488262230964e-06,0.020819768093809397
235.0,2400.0,3,0.941903255914369,4,1.441454158373418e-06,0.019704385557758733
235.0,2400.0,4,0.9373198108058227,4,1.3809215827504156e-06,0.01887691754432862
235.0,2400.0,5,0.9324133859811855,3,1.0334574978973033e-06,0.014127154081059416
235.0,2400.0,6,0.9273272060118519,4,1.2645042049730945e-06,0.017285515636732657
235.0,2400.0,7,0.9217401598223928,3,9.462799571849568e-07,0.012935454806965481
235.0,2400.0,8,0.9161246663318843,3,9.011181184779625e-07,0.012318101645083384
235.0,2400.0,9,0.9098055100052878,2,5.974000225103205e-07,0.008166336964222516
235.0,2400.0,10,0.9034501600899365,2,5.744355748247401e-07,0.007852417628883907
235.0,2400.0,11,0.896706836417571,1,2.78640166946875e-07,0.003808954484959176
283.0,600.0,0,1.155961510025922,98,8.405435838505817e-05,1.0
283.0,1200.0,0,1.1570261497952363,96,8.342556575684253e-05,0.9925192144667251
283.0,1200.0,1,1.1048588010988327,2,6.287926282156461e-07,0.007480785533274889
283.0,2400.0,0,1.1673914288957985,67,7.265832411708455e-05,0.864420661974865
283.0,2400.0,1,1.1476323400015311,4,1.6694519528367896e-06,0.019861575115342946
283.0,2400.0,2,1.143777050602202,4,1.5985004388863005e-06,0.019017460481507355
283.0,2400.0,3,1.1397841728213214,4,1.5254447487905883e-06,0.018148312331437138
283.0,2400.0,4,1.1356568214670841,4,1.4707987138083503e-06,0.017498185008688435
283.0,2400.0,5,1.1312535519905904,3,1.1022160301144785e-06,0.013113133587495357
283.0,2400.0,6,1.126562915424543,3,1.0547319500071603e-06,0.012548212493341133
283.0,2400.0,7,1.1214199660656836,3,1.0216478993280138e-06,0.01215460945698713
283.0,2400.0,8,1.1162735826228332,2,6.758867940285771e-07,0.00804106779249088
283.0,2400.0,9,1.1108133195337546,2,6.485631119577416e-07,0.007715996224569748
283.0,2400.0,10,1.1048588010988327,2,6.287926282156461e-07,0.007480785533274887
338.0,600.0,0,1.3875533807275677,95,9.435587320354262e-05,1.0
338.0,1200.0,0,1.3875533807275677,95,9.435587320354262e-05,1.0
338.0,2400.0,0,1.3958352498723987,72,8.494920071030688e-05,0.9003064443805862
338.0,2400.0,1,1.3747071718099315,3,1.401359990354863e-06,0.01485185757681323
338.0,2400.0,2,1.3712263342759379,3,1.3394579561406852e-06,0.014195809022414884
338.0,2400.0,3,1.3675094939310866,4,1.6269069900229772e-06,0.017242244014990415
338.0,2400.0,4,1.3636817803796217,3,1.2254613846571507e-06,0.01298765347667982
338.0,2400.0,5,1.3594693301999135,2,8.197025476280167e-07,0.008687350556968199
338.0,2400.0,6,1.3551339665453288,3,1.1442870454576076e-06,0.01212735367293114
338.0,2400.0,7,1.3506778629928067,2,7.590701032998337e-07,0.008044757337599778
338.0,2400.0,8,1.3459526051430468,2,7.300781496074235e-07,0.007737495556132614
338.0,2400.0,9,1.3409478468778948,1,3.6034832606718304e-07,0.003819034404883804
