f_hz,L_m,kind,z_i,z_j,n_modes,D_abs
201.0,600.0,ACTUALLY_RECOVERED_ONLY,180,190,1,3.673505943879718e-12
201.0,600.0,ACTUALLY_RECOVERED_ONLY,190,200,1,4.6849191193132356e-12
201.0,600.0,ACTUALLY_RECOVERED_ONLY,200,210,1,7.526534950841324e-12
201.0,600.0,ACTUALLY_RECOVERED_ONLY,210,220,1,1.582678432754392e-11
201.0,600.0,ACTUALLY_RECOVERED_ONLY,180,200,1,5.9470206537071135e-12
201.0,600.0,ACTUALLY_RECOVERED_ONLY,200,220,1,1.5258683205843226e-11
201.0,1200.0,ACTUALLY_RECOVERED_ONLY,180,190,4,0.897047063116533
201.0,1200.0,ACTUALLY_RECOVERED_ONLY,190,200,4,0.29387331401804073
201.0,1200.0,ACTUALLY_RECOVERED_ONLY,200,210,4,0.8847274145087975
201.0,1200.0,ACTUALLY_RECOVERED_ONLY,210,220,4,0.46167858436535736
201.0,1200.0,ACTUALLY_RECOVERED_ONLY,180,200,4,0.3785500920017304
201.0,1200.0,ACTUALLY_RECOVERED_ONLY,200,220,4,0.22519755990446377
201.0,2400.0,ACTUALLY_RECOVERED_ONLY,180,190,9,0.7531536414873021
201.0,2400.0,ACTUALLY_RECOVERED_ONLY,190,200,9,0.5430726520326048
201.0,2400.0,ACTUALLY_RECOVERED_ONLY,200,210,9,0.5488327521567405
201.0,2400.0,ACTUALLY_RECOVERED_ONLY,210,220,9,0.4642658761709506
201.0,2400.0,ACTUALLY_RECOVERED_ONLY,180,200,9,0.26560979177303234
201.0,2400.0,ACTUALLY_RECOVERED_ONLY,200,220,9,0.5400114798268866
235.0,600.0,ACTUALLY_RECOVERED_ONLY,180,190,1,3.852473895449293e-13
235.0,600.0,ACTUALLY_RECOVERED_ONLY,190,200,1,4.1022740759899534e-13
235.0,600.0,ACTUALLY_RECOVERED_ONLY,200,210,1,4.0401015866109447e-13
235.0,600.0,ACTUALLY_RECOVERED_ONLY,210,220,1,2.0228263508670352e-13
235.0,600.0,ACTUALLY_RECOVERED_ONLY,180,200,1,4.870548409030562e-13
235.0,600.0,ACTUALLY_RECOVERED_ONLY,200,220,1,3.1030733538273125e-13
235.0,1200.0,ACTUALLY_RECOVERED_ONLY,180,190,1,3.852473895449293e-13
235.0,1200.0,ACTUALLY_RECOVERED_ONLY,190,200,1,4.1022740759899534e-13
235.0,1200.0,ACTUALLY_RECOVERED_ONLY,200,210,1,4.0401015866109447e-13
235.0,1200.0,ACTUALLY_RECOVERED_ONLY,210,220,1,2.0228263508670352e-13
235.0,1200.0,ACTUALLY_RECOVERED_ONLY,180,200,1,4.870548409030562e-13
235.0,1200.0,ACTUALLY_RECOVERED_ONLY,200,220,1,3.1030733538273125e-13
235.0,2400.0,ACTUALLY_RECOVERED_ONLY,180,190,6,0.4366478507444168
235.0,2400.0,ACTUALLY_RECOVERED_ONLY,190,200,6,0.317052550975937
235.0,2400.0,ACTUALLY_RECOVERED_ONLY,200,210,6,0.22105668326307515
235.0,2400.0,ACTUALLY_RECOVERED_ONLY,210,220,6,0.14628082359499006
235.0,2400.0,ACTUALLY_RECOVERED_ONLY,180,200,6,0.8612953371001462
235.0,2400.0,ACTUALLY_RECOVERED_ONLY,200,220,6,0.6016288673301315
283.0,600.0,ACTUALLY_RECOVERED_ONLY,180,190,1,6.039613253960852e-14
283.0,600.0,ACTUALLY_RECOVERED_ONLY,190,200,1,3.852473895449293e-14
283.0,600.0,ACTUALLY_RECOVERED_ONLY,200,210,1,3.752553823233029e-14
283.0,600.0,ACTUALLY_RECOVERED_ONLY,210,220,1,3.9190872769268026e-14
283.0,600.0,ACTUALLY_RECOVERED_ONLY,180,200,1,5.362377208939506e-14
283.0,600.0,ACTUALLY_RECOVERED_ONLY,200,220,1,3.341771304121721e-14
283.0,1200.0,ACTUALLY_RECOVERED_ONLY,180,190,1,6.039613253960852e-14
283.0,1200.0,ACTUALLY_RECOVERED_ONLY,190,200,1,3.852473895449293e-14
283.0,1200.0,ACTUALLY_RECOVERED_ONLY,200,210,1,3.752553823233029e-14
283.0,1200.0,ACTUALLY_RECOVERED_ONLY,210,220,1,3.9190872769268026e-14
283.0,1200.0,ACTUALLY_RECOVERED_ONLY,180,200,1,5.362377208939506e-14
283.0,1200.0,ACTUALLY_RECOVERED_ONLY,200,220,1,3.341771304121721e-14
283.0,2400.0,ACTUALLY_RECOVERED_ONLY,180,190,3,0.21513367415173612
283.0,2400.0,ACTUALLY_RECOVERED_ONLY,190,200,3,0.3551362851814054
283.0,2400.0,ACTUALLY_RECOVERED_ONLY,200,210,3,0.3069278973068922
283.0,2400.0,ACTUALLY_RECOVERED_ONLY,210,220,3,0.2093119303918064
