f_hz,L_m,dr_name,dr_m,status,recovered_k,pred_k_nearest,peak_err,k_nyquist,max_abs_k_r,note
201.0,600.0,lam/8,0.9328358208955224,OK,0.8380186188860362,0.8380451371187719,2.651823273569498e-05,3.367787324648258,0.8569500743160535,
201.0,600.0,lam/4,1.8656716417910448,OK,0.8498154931355418,0.849774684465556,4.0808669985792356e-05,1.683893662324129,0.8569500743160535,
201.0,600.0,lam/2,3.7313432835820897,NYQUIST_EDGE_LIMITED,,,,0.8419468311620645,0.8569500743160535,explicit empty-peak row (lam/2 not silent)
201.0,1200.0,lam/8,0.9328358208955224,OK,0.8380186188860362,0.8380451371187719,2.651823273569498e-05,3.367787324648258,0.8569500743160535,
201.0,1200.0,lam/8,0.9328358208955224,OK,0.8537314679901494,0.8537497734040619,1.8305413912456103e-05,3.367787324648258,0.8569500743160535,
201.0,1200.0,lam/4,1.8656716417910448,OK,0.8380186188860362,0.8380451371187719,2.651823273569498e-05,1.683893662324129,0.8569500743160535,
201.0,1200.0,lam/4,1.8656716417910448,OK,0.8537314679901494,0.8537497734040619,1.8305413912456103e-05,1.683893662324129,0.8569500743160535,
201.0,1200.0,lam/2,3.7313432835820897,NYQUIST_EDGE_LIMITED,,,,0.8419468311620645,0.8569500743160535,explicit empty-peak row (lam/2 not silent)
201.0,2400.0,lam/8,0.9328358208955224,OK,0.8511126598061306,0.8510709397562694,4.172004986124911e-05,3.367787324648258,0.8569500743160535,
201.0,2400.0,lam/8,0.9328358208955224,OK,0.8353998107020174,0.8354726527148717,7.28420128542906e-05,3.367787324648258,0.8569500743160535,
201.0,2400.0,lam/4,1.8656716417910448,OK,0.8511126598061306,0.8510709397562694,4.172004986124911e-05,1.683893662324129,0.8569500743160535,
201.0,2400.0,lam/4,1.8656716417910448,OK,0.8353998107020174,0.8354726527148717,7.28420128542906e-05,1.683893662324129,0.8569500743160535,
201.0,2400.0,lam/2,3.7313432835820897,NYQUIST_EDGE_LIMITED,,,,0.8419468311620645,0.8569500743160535,explicit empty-peak row (lam/2 not silent)
235.0,600.0,lam/8,0.7978723404255319,OK,0.9948376736367679,0.9948408484813903,3.174844622422235e-06,3.9374627924992076,0.9972191461372878,
235.0,600.0,lam/8,0.7978723404255319,OK,0.9738937226128359,0.9738204799112039,7.324270163200364e-05,3.9374627924992076,0.9972191461372878,
235.0,600.0,lam/4,1.5957446808510638,OK,0.9948376736367679,0.9948408484813903,3.174844622422235e-06,1.9687313962496038,0.9972191461372878,
235.0,600.0,lam/4,1.5957446808510638,OK,0.9738937226128359,0.9738204799112039,7.324270163200364e-05,1.9687313962496038,0.9972191461372878,
235.0,600.0,lam/2,3.1914893617021276,NYQUIST_EDGE_LIMITED,,,,0.9843656981248019,0.9972191461372878,explicit empty-peak row (lam/2 not silent)
235.0,1200.0,lam/8,0.7978723404255319,OK,0.979129710368819,0.9791147588101183,1.49515587006821e-05,3.9374627924992076,0.9972191461372878,
235.0,1200.0,lam/8,0.7978723404255319,OK,0.9896016858807848,0.9896164159888557,1.4730108070959425e-05,3.9374627924992076,0.9972191461372878,
235.0,1200.0,lam/4,1.5957446808510638,OK,0.979129710368819,0.9791147588101183,1.49515587006821e-05,1.9687313962496038,0.9972191461372878,
235.0,1200.0,lam/4,1.5957446808510638,OK,0.9896016858807848,0.9896164159888557,1.4730108070959425e-05,1.9687313962496038,0.9972191461372878,
235.0,1200.0,lam/2,3.1914893617021276,NYQUIST_EDGE_LIMITED,,,,0.9843656981248019,0.9972191461372878,explicit empty-peak row (lam/2 not silent)
235.0,2400.0,lam/8,0.7978723404255319,OK,0.979129710368819,0.9791147588101183,1.49515587006821e-05,3.9374627924992076,0.9972191461372878,
235.0,2400.0,lam/8,0.7978723404255319,OK,0.9922196797587763,0.9922018548406865,1.7824918089881514e-05,3.9374627924992076,0.9972191461372878,
235.0,2400.0,lam/4,1.5957446808510638,OK,0.979129710368819,0.9791147588101183,1.49515587006821e-05,1.9687313962496038,0.9972191461372878,
235.0,2400.0,lam/4,1.5957446808510638,OK,0.9922196797587763,0.9922018548406865,1.7824918089881514e-05,1.9687313962496038,0.9972191461372878,
235.0,2400.0,lam/2,3.1914893617021276,NYQUIST_EDGE_LIMITED,,,,0.9843656981248019,0.9972191461372878,explicit empty-peak row (lam/2 not silent)
283.0,600.0,lam/8,0.6625441696113075,OK,1.1841177631722783,1.184168316973575,5.055380129670439e-05,4.741710511818194,1.196111356901731,
283.0,600.0,lam/4,1.325088339222615,OK,1.1854276279545486,1.1854152819219075,1.2346032641108451e-05,2.370855255909097,1.196111356901731,
283.0,600.0,lam/2,2.65017667844523,NYQUIST_EDGE_LIMITED,,,,1.1854276279545486,1.196111356901731,explicit empty-peak row (lam/2 not silent)
283.0,1200.0,lam/8,0.6625441696113075,OK,1.1887004817037328,1.1887027062525357,2.2245488029426497e-06,4.741710511818194,1.196111356901731,
283.0,1200.0,lam/8,0.6625441696113075,OK,1.1782273497063431,1.1780994318117115,0.00012791789463162395,4.741710511818194,1.196111356901731,
283.0,1200.0,lam/4,1.325088339222615,OK,1.189357222301359,1.1893718871693257,1.4664867966640571e-05,2.370855255909097,1.196111356901731,
283.0,1200.0,lam/4,1.325088339222615,OK,1.1788783040431974,1.1788875154202623,9.211377064888282e-06,2.370855255909097,1.196111356901731,
283.0,1200.0,lam/2,2.65017667844523,NYQUIST_EDGE_LIMITED,,,,1.1854276279545486,1.196111356901731,explicit empty-peak row (lam/2 not silent)
283.0,2400.0,lam/8,0.6625441696113075,OK,1.1887004817037328,1.1887027062525357,2.2245488029426497e-06,4.741710511818194,1.196111356901731,
