f_hz,L_m,kind,z_i,z_j,D_abs
201.0,2400.0,ORACLE_MODE,180,200,0.4225148678788213
201.0,2400.0,ORACLE_CLUSTER_COHERENT,180,200,0.21177882357789568
201.0,2400.0,OBSERVED_CLUSTER_COHERENT,180,200,0.0
201.0,2400.0,ORACLE_MODE,200,220,0.44387361544637094
201.0,2400.0,ORACLE_CLUSTER_COHERENT,200,220,0.2717962905525412
201.0,2400.0,OBSERVED_CLUSTER_COHERENT,200,220,0.0
235.0,600.0,ORACLE_MODE,180,190,0.27807128694282446
235.0,600.0,ORACLE_CLUSTER_COHERENT,180,190,0.0
235.0,600.0,OBSERVED_CLUSTER_COHERENT,180,190,0.0
235.0,600.0,ORACLE_MODE,190,200,0.25791740241527406
235.0,600.0,ORACLE_CLUSTER_COHERENT,190,200,0.0
235.0,600.0,OBSERVED_CLUSTER_COHERENT,190,200,0.0
235.0,600.0,ORACLE_MODE,200,210,0.26210605173476376
235.0,600.0,ORACLE_CLUSTER_COHERENT,200,210,0.0
235.0,600.0,OBSERVED_CLUSTER_COHERENT,200,210,0.0
235.0,600.0,ORACLE_MODE,210,220,0.28427445004126073
235.0,600.0,ORACLE_CLUSTER_COHERENT,210,220,0.0
235.0,600.0,OBSERVED_CLUSTER_COHERENT,210,220,0.0
235.0,600.0,ORACLE_MODE,180,200,0.4278596253454948
235.0,600.0,ORACLE_CLUSTER_COHERENT,180,200,0.0
235.0,600.0,OBSERVED_CLUSTER_COHERENT,180,200,0.0
235.0,600.0,ORACLE_MODE,200,220,0.4453940574279469
235.0,600.0,ORACLE_CLUSTER_COHERENT,200,220,0.0
235.0,600.0,OBSERVED_CLUSTER_COHERENT,200,220,0.0
235.0,1200.0,ORACLE_MODE,180,190,0.27807128694282446
235.0,1200.0,ORACLE_CLUSTER_COHERENT,180,190,0.7755164754364781
235.0,1200.0,OBSERVED_CLUSTER_COHERENT,180,190,0.0
235.0,1200.0,ORACLE_MODE,190,200,0.25791740241527406
235.0,1200.0,ORACLE_CLUSTER_COHERENT,190,200,0.7168273120635408
235.0,1200.0,OBSERVED_CLUSTER_COHERENT,190,200,0.0
235.0,1200.0,ORACLE_MODE,200,210,0.26210605173476376
235.0,1200.0,ORACLE_CLUSTER_COHERENT,200,210,0.33876144745849546
235.0,1200.0,OBSERVED_CLUSTER_COHERENT,200,210,0.0
235.0,1200.0,ORACLE_MODE,210,220,0.28427445004126073
235.0,1200.0,ORACLE_CLUSTER_COHERENT,210,220,0.30684200833997366
235.0,1200.0,OBSERVED_CLUSTER_COHERENT,210,220,0.0
235.0,1200.0,ORACLE_MODE,180,200,0.4278596253454948
235.0,1200.0,ORACLE_CLUSTER_COHERENT,180,200,0.0027290626566135456
235.0,1200.0,OBSERVED_CLUSTER_COHERENT,180,200,0.0
235.0,1200.0,ORACLE_MODE,200,220,0.4453940574279469
235.0,1200.0,ORACLE_CLUSTER_COHERENT,200,220,0.001493705286600422
235.0,1200.0,OBSERVED_CLUSTER_COHERENT,200,220,0.0
235.0,2400.0,ORACLE_MODE,180,190,0.27807128694282446
235.0,2400.0,ORACLE_CLUSTER_COHERENT,180,190,0.2957879507193405
235.0,2400.0,OBSERVED_CLUSTER_COHERENT,180,190,0.0
235.0,2400.0,ORACLE_MODE,190,200,0.25791740241527406
235.0,2400.0,ORACLE_CLUSTER_COHERENT,190,200,0.40738473074966197
235.0,2400.0,OBSERVED_CLUSTER_COHERENT,190,200,0.0
235.0,2400.0,ORACLE_MODE,200,210,0.26210605173476376
235.0,2400.0,ORACLE_CLUSTER_COHERENT,200,210,0.3458384562408662
235.0,2400.0,OBSERVED_CLUSTER_COHERENT,200,210,0.0
235.0,2400.0,ORACLE_MODE,210,220,0.28427445004126073
235.0,2400.0,ORACLE_CLUSTER_COHERENT,210,220,0.35529239634654997
235.0,2400.0,OBSERVED_CLUSTER_COHERENT,210,220,0.0
235.0,2400.0,ORACLE_MODE,180,200,0.4278596253454948
235.0,2400.0,ORACLE_CLUSTER_COHERENT,180,200,0.025315279264866875
235.0,2400.0,OBSERVED_CLUSTER_COHERENT,180,200,0.0
235.0,2400.0,ORACLE_MODE,200,220,0.4453940574279469
235.0,2400.0,ORACLE_CLUSTER_COHERENT,200,220,0.01610244554634843
235.0,2400.0,OBSERVED_CLUSTER_COHERENT,200,220,0.0
283.0,600.0,ORACLE_MODE,180,190,0.2869527225466163
283.0,600.0,ORACLE_CLUSTER_COHERENT,180,190,0.0
283.0,600.0,OBSERVED_CLUSTER_COHERENT,180,190,0.0
283.0,600.0,ORACLE_MODE,190,200,0.2791338967150373
283.0,600.0,ORACLE_CLUSTER_COHERENT,190,200,0.0
283.0,600.0,OBSERVED_CLUSTER_COHERENT,190,200,0.0
283.0,600.0,ORACLE_MODE,200,210,0.280206076250226
283.0,600.0,ORACLE_CLUSTER_COHERENT,200,210,0.0
283.0,600.0,OBSERVED_CLUSTER_COHERENT,200,210,0.0
283.0,600.0,ORACLE_MODE,210,220,0.3116044943491222
283.0,600.0,ORACLE_CLUSTER_COHERENT,210,220,0.0
283.0,600.0,OBSERVED_CLUSTER_COHERENT,210,220,0.0
283.0,600.0,ORACLE_MODE,180,200,0.4262951730839355
283.0,600.0,ORACLE_CLUSTER_COHERENT,180,200,0.0
283.0,600.0,OBSERVED_CLUSTER_COHERENT,180,200,0.0
283.0,600.0,ORACLE_MODE,200,220,0.46074038348081825
283.0,600.0,ORACLE_CLUSTER_COHERENT,200,220,0.0
283.0,600.0,OBSERVED_CLUSTER_COHERENT,200,220,0.0
283.0,1200.0,ORACLE_MODE,180,190,0.2869527225466163
283.0,1200.0,ORACLE_CLUSTER_COHERENT,180,190,0.00976857210052462
283.0,1200.0,OBSERVED_CLUSTER_COHERENT,180,190,0.0
283.0,1200.0,ORACLE_MODE,190,200,0.2791338967150373
283.0,1200.0,ORACLE_CLUSTER_COHERENT,190,200,0.01102938923028629
283.0,1200.0,OBSERVED_CLUSTER_COHERENT,190,200,0.0
283.0,1200.0,ORACLE_MODE,200,210,0.280206076250226
283.0,1200.0,ORACLE_CLUSTER_COHERENT,200,210,0.0001669716591778947
283.0,1200.0,OBSERVED_CLUSTER_COHERENT,200,210,0.0
283.0,1200.0,ORACLE_MODE,210,220,0.3116044943491222
283.0,1200.0,ORACLE_CLUSTER_COHERENT,210,220,0.0003468934560707515
283.0,1200.0,OBSERVED_CLUSTER_COHERENT,210,220,0.0
283.0,1200.0,ORACLE_MODE,180,200,0.4262951730839355
283.0,1200.0,ORACLE_CLUSTER_COHERENT,180,200,3.845146048686576e-05
283.0,1200.0,OBSERVED_CLUSTER_COHERENT,180,200,0.0
283.0,1200.0,ORACLE_MODE,200,220,0.46074038348081825
283.0,1200.0,ORACLE_CLUSTER_COHERENT,200,220,3.2531826252180096e-05
283.0,1200.0,OBSERVED_CLUSTER_COHERENT,200,220,0.0
283.0,2400.0,ORACLE_MODE,180,190,0.2869527225466163
283.0,2400.0,ORACLE_CLUSTER_COHERENT,180,190,0.44766848624893385
283.0,2400.0,OBSERVED_CLUSTER_COHERENT,180,190,0.0
283.0,2400.0,ORACLE_MODE,190,200,0.2791338967150373
283.0,2400.0,ORACLE_CLUSTER_COHERENT,190,200,0.4486654936370993
283.0,2400.0,OBSERVED_CLUSTER_COHERENT,190,200,0.0
283.0,2400.0,ORACLE_MODE,200,210,0.280206076250226
283.0,2400.0,ORACLE_CLUSTER_COHERENT,200,210,0.29708087893912827
