f_hz,n_modes,max_offdiag_orth,mean_abs_resid
201.0,400,1.1934897514720433e-15,4.697164989836678e-16
235.0,400,9.43689570931383e-16,6.833966127206111e-16
283.0,400,1.3877787807814457e-15,8.855649927805987e-16
338.0,400,1.1518563880486e-15,1.305833478313201e-15
