f_hz,n_z,mode_index,k_r,phi_180,phi_190,phi_200,phi_210,phi_220,n_propagating,kr_max_allowed
201.0,2001,0,0.8418808193060204,2.119751222182636e-15,6.551743625742659e-15,4.823782381716716e-15,3.6480837808704355e-15,1.1486956174992167e-14,1618,0.8419468311620646
201.0,2001,1,0.841748992130849,4.2166968495084945e-15,-1.7284125015149243e-15,1.9412637405520737e-15,3.4426980051425303e-15,-1.4712566286434848e-15,1618,0.8419468311620646
201.0,2001,2,0.8416174116780382,-3.4074314047776824e-15,-3.106521268908066e-15,-1.789684748942827e-15,-1.2943979345013838e-14,-9.735288022535805e-15,1618,0.8419468311620646
201.0,2001,3,0.8414860768812622,5.633984829347366e-15,2.7266222970626805e-15,-3.515220266434754e-15,-3.084485479370901e-15,-7.923046906314134e-15,1618,0.8419468311620646
201.0,2001,4,0.8413549866781587,-2.0478057133433614e-15,-4.128901332107283e-16,1.2842557246617061e-15,3.764581320933498e-15,7.851653101738405e-15,1618,0.8419468311620646
201.0,2001,5,0.841224140010325,1.0302974681654672e-14,3.709333342248268e-16,5.418501809001469e-16,2.0687781383083225e-15,-2.076639770136682e-15,1618,0.8419468311620646
201.0,2001,6,0.8410935358233516,7.161183241488197e-15,-4.361674097550449e-15,-7.623499783194086e-16,3.740395946772806e-15,3.167065438395426e-15,1618,0.8419468311620646
201.0,2001,7,0.8409631730668208,1.6294320089340688e-15,-5.778655215417306e-15,-4.3942460180044145e-15,1.9232317402593135e-15,-1.072678469829506e-15,1618,0.8419468311620646
201.0,2001,8,0.8408330506943209,-7.703404242336584e-15,-7.575469352660447e-15,-1.2261719895566158e-14,-5.769232963953915e-15,-1.0794018602100123e-15,1618,0.8419468311620646
201.0,2001,9,0.8407031676634532,2.6104132872396514e-15,-2.0102483960913482e-15,2.859080360010257e-16,-7.010212423458328e-15,-2.0597224065601525e-15,1618,0.8419468311620646
201.0,2001,10,0.8405735229358535,4.4282750622432005e-15,-2.674989133350885e-16,7.532737355899277e-16,-3.244421112147257e-16,-6.083859513105418e-15,1618,0.8419468311620646
201.0,2001,11,0.840444115477185,1.3096395866662812e-16,1.7047518827723807e-17,-3.655672534912215e-15,1.564011319630043e-15,5.955437039804495e-15,1618,0.8419468311620646
201.0,2001,12,0.8403149442571645,-1.9422241479730344e-15,-2.930952753324158e-15,-2.1428112244412064e-15,6.093946001918461e-15,2.435928397731455e-14,1618,0.8419468311620646
201.0,2001,13,0.8401860082495585,4.4261087204602395e-15,4.5335840187084216e-15,1.6469350543926446e-14,5.492295643491486e-14,1.1875383323336062e-13,1618,0.8419468311620646
201.0,2001,14,0.8400573064322001,-1.489604179760806e-14,-4.107880759150283e-14,-1.120747628017159e-13,-2.50398175659887e-13,-5.249679052155299e-13,1618,0.8419468311620646
201.0,2001,15,0.8399288377869915,-1.0668748739443648e-13,-2.4729205485403565e-13,-5.245112434778014e-13,-1.1079924313119327e-12,-2.33886570146974e-12,1618,0.8419468311620646
201.0,2001,16,0.839800601299912,5.109742581213312e-13,1.0920996050966977e-12,2.2960399413548316e-12,4.806503899259932e-12,9.974321168412364e-12,1618,0.8419468311620646
201.0,2001,17,0.8396725959610273,2.1763597032024807e-12,4.594274728241323e-12,9.567831869365844e-12,1.9752258901364135e-11,4.04129670430212e-11,1618,0.8419468311620646
201.0,2001,18,0.8395448207645029,8.952560517434442e-12,1.8562874432968838e-11,3.811163675236014e-11,7.754538281409923e-11,1.56344345603581e-10,1618,0.8419468311620646
201.0,2001,19,0.8394172747085944,3.524216533746191e-11,7.191380833174848e-11,1.454255289621002e-10,2.9142717567857025e-10,5.786874231005202e-10,1618,0.8419468311620646
201.0,4001,0,0.8418808171562576,2.438316475872787e-15,-3.8038884877465445e-15,2.3545423715284134e-15,7.239781611029157e-15,-2.446809560225878e-15,1206,0.8419468311620646
201.0,4001,1,0.8417489814178764,-4.722218539505129e-16,-1.4616601675604843e-15,2.0722819936782772e-15,4.440407577852833e-15,4.672435274808027e-15,1206,0.8419468311620646
201.0,4001,2,0.8416173839130442,-6.969944948470871e-16,-2.1857634383699333e-15,-7.829234886301304e-15,-2.4436528863773153e-15,-8.360415600566903e-16,1206,0.8419468311620646
201.0,4001,3,0.8414860236522744,6.56384818120797e-15,1.2114084819476512e-14,3.060775663193468e-15,-2.992023376856441e-15,-4.4673189965937045e-15,1206,0.8419468311620646
201.0,4001,4,0.841354899649229,-9.849830027222522e-16,3.605395987639253e-15,3.955902414913735e-16,3.031103894967628e-16,2.607024513372941e-15,1206,0.8419468311620646
201.0,4001,5,0.8412240109207393,9.761292774024541e-15,-5.755673006408688e-15,-1.2550379893420768e-14,2.5627437650241932e-15,3.400077806544857e-15,1206,0.8419468311620646
201.0,4001,6,0.8410933564868373,7.390630240358877e-16,-1.3359185399154508e-14,-1.6933573953372903e-14,-3.4181149687554695e-15,1.4461925130549228e-14,1206,0.8419468311620646
201.0,4001,7,0.8409629353707642,-2.498825783628899e-15,-8.126905262219212e-15,-7.605912499001795e-15,1.7590596981582102e-15,4.226708343879761e-15,1206,0.8419468311620646
201.0,4001,8,0.8408327465989905,8.55426963774284e-15,8.916758413706054e-15,1.0808236095618045e-15,5.35432190380447e-15,2.809821370723404e-15,1206,0.8419468311620646
201.0,4001,9,0.8407027892012375,1.2196418767843983e-15,1.6212111708742507e-15,2.0178347914411682e-15,5.7519152642930274e-15,-3.917555262611169e-15,1206,0.8419468311620646
201.0,4001,10,0.8405730622104899,4.2127440892708534e-15,-1.3842067384154191e-15,4.417068286964122e-15,-1.66950421806397e-15,-8.839373169405182e-15,1206,0.8419468311620646
201.0,4001,11,0.8404435646630127,7.707492753910325e-15,1.0622918800123822e-14,1.1524582962514374e-14,1.2529815346584029e-14,2.4973905685695166e-14,1206,0.8419468311620646
201.0,4001,12,0.8403142955983768,4.43268109940045e-15,4.266855564805675e-18,1.2861660341480433e-15,3.2800482499642252e-15,2.525435446580363e-14,1206,0.8419468311620646
201.0,4001,13,0.8401852540594563,-7.856832699061815e-15,-7.389418065498292e-16,-1.462862341997664e-14,-5.0660376252581837e-14,-1.2118412889882308e-13,1206,0.8419468311620646
201.0,4001,14,0.8400564390924617,2.7353841357143495e-14,5.115901651102127e-14,1.1208370174737007e-13,2.506672918927568e-13,5.335545799789796e-13,1206,0.8419468311620646
201.0,4001,15,0.839927849746947,-9.374766570191074e-14,-2.3032597918765187e-13,-5.086332948049236e-13,-1.0980910892167597e-12,-2.333668410904014e-12,1206,0.8419468311620646
201.0,4001,16,0.8397994850758274,4.930946553375744e-13,1.0780185399257262e-12,2.2875198707701367e-12,4.806849471267395e-12,9.991311975989705e-12,1206,0.8419468311620646
201.0,4001,17,0.8396713441353789,-2.197933140803459e-12,-4.612439845864503e-12,-9.609182863805029e-12,-1.9824277838393168e-11,-4.0576951883296017e-11,1206,0.8419468311620646
201.0,4001,18,0.8395434259852798,-9.005671732050028e-12,-1.8673333694029317e-11,-3.833514877597023e-11,-7.800267324409264e-11,-1.5734996805584042e-10,1206,0.8419468311620646
201.0,4001,19,0.8394157296886027,-3.5493616813341524e-11,-7.244941443547582e-11,-1.4656063393602078e-10,-2.9383109575932024e-10,-5.836880344773628e-10,1206,0.8419468311620646
235.0,2001,0,0.9842996834657398,4.500062881436848e-15,6.730494917847289e-15,4.8871497942607425e-15,-2.258385833657359e-15,-6.194182683220276e-15,1742,0.9843656981248018
235.0,2001,1,0.9841678241023717,-1.0895681695136436e-15,2.5334446665568047e-15,-1.0534874397238967e-15,-1.5129715551019868e-15,-1.2787513977750167e-15,1742,0.9843656981248018
235.0,2001,2,0.9840361795234362,-2.042120249094098e-15,-4.687842754312717e-15,-5.404678091405397e-15,-5.3114744691504e-15,-2.0208308243989105e-15,1742,0.9843656981248018
235.0,2001,3,0.9839047489208729,-4.4876253243622185e-15,-2.827958078775738e-15,-5.049293092676146e-15,-3.220175071227856e-15,-1.8171968225790643e-16,1742,0.9843656981248018
235.0,2001,4,0.9837735314893264,1.0766231619038384e-15,7.533797848731336e-15,1.7481235479929853e-15,7.000695583947462e-16,7.198875710904493e-16,1742,0.9843656981248018
235.0,2001,5,0.9836425264261758,3.6517927984807206e-15,3.7051846401530295e-15,7.322159103535436e-16,-1.5452246885361655e-16,-2.425489419821768e-15,1742,0.9843656981248018
235.0,2001,6,0.9835117329315222,7.188431638065882e-15,6.1187741228271346e-15,-1.362691003091144e-16,-6.492031172440178e-16,7.644300152813442e-16,1742,0.9843656981248018
235.0,2001,7,0.9833811502082019,1.017035247426881e-15,7.995403353182478e-15,-1.198578434922579e-15,-5.6568940330947096e-15,-4.074579874908794e-15,1742,0.9843656981248018
235.0,2001,8,0.9832507774617929,-1.4578806829133978e-15,7.989783914092402e-15,5.0599903321506545e-15,7.050509589040256e-15,1.0516076686341408e-15,1742,0.9843656981248018
235.0,2001,9,0.983120613900601,-5.298577056475789e-16,-6.455492309380231e-17,3.4891913321406955e-15,7.531885553049695e-15,6.894939395998992e-15,1742,0.9843656981248018
235.0,2001,10,0.9829906587356918,9.782447492405798e-15,3.057179875177931e-15,-1.1343052685120373e-14,-9.758747683949928e-15,-3.3510838010513825e-15,1742,0.9843656981248018
235.0,2001,11,0.9828609111808716,-4.80249059705969e-16,4.857973187127556e-16,7.878235122288545e-15,9.126971118520939e-15,3.1668466747356866e-15,1742,0.9843656981248018
235.0,2001,12,0.9827313704527085,7.18829321581833e-16,5.15295342697877e-16,-1.0480879089455671e-14,-1.331546323568743e-14,-6.531253790365565e-15,1742,0.9843656981248018
235.0,2001,13,0.9826020357705109,4.056130946108623e-15,2.4995702536806862e-15,1.1240632466378472e-15,-3.9931645764994695e-15,-6.149103847479796e-15,1742,0.9843656981248018
235.0,2001,14,0.9824729063563571,-3.853414792521618e-15,-7.907352993424352e-16,3.012706762954637e-15,3.6128031393343884e-15,3.4919541452648024e-15,1742,0.9843656981248018
235.0,2001,15,0.9823439814350846,7.230202198105288e-15,7.071046451358219e-15,3.594428504597712e-15,9.244279297157393e-15,9.084825582876068e-15,1742,0.9843656981248018
235.0,2001,16,0.9822152602342865,1.7456649391488573e-15,-2.561532975736606e-15,6.696983987208002e-15,2.5932408647724867e-15,-2.7088156242029268e-15,1742,0.9843656981248018
235.0,2001,17,0.9820867419843448,4.579407852434696e-15,-8.495038573610732e-15,-1.611566784949528e-14,-1.7111372023942517e-14,-1.7608560799102883e-14,1742,0.9843656981248018
