f_hz,median_dk,L_eta1_median_m,L_eta1_p10_m,L_eta1_p90_m
201.0,0.00022443601317512218,27995.441632965398,7380.809876193186,58470.701777590395
235.0,0.00017852599987827622,35194.79129910281,7864.003079569927,62747.86574034514
283.0,0.00027190278115529765,23108.205368414147,8355.789649021042,70008.97832253811
338.0,0.0002929053357368927,21451.24905755751,9840.795995269189,58196.25228012
