f_hz,L_m,v_r_T600,v_r_T1200,n_independent_observed_groups,n_single,n_group,n_spurious,energy_coverage
201.0,600.0,1.0,0.5,3,0,3,0,0.5890600422229043
201.0,1200.0,2.0,1.0,5,0,5,0,0.4437856944909012
201.0,2400.0,4.0,2.0,10,2,8,0,0.5428027304713676
235.0,600.0,1.0,0.5,1,0,1,0,0.6116720914142447
235.0,1200.0,2.0,1.0,3,0,3,1,0.4185651710107137
235.0,2400.0,4.0,2.0,7,2,5,2,0.17687742580502497
283.0,600.0,1.0,0.5,3,0,3,0,0.6822501939965093
283.0,1200.0,2.0,1.0,2,0,2,1,0.4638269862828712
283.0,2400.0,4.0,2.0,4,0,4,1,0.399600010118645
338.0,600.0,1.0,0.5,1,0,1,0,0.6479958509227284
338.0,1200.0,2.0,1.0,3,0,3,0,0.07642566210447466
338.0,2400.0,4.0,2.0,5,0,5,0,0.5781431107127163
