f_hz,z_i,z_j,n_modes,corr,D_abs,mode_ids
201.0,180,190,9,0.9883294241463811,0.011670575853618859,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
201.0,190,200,9,0.9893550826938069,0.010644917306193102,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
201.0,200,210,9,0.9902149290896444,0.009785070910355631,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
201.0,210,220,9,0.9904827300551211,0.009517269944878892,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
201.0,180,200,9,0.9556813889496792,0.044318611050320755,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
201.0,200,220,9,0.9616161500998428,0.038383849900157196,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
235.0,180,190,9,0.9883294241463811,0.011670575853618859,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
235.0,190,200,9,0.9893550826938069,0.010644917306193102,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
235.0,200,210,9,0.9902149290896444,0.009785070910355631,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
235.0,210,220,9,0.9904827300551211,0.009517269944878892,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
235.0,180,200,9,0.9556813889496792,0.044318611050320755,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
235.0,200,220,9,0.9616161500998428,0.038383849900157196,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
283.0,180,190,9,0.9883294241463811,0.011670575853618859,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
283.0,190,200,9,0.9893550826938069,0.010644917306193102,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
283.0,200,210,9,0.9902149290896444,0.009785070910355631,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
283.0,210,220,9,0.9904827300551211,0.009517269944878892,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
283.0,180,200,9,0.9556813889496792,0.044318611050320755,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
283.0,200,220,9,0.9616161500998428,0.038383849900157196,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
338.0,180,190,9,0.9883294241463811,0.011670575853618859,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
338.0,190,200,9,0.9893550826938069,0.010644917306193102,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
338.0,200,210,9,0.9902149290896444,0.009785070910355631,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
338.0,210,220,9,0.9904827300551211,0.009517269944878892,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
338.0,180,200,9,0.9556813889496792,0.044318611050320755,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
338.0,200,220,9,0.9616161500998428,0.038383849900157196,"[6, 9, 11, 13, 14, 15, 16, 18, 19]"
