peak_id,k_peak,peak_mag,member_mode_ids,member_k_min,member_k_max,n_member_modes,member_energy,cluster_ids,status,f_hz,L_m
0,0.835369121543611,4.206572022290088,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.8308690090959748,0.8366563132639958,27,3.84270404372701e-05,"[18, 19, 20]",RESOLVED_MODE_GROUP,201.0,600.0
1,0.7498588965037138,0.13310703523690115,"[102, 103]",0.747901246943668,0.7483041611478509,2,4.992911642606923e-07,[1],RESOLVED_MODE_GROUP,201.0,600.0
2,0.7761697349775283,0.12884619894632635,"[90, 91, 92]",0.7764956160240851,0.7771924485190408,3,8.65837227974553e-07,[5],RESOLVED_MODE_GROUP,201.0,600.0
0,0.8380186188860362,4.55095042726819,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",0.8354327251213997,0.8366563132639958,9,2.4197588941031233e-05,"[19, 20]",RESOLVED_MODE_GROUP,201.0,1200.0
1,0.7699296061015458,0.4416784034413858,"[93, 94, 95, 96]",0.7697327366090841,0.7708177216836912,4,1.0699597621415113e-06,[4],RESOLVED_MODE_GROUP,201.0,1200.0
2,0.748979140629395,0.33098154545248093,"[102, 103]",0.747901246943668,0.7483041611478509,2,4.992911642606923e-07,[1],RESOLVED_MODE_GROUP,201.0,1200.0
3,0.7804048388376212,0.24179081058663293,"[88, 89]",0.7826633421785566,0.782999126833305,2,6.076669160811622e-07,[6],RESOLVED_MODE_GROUP,201.0,1200.0
4,0.8223057697819232,0.1873392351445951,"[41, 42, 43, 44, 45, 46, 47, 48]",0.8196923789387129,0.8248261075143231,8,3.6040930425093517e-06,"[14, 15, 16]",RESOLVED_MODE_GROUP,201.0,1200.0
0,0.8353998107020174,6.1252340028298065,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8341027084127943,0.8366563132639958,14,2.902407645293234e-05,"[19, 20]",RESOLVED_MODE_GROUP,201.0,2400.0
1,0.8065929206778099,1.7592342917379786,[67],0.8077278870337798,0.8077278870337798,1,3.0409684244400235e-07,[11],RESOLVED_SINGLE_MODE,201.0,2400.0
2,0.7830236470216402,1.203134752723337,"[86, 87, 88, 89]",0.7826633421785566,0.7836685186445156,4,1.1536077413085304e-06,[6],RESOLVED_MODE_GROUP,201.0,2400.0
3,0.7699296061015458,1.154526604210517,"[93, 94, 95, 96]",0.7697327366090841,0.7708177216836912,4,1.0699597621415113e-06,[4],RESOLVED_MODE_GROUP,201.0,2400.0
4,0.7777860306536025,0.8994475471891872,"[90, 91, 92]",0.7764956160240851,0.7771924485190408,3,8.65837227974553e-07,[5],RESOLVED_MODE_GROUP,201.0,2400.0
5,0.764691989733508,0.8080275384102689,"[97, 98]",0.7634633277027506,0.7638378108342331,2,5.274874729312598e-07,[3],RESOLVED_MODE_GROUP,201.0,2400.0
6,0.7568355651814516,0.6107536860138639,"[100, 101]",0.7558244103063075,0.7562131058837839,2,5.209616512373438e-07,[2],RESOLVED_MODE_GROUP,201.0,2400.0
7,0.748979140629395,0.5874849700330792,"[102, 103]",0.747901246943668,0.7483041611478509,2,4.992911642606923e-07,[1],RESOLVED_MODE_GROUP,201.0,2400.0
8,0.824924577965942,0.4057608284169908,"[38, 39, 40, 41, 42]",0.8246136802813874,0.8254572418506371,5,2.460011155840199e-06,[16],RESOLVED_MODE_GROUP,201.0,2400.0
9,0.7411227160773384,0.2990947130648616,[104],0.740110476307754,0.740110476307754,1,2.42066624113741e-07,[0],RESOLVED_SINGLE_MODE,201.0,2400.0
0,0.9766753411082019,4.808736648827058,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.97155408196658,0.978181783921907,28,4.474624581139779e-05,"[17, 18, 19]",RESOLVED_MODE_GROUP,235.0,600.0
0,0.979129710368819,5.82794525192793,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9768360956928568,0.978181783921907,10,2.8685131074560047e-05,"[18, 19]",RESOLVED_MODE_GROUP,235.0,1200.0
1,0.9005898940290741,0.23892508171564825,[],,,0,0.0,[],SPURIOUS,235.0,1200.0
2,0.932005820564972,0.2216396215920321,"[79, 80, 81]",0.9321104392446617,0.9327161131720993,3,1.0334574978973033e-06,[6],RESOLVED_MODE_GROUP,235.0,1200.0
3,0.9162978572970231,0.20138962683147646,"[89, 90, 91]",0.9157888290775728,0.916460292128605,3,9.011181184779625e-07,[3],RESOLVED_MODE_GROUP,235.0,1200.0
0,0.979129710368819,7.767622770212027,"[0, 1, 2]",0.9779357540553694,0.978181783921907,3,4.723040503187539e-06,[19],RESOLVED_MODE_GROUP,235.0,2400.0
1,0.9398598021989465,1.7681416637819292,[],,,0,0.0,[],SPURIOUS,235.0,2400.0
2,0.947713783832921,1.7262184116336208,[67],0.9464463574566765,0.9464463574566765,1,3.5828370500706414e-07,[9],RESOLVED_SINGLE_MODE,235.0,2400.0
3,0.9529497715889039,1.6323413141523617,"[58, 59, 60, 61, 62]",0.9532124378607679,0.9542094224435111,5,1.986653532344747e-06,[11],RESOLVED_MODE_GROUP,235.0,2400.0
4,0.9293878266869805,1.4928534104724052,[],,,0,0.0,[],SPURIOUS,235.0,2400.0
5,0.9162978572970231,1.1446200654886103,"[89, 90, 91]",0.9157888290775728,0.916460292128605,3,9.011181184779625e-07,[3],RESOLVED_MODE_GROUP,235.0,2400.0
6,0.9032078879070656,0.7776793776234924,"[94, 95]",0.9032707997091434,0.9036295204707298,2,5.744355748247401e-07,[1],RESOLVED_MODE_GROUP,235.0,2400.0
7,0.9686577348568529,0.4468785828005828,"[31, 32, 33, 34, 35, 36, 37]",0.9676284528238099,0.969927949753073,7,4.117115452932297e-06,"[15, 16]",RESOLVED_MODE_GROUP,235.0,2400.0
8,0.8979719001510825,0.3478626719179472,[96],0.896706836417571,0.896706836417571,1,2.78640166946875e-07,[0],RESOLVED_SINGLE_MODE,235.0,2400.0
0,1.1761664746111535,5.929491224302028,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",1.171086182942891,1.1779671926322601,29,5.1690532026126254e-05,"[16, 17, 18, 19]",RESOLVED_MODE_GROUP,283.0,600.0
1,1.1483830145809688,0.22636197028678443,"[63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",1.1433842795567482,1.1514680211028188,12,5.026777660116159e-06,"[8, 9, 10]",RESOLVED_MODE_GROUP,283.0,600.0
2,1.1020772478639942,0.1784051693414941,"[96, 97]",1.104690937490789,1.1050266647068767,2,6.287926282156461e-07,[0],RESOLVED_MODE_GROUP,283.0,600.0
0,1.1788783040431974,7.921610285726721,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.17649816793694,1.1779671926322601,11,3.463855141881904e-05,"[18, 19]",RESOLVED_MODE_GROUP,283.0,1200.0
1,1.1002864171069844,0.2994375411801432,[],,,0,0.0,[],SPURIOUS,283.0,1200.0
2,1.157920467526874,0.24973598619649798,"[49, 50, 51, 52, 53, 54, 55, 56, 57]",1.1568699746219802,1.1604141491698614,9,4.348128314862872e-06,"[12, 13]",RESOLVED_MODE_GROUP,283.0,1200.0
0,1.1782273497063431,11.641470292793501,"[0, 1, 2, 3, 4, 5, 6, 7]",1.1771079545620715,1.1779671926322601,8,2.896557544467963e-05,"[18, 19]",RESOLVED_MODE_GROUP,283.0,2400.0
1,1.1363348217167843,2.127550269385365,"[79, 80, 81, 82]",1.1352371600612017,1.1360758969533373,4,1.4707987138083503e-06,[6],RESOLVED_MODE_GROUP,283.0,2400.0
2,1.1127702747226573,0.9783617931347172,[],,,0,0.0,[],SPURIOUS,283.0,2400.0
3,1.104915425724615,0.9738695186218482,"[96, 97]",1.104690937490789,1.1050266647068767,2,6.287926282156461e-07,[0],RESOLVED_MODE_GROUP,283.0,2400.0
4,1.1625176517102584,0.4278159760247463,"[44, 45, 46, 47, 48]",1.1623266836490043,1.1631572751460626,5,2.522955674481832e-06,"[13, 14]",RESOLVED_MODE_GROUP,283.0,2400.0
0,1.4053235996680387,7.189457162392898,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1.4001523462773402,1.4068198851549543,31,6.114221434608666e-05,"[16, 17, 18]",RESOLVED_MODE_GROUP,338.0,600.0
0,1.4092624717838602,8.628206256086528,"[0, 1]",1.4066967010667406,1.4068198851549543,2,2.918759449273631e-06,[18],RESOLVED_MODE_GROUP,338.0,1200.0
1,1.3568735323123413,0.3613949224706453,"[86, 87, 88, 89]",1.3548502696899414,1.359331451943219,4,1.551632687257425e-06,"[3, 4]",RESOLVED_MODE_GROUP,338.0,1200.0
2,1.372590214153797,0.3369276751609652,"[72, 73, 74, 75, 76, 77]",1.3709738063959576,1.3749518753140881,6,2.740817946495548e-06,"[7, 8]",RESOLVED_MODE_GROUP,338.0,1200.0
0,1.4059927044104645,14.376600507079598,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1.4047402174764911,1.4068198851549543,13,4.447671594698405e-05,[18],RESOLVED_MODE_GROUP,338.0,2400.0
1,1.3667191651811221,2.3216349722236216,"[78, 79, 80, 81]",1.3671189569602589,1.3678995022319695,4,1.6269069900229772e-06,[6],RESOLVED_MODE_GROUP,338.0,2400.0
2,1.3562462213866306,1.9650482783130123,"[87, 88]",1.3551341343245695,1.3554174956214755,2,7.798851503709766e-07,[3],RESOLVED_MODE_GROUP,338.0,2400.0
3,1.3771921089756134,1.3132589382288462,"[68, 69, 70, 71]",1.3776048461953403,1.378316581955505,4,1.8418313599297146e-06,[9],RESOLVED_MODE_GROUP,338.0,2400.0
4,1.3981379965645961,0.8936802007895969,"[31, 32, 33, 34, 35, 36, 37, 38]",1.397091206794235,1.3993303246102347,8,5.825858600603042e-06,"[15, 16]",RESOLVED_MODE_GROUP,338.0,2400.0
