f_hz,n_z_ref,n_z_other,i_ref,j_new,k_ref,k_new,delta_k,overlap,phi180_ref,phi180_new,phi200_ref,phi200_new,phi220_ref,phi220_new
201.0,4001,2001,0,0,0.8366563132639958,0.836649761809458,6.551454537762069e-06,0.999522913758761,-0.015692441944382095,-0.016032157028969242,-0.02513410141050798,-0.025575575299710187,-0.03630605025061503,-0.03676831968869299
201.0,4001,2001,1,1,0.8365332687295839,0.836526418041059,6.850688524906445e-06,0.999472973854893,-0.02301515598325901,0.023457454424476033,-0.034003624092008036,0.03449157205048712,-0.044569721873872405,0.04494267647501009
201.0,4001,2001,2,2,0.8364104206148701,0.8364032648618042,7.1557530659793755e-06,0.9994191213670678,0.03163139000503955,0.03213924741167038,0.042587776511350775,0.04301783988078243,0.04961865123690936,0.04973387383199578
201.0,4001,2001,3,3,0.8362877678495675,0.8362803012291057,7.466620461804574e-06,0.9993611569253612,-0.04039650165063739,-0.0408777385682211,-0.04867233198371992,-0.048881915909655065,-0.04865961626694128,-0.048333603990214
201.0,4001,2001,4,4,0.8361653086417628,0.8361575253119595,7.783329803223715e-06,0.9992989006280866,-0.047339191688491086,0.04763991667609334,-0.049537544764115544,0.04933504657964662,-0.039525371956905433,0.038637408943806094
201.0,4001,2001,5,5,0.8360430387428817,0.8360349326034412,8.106139440466897e-06,0.9992322522697662,0.049868460850793855,0.0497937113190378,0.042781193971524974,0.04201571684108102,0.022005061022421193,0.020599223956567995
201.0,4001,2001,6,6,0.8359209464019431,0.8359125104558892,8.43594605393072e-06,0.9991613597064305,-0.04544479508971258,-0.04481928503470362,-0.027557859156999886,-0.026220546808683843,0.0010059550990816305,0.0026417753619161154
201.0,4001,2001,7,7,0.8355551322105673,0.8355456213086777,9.510901889608903e-06,0.9989385250163813,0.010183380578611595,0.011887106242415311,0.03423086235466017,0.03506521037106331,0.03663165867401677,0.03591146824070173
201.0,4001,2001,8,8,0.8354327251213997,0.8354227904446733,9.934676726386371e-06,0.9988747978642764,0.029486966751534678,-0.030652135873825464,0.038680001327330155,-0.0383783616582088,0.020952189418478637,-0.019214793202984828
201.0,4001,2001,9,9,0.8353094268352108,0.835299008691895,1.0418143315815698e-05,0.9988262867311846,-0.0387636182594537,-0.03893935799801396,-0.02855754613759711,-0.02715656187259336,0.0032559305842407332,0.0052833011693419795
201.0,4001,2001,10,10,0.8349288902019406,0.8349166238247537,1.2266377186875843e-05,0.9987763013299534,-0.0003506980220189504,0.0015002296670536465,0.030796982970316775,0.031747947959142084,0.03129708846560292,0.030252930815640938
201.0,4001,2001,11,11,0.8347973079094249,0.8347843221381249,1.2985771299933724e-05,0.9987753364706915,-0.01856461220286859,-0.02007404413984077,-0.03610405084433778,-0.03598529083756812,-0.015477284250028927,-0.013671950300174754
201.0,4001,2001,12,12,0.8346631743569254,0.8346494350423673,1.373931455805888e-05,0.998773546012428,0.03150919207188845,0.03231766843455577,0.030179594508642663,0.02911314556188885,-0.004923207093476141,-0.006812125116768395
201.0,4001,2001,13,13,0.8341027084127943,0.8340856845801253,1.702383266899421e-05,0.9987214738479232,0.008733008277355658,0.007163161623998163,-0.029261485870829728,-0.030097279244858714,-0.02535877922947388,-0.024104717037463353
201.0,4001,2001,14,14,0.8339571222464239,0.8339392121157225,1.7910130701404015e-05,0.9986947318624457,0.005972900512514378,0.007506186182261762,0.034190004926514084,0.03428061948137018,0.011322065671339263,0.009639599149916554
201.0,4001,2001,15,15,0.8338095342447263,0.8337907105543698,1.8823690356439826e-05,0.9986622680731715,0.01902763060659872,-0.02027419182269215,0.03213384236340567,-0.03150353389515926,-0.004793749089547123,0.006496950727889171
201.0,4001,2001,16,16,0.8336600205125265,0.8336402551816523,1.976533087422183e-05,0.9986239728055605,-0.028535115679484403,-0.029316826066978646,-0.024124128926237658,-0.02292736592388005,0.019270139247881866,0.020622575003577368
201.0,4001,2001,17,17,0.8330439477356839,0.8330201197905849,2.3827945099030856e-05,0.9984084436157274,-0.020548014201624564,0.01935436169880033,0.024773591902852336,-0.02574375282976955,0.022216331359912078,-0.020955826511805626
201.0,4001,2001,18,18,0.832885679668682,0.8328607586097487,2.4921058933258244e-05,0.9983375310784385,0.010060936163894035,0.008664753039374005,-0.031016210032415,-0.03144795516275385,-0.010375204636729364,-0.008802607320265204
201.0,4001,2001,19,19,0.8327257964179359,0.8326997500081471,2.6046409788760272e-05,0.9982590782394871,0.0013147176564411616,0.002739136473040186,0.03259102647734536,0.03244049761535382,-0.0029118646129635615,-0.004519027053026382
201.0,4001,2001,20,20,0.8325643337629997,0.8325371291874543,2.7204575545392018e-05,0.9981726560531872,0.012204895371647375,0.013492163701658745,0.029570128736597374,0.028877076031581364,-0.015369012157275161,-0.016745342781348507
201.0,4001,2001,21,21,0.8324013245373121,0.8315291935351163,0.0008721310021957418,0.0017607530791400607,-0.021422484799185057,0.02222525263498725,-0.022634908747251225,-0.027019593764496596,0.025056603772025978,-0.008280563904886887
201.0,4001,2001,22,23,0.8315640663954357,0.8311815322061167,0.00038253418931899486,0.05027407362222756,0.02320127758157614,-0.00518715735170186,-0.026278061347383166,0.030872876969129902,-0.009771769187330755,-0.013908828323757194
201.0,4001,2001,23,22,0.8313923436934003,0.8313560681291456,3.627556425467304e-05,0.9973020932100969,0.015482827119053993,-0.014275007938165319,-0.03040827225112213,0.030688956683930766,0.001603586649042278,-0.003133701650926484
201.0,4001,2001,24,24,0.8312192474035012,0.8310056043008889,0.00021364310261229313,0.018826437337678536,-0.006510301578208654,-0.004176201363697916,0.03107290429362432,-0.027702631556841866,-0.012542734836804634,0.02268250214882114
201.0,4001,2001,25,25,0.8310447965394029,0.8297364981813395,0.0013082983580633423,0.00019798703373726523,-0.002858898886599991,-0.02549905126565106,-0.028350083414182558,0.027116503855282765,0.021652831492565874,-0.0032764515315944188
201.0,4001,2001,26,26,0.8308690090959748,0.8295499965914266,0.0013190125045482448,0.00020091153293926364,-0.011790152235956607,-0.01996347543382215,-0.022670238419650858,0.02974904143961909,0.027858599870355334,-0.012817993518857098
201.0,4001,2001,27,27,0.8297871165756169,0.8293622331425622,0.00042488343305469023,0.060625176471652414,-0.026198031750559684,0.013030499296978961,0.026521706555988678,-0.029643887612904873,-0.001837587510719827,0.020829367249735747
201.0,4001,2001,28,28,0.8296024081133314,0.8291732192739474,0.0004291888393840315,0.061648591220466335,-0.02091783704146879,0.005252308658661187,0.029551157249018665,-0.026898389371759826,-0.011519328166047713,0.02650651344270003
201.0,4001,2001,29,29,0.8294164793699095,0.8278159827355819,0.0016004966343275973,0.0001302187502445815,0.014163242061438023,-0.029251644983507796,-0.029851729415654442,0.023117722090352916,0.019808258862823544,-0.005270036413062979
201.0,4001,2001,30,30,0.8292293422383448,0.8276173283064376,0.0016120139319071303,0.00013478630395568608,0.006476353748305578,0.027548660048956827,-0.027484032401792348,-0.027108274851102482,0.02586522003709414,0.013676762513844637
201.0,4001,2001,31,31,0.8290410081560634,0.8274175089729523,0.00162349918311111,0.0001393400436353634,0.0015606057870832272,0.024112738213526053,0.02273883459259589,-0.02894064674911943,-0.029123531283643596,0.02070872893976084
201.0,4001,2001,32,32,0.827886457647601,0.8272165326787078,0.0006699249688932873,0.00565093918795225,-0.029371651601271496,-0.019204416562909412,0.02235512264928756,0.028529171814824887,-0.003961928678113042,-0.02575413037101916
201.0,4001,2001,33,33,0.8276900324284511,0.8270144071142845,0.0006756253141665391,0.006174770030177079,0.027954831002921336,-0.013164974323147194,-0.02665745867289059,0.025960847164792685,0.012515839205715423,-0.02840381401155881
201.0,4001,2001,34,34,0.8274924883808046,0.8253568773650923,0.0021356110157122465,9.706197291839886e-05,0.0247718996279465,-0.02830535227992837,-0.02882871136106816,0.024365291880444926,0.019799293657692747,-0.016322002347646802
201.0,4001,2001,35,35,0.8272938338946435,0.8251447182366298,0.0021491156580136783,9.947870798306895e-05,-0.020068539424492868,-0.02811280009949311,0.0287558526166965,0.027221026641322366,-0.025173089560606612,-0.02212857137106029
201.0,4001,2001,36,36,0.8270940771065636,0.8249314751891511,0.0021626019174124655,0.00010190754607795258,-0.014174971935196665,0.026375168601413455,0.026499920676968693,-0.028214593199401318,-0.028194968295738067,0.026090095621123306
201.0,4001,2001,37,37,0.8268932259122842,0.8247171537919559,0.0021760721203283317,0.00010434868037684031,0.007481613195037046,0.023218813062088634,-0.022282794432502397,-0.027317548394166027,0.02864945284063671,0.02792656984414959
201.0,4001,2001,38,38,0.8254572418506371,0.8245017594666263,0.0009554823840107751,0.0061157414697955775,0.028219629683311206,-0.018842344258569663,-0.02381639844297417,0.02462670261476247,0.015384773001761986,-0.027534280735861446
201.0,4001,2001,39,39,0.8252478942382505,0.8227405855127993,0.0025073087254512405,9.91161622871499e-05,-0.028267329990182794,0.024531243856457406,0.02694019088830722,-0.022415099261794358,-0.021430766413116316,0.020184118595395092
201.0,4001,2001,40,40,0.825037514121749,0.8225157570098351,0.002521757111913825,0.00010105642764169232,-0.026753711237839914,0.026716371571627737,0.028211939844316938,-0.02563055905813275,-0.02568000742214605,0.02441520848283523
201.0,4001,2001,41,41,0.8248261075143231,0.8222899027782832,0.002536204736039882,0.00010300427909183451,0.02379328833479928,-0.027576229912250706,-0.02758382693028898,0.027282162742401698,0.027826949199206783,-0.026852215418057726
201.0,4001,2001,42,42,0.8246136802813874,0.8220630269296841,0.002550653351703236,0.00010495976629625716,0.019575012101146445,-0.027091802602451448,-0.025134923082357975,0.02729809645848695,0.027741828098094196,-0.027350835559838686
201.0,4001,2001,43,43,0.8226568084969806,0.8218351334792746,0.000821675017706025,0.02329087971449667,0.026523276589459945,0.025308999002246327,-0.02532510185548371,-0.025704576681784455,0.024009668690712395,0.02590747286538393
201.0,4001,2001,44,44,0.8224344687924882,0.8216062263490218,0.0008282424434663538,0.024217353012367784,-0.02756586762745863,0.022334278530531604,0.027187786922294187,-0.022621043372213982,-0.026683137331415592,0.022654839336266535
201.0,4001,2001,45,45,0.8222111646559289,0.8195010510572185,0.0027101135987104286,0.00012699565014293786,-0.027256359130946477,0.02239609327584305,0.027410380342424,-0.02475082555670266,-0.027418484626414136,0.026322979314293973
201.0,4001,2001,46,46,0.8219869005467152,0.819262204233277,0.0027246963134381907,0.00012904935676083906,0.025632193676294955,0.025009352276476562,-0.026006591662523736,-0.0264967828780314,0.026194664888070814,0.026806025313132784
201.0,4001,2001,47,47,0.8217616808310869,0.8190223814596618,0.0027392993714251412,0.00013111204171337867,0.022792694058143704,-0.026512085334756737,-0.023085168961035036,0.02681006546673021,0.02312932248545882,-0.025556578436880948
201.0,4001,2001,48,48,0.8196923789387129,0.8187815857326269,0.0009107932060860024,0.03677804599556713,-0.022091516483345456,-0.02685499666694787,0.024535267601170162,0.025694154840706862,-0.026220914424754854,-0.02267868930240185
201.0,4001,2001,49,49,0.8194578247257326,0.8185398199844992,0.0009180047412333803,0.037943995017553245,0.02482353781260112,0.02603965640539898,-0.02642118969631594,-0.023227858196385082,0.02685874250546977,0.018377646821922666
201.0,4001,2001,50,50,0.8192223575321285,0.816069413910958,0.0031529436211704676,0.00012035334266444614,0.026444874595983672,-0.017252187172022117,-0.02686756010791128,0.02467818734381442,0.025747173346902883,-0.026022395086668097
201.0,4001,2001,51,51,0.8189859808001706,0.8158171547352231,0.0031688260649475053,0.0001220635718132228,-0.026900345451034924,0.020857931738370895,0.025870385061097772,-0.026084518212016454,-0.022981799364640083,0.024258950269739152
201.0,4001,2001,52,52,0.8187486979083888,0.8155639562903884,0.0031847416180004195,0.00012378177319849647,-0.02618636099010759,0.0236141658069268,0.023502467844004383,-0.026210389841626495,-0.0187620540379569,0.02108112418945483
201.0,4001,2001,53,53,0.816326731076038,0.8153098208094889,0.0010169102665491536,0.05461755019659267,-0.017068146758621526,-0.025422607603482306,0.02461665960993729,0.025065181151285157,-0.02608337017419794,-0.016691237481863196
201.0,4001,2001,54,54,0.8160796867383048,0.8150547504802337,0.0010249362580710963,0.05600317203291015,0.020732145474415795,-0.026223867292405775,-0.026082281936321706,0.02271924301046561,0.024358800497193092,-0.011358202600307017
201.0,4001,2001,55,55,0.8158317723635109,0.8124530813474651,0.0033786910160458206,0.00014505424654545683,0.02354394165557431,-0.00809677986220263,-0.026255429713087114,0.02325476614455403,0.021200135129576005,-0.024229118302962604
201.0,4001,2001,56,56,0.8155829906337554,0.8121878600628049,0.003395130570950533,0.00014688454314449944,-0.025401853559254266,-0.012632378415164243,0.025142950449386074,0.025102701627917046,-0.01681023509007795,-0.021457522680327596
201.0,4001,2001,57,57,0.815333344186062,0.8119217269848489,0.0034116172012130797,0.00014872425039552127,-0.026243704568006437,0.016682583994381456,0.02281400323701482,-0.02581330869737415,-0.011460424320696331,0.017538612545161113
201.0,4001,2001,58,58,0.8127898700772788,0.8116546837934391,0.0011351862838396842,0.07482789098162514,-0.008201812314023515,0.020105476568354458,0.02335118737760505,-0.02536691974551068,-0.024173494323653438,0.012695375025227829
201.0,4001,2001,59,59,0.8125308738387239,0.8113867321347078,0.0011441417040161106,0.076305433036438,-0.012759683666878453,-0.022784061510008797,0.025176301406435026,0.02379553906428972,-0.021331233783625503,-0.007196719729076107
201.0,4001,2001,60,60,0.8122710413498869,0.8083797439747538,0.0038912973751331625,0.00013679009608946985,0.01682235276866822,-5.751246446544234e-05,-0.025847818410440506,0.022777329321700457,0.017335019951696114,-0.020113018814894974
201.0,4001,2001,61,61,0.8120103747434977,0.8081010076779297,0.003909367065567992,0.00013835607099870243,0.02024569462965291,-0.0047258368248868955,-0.025347345294629304,0.02457750977133155,0.012414346965133308,-0.016128552852540296
201.0,4001,2001,62,62,0.8117488761188714,0.8078213815205492,0.003927494598322201,0.00013993100719449363,-0.02291119126050914,0.009212779129155446,0.023709419107158184,-0.025347617952681187,-0.006845226686791363,0.011353834412297611
201.0,4001,2001,63,63,0.8088180468905181,0.8075408667379773,0.0012771801525407467,0.09615360100035948,0.000614036738407884,0.013369200945571815,-0.023092420689145198,-0.025065489223645147,0.019641011381368326,0.0060343374510579435
201.0,4001,2001,64,64,0.8085467164772647,0.8072594645400125,0.0012872519372522095,0.09744333251467072,-0.005308790553113744,-0.0170591412703075,0.024774145837204692,0.023752559895990732,-0.015494998059751153,-0.00043911049739983404
201.0,4001,2001,65,65,0.8082745785722624,0.8038138270472371,0.0044607515250252305,0.00012990176138413925,-0.009800179616123788,0.005917910120014348,0.025403528725506566,0.02319165390697475,-0.010579652613156137,-0.012414578606487262
201.0,4001,2001,66,66,0.8080016348685105,0.8035209876540289,0.004480647214481603,0.0001312692773560084,0.013936894857140225,0.001518633005927047,-0.024963780591184998,0.024557345426083454,0.005150641367515055,-0.007453313667752015
201.0,4001,2001,67,67,0.8077278870337798,0.8032272753230124,0.004500611710767433,0.00013264552863713778,0.01758174858515717,0.0029101100069515023,-0.023482967534088236,-0.02496884856252939,-0.0005139943796324257,0.002164983387580235
201.0,4001,2001,68,68,0.8043807652561504,0.8029326909270825,0.0014480743290679055,0.11214730881404163,0.004840061875343863,0.007229701960322444,0.02366829770876055,-0.02441836249763421,-0.011129285454931201,-0.0032024219135834532
201.0,4001,2001,69,69,0.8040967047565797,0.8026372353193773,0.001459469437202432,0.11269946046974018,0.0003738455133148176,-0.011306686194677682,0.024796168251359187,0.022934998221422958,-0.0060001983862913635,0.008400381765844178
201.0,4001,2001,70,70,0.8038118610518972,0.7990240983154449,0.004787762736452317,0.0001528898831750439,-0.0040862281645884695,0.013531910294560094,0.024945105946091423,0.022512885158813497,-0.0006070991578781915,-0.00605065576451825
201.0,4001,2001,71,71,0.8035262354782975,0.7987173861082181,0.0048088493700794155,0.00015440999317492757,0.008398439402040664,0.0097940177428387,-0.02411724494816795,0.0239864084530504,-0.004793365963471877,-0.0009501308787981186
201.0,4001,2001,72,72,0.8032398293525893,0.7984098127119352,0.004830016640654078,0.00015594056543659653,0.012427487132450208,-0.005782475161232057,-0.022352730864018146,-0.024587266301865626,-0.009947315951865874,-0.004173054644580502
201.0,4001,2001,73,73,0.7997425268797517,0.7981013787152347,0.0016411481645169923,0.1108055808589956,-0.012065099765213853,-0.001616701343228191,-0.023269274795119817,-0.024300474644936457,0.0038670402347981987,-0.009096171412996871
201.0,4001,2001,74,74,0.7994460850972435,0.797792084690994,0.0016540004062494118,0.10984936821509021,0.008152212075792972,-0.0025807739649571135,0.02438899603540881,0.023143044264529997,0.001334909835308742,0.013607688653315292
201.0,4001,2001,75,75,0.7991488793169305,0.7936932330703903,0.005455646246540158,0.00014538101875213256,0.004009311231391639,0.018176967628526865,0.024604896509231488,0.022681348797991253,0.006458764727849265,0.0029017586185281405
201.0,4001,2001,76,76,0.7988509105969397,0.7933719504525772,0.005478960144362444,0.00014674911937270993,0.00023825755375558348,-0.015236704826084189,-0.023915671769820238,-0.023876970328126003,-0.011277901515896933,-0.007695532727088357
201.0,4001,2001,77,77,0.7985521799800406,0.7930498146398335,0.005502365340207094,0.00014812750507454866,0.004463427084625618,-0.011886824006631597,-0.02235315328955151,-0.024258801971370324,-0.015581633822592691,-0.012158256155204107
201.0,4001,2001,78,79,0.7945997970875043,0.7924029848011335,0.0021968122863708084,0.08731111465054807,0.016464738925637944,0.004344898075039924,0.023556058887480327,0.02257982616681405,0.005988796512519909,0.0193944264286403
201.0,4001,2001,79,78,0.7942905012744016,0.7927268259782464,0.001563675296155198,0.34473309923127116,0.013215293090880957,0.008222096372147585,0.024252000796118722,0.02381959920396111,0.010658199940661526,0.01611024231125713
201.0,4001,2001,80,80,0.7939804574949392,0.7877798516568666,0.0062006058380725815,0.0001399457774324987,0.009603981938141201,-0.020614368773090634,0.02410355594387995,-0.023320955270638804,0.014865714235024328,-0.01309183646467308
201.0,4001,2001,81,81,0.7936696665717847,0.7874432544851311,0.006226412086653643,0.0001412045708232531,-0.005734682178517877,-0.018364621314397166,-0.023121479400053796,-0.023913069214951576,-0.01843868644452933,-0.016747224179366894
201.0,4001,2001,82,83,0.7892405757711849,0.7867675138538119,0.002473061917372954,0.11254338323035235,0.020951111233961654,0.012533552245394926,0.023215072935929892,0.02281553603198393,0.012613312517725355,0.02198028619951825
201.0,4001,2001,83,82,0.7889186683582725,0.7871058085052928,0.0018128598529797424,0.4997053845731363,0.01873968390103004,0.015646651179916708,0.023919614407975753,0.023741151055138004,0.016399646790370752,0.019746996743479333
201.0,4001,2001,84,84,0.7885960253806115,0.7819423302040159,0.006653695176595531,0.00016281179207371243,0.016035091284989807,-0.023573444743921323,0.023836102983659752,-0.022084888923976927,0.01952414758035861,-0.015942596588159417
201.0,4001,2001,85,85,0.7882726474694591,0.7815913149337272,0.006681332535731888,0.00016426091113208718,-0.012912263877281033,-0.022892548085536667,-0.022972082732126965,-0.023215534246637873,-0.021867294869413946,-0.018966633793047107
201.0,4001,2001,86,86,0.7836685186445156,0.781239451810507,0.002429066834008564,0.15017672724012823,-0.023564683887605565,0.021652589623410844,-0.022313412656365987,0.02364201204774826,-0.01646047354660504,0.021290633866977278
201.0,4001,2001,87,87,0.783334185812569,0.780886740804883,0.002447445007686011,0.15999540350229213,0.022797907176806034,0.01988719529415797,0.02336530994530277,0.02335566889052669,0.019436190747505074,0.02283428449116905
201.0,4001,2001,88,88,0.782999126833305,0.7805331818783979,0.00246594495490704,0.16995723785677425,0.021455421907743716,-0.0176424814489082,0.023684618408746295,-0.022369312735991957,0.02167078858965963,-0.023546257523165484
