f_hz,L_m,dr_name,status,recovered_k,pred_k,peak_err
201.0,600.0,lam/8,OK,0.5237616368037726,0.5234399382637703,0.000321698540002302
201.0,600.0,lam/8,OK,0.5447121022759236,0.5449807327719576,0.0002686304960339836
201.0,600.0,lam/8,OK,0.57613780048415,0.5760276039351852,0.00011019654896482489
201.0,600.0,lam/8,OK,0.6180387314284518,0.6181844481182335,0.00014571668978169416
201.0,600.0,lam/8,OK,0.8380186188860362,0.8380254482274502,6.82934141393865e-06
201.0,600.0,lam/4,OK,0.3672042254289378,0.36705084119438225,0.00015338423455557582
201.0,600.0,lam/4,OK,0.39867887332284685,0.39899895447963907,0.00032008115679221794
201.0,600.0,lam/4,OK,0.4196619719187861,0.4195426693588518,0.00011930255993430894
201.0,600.0,lam/4,OK,0.4721197184086344,0.4717683638126225,0.0003513545960119324
201.0,600.0,lam/4,OK,0.5035943663025434,0.5037707125108065,0.00017634620826312286
201.0,600.0,lam/4,OK,0.5245774648984827,0.5247704021168749,0.00019293721839219735
201.0,600.0,lam/4,OK,0.545560563494422,0.5456200729594002,5.9509464978235727e-05
201.0,600.0,lam/4,OK,0.5770352113883309,0.5772314884020638,0.00019627701373292616
201.0,600.0,lam/2,OK,0.1789137016219387,0.17951886286519367,0.0006051612432549647
201.0,600.0,lam/2,OK,0.2315353785695677,0.23182333295856994,0.00028795438900222625
201.0,600.0,lam/2,OK,0.273632720127671,0.27327233063363854,0.0003603894940324426
201.0,600.0,lam/2,OK,0.30520572629624837,0.3055560560401102,0.00035032974386184357
201.0,600.0,lam/2,OK,0.3473030678543516,0.3470751009185158,0.00022796693583582162
201.0,600.0,lam/2,OK,0.3683517386334032,0.36794056072455933,0.00041117790884387384
201.0,600.0,lam/2,OK,0.39992474480198065,0.3998360656379513,8.867916402932607e-05
201.0,600.0,lam/2,OK,0.42097341558103224,0.4211526671482861,0.0001792515672538464
201.0,1200.0,lam/8,OK,0.5604249513800368,0.5601145782365132,0.0003103731435235568
201.0,1200.0,lam/8,OK,0.57613780048415,0.5760276039351852,0.00011019654896482489
201.0,1200.0,lam/8,OK,0.5918506495882632,0.5920428763504515,0.00019222676218833001
201.0,1200.0,lam/8,OK,0.6023258823243386,0.6024406163928316,0.00011473406849304979
201.0,1200.0,lam/8,OK,0.6180387314284518,0.6181844481182335,0.00014571668978169416
201.0,1200.0,lam/8,OK,0.633751580532565,0.6339533033927837,0.00020172286021868935
201.0,1200.0,lam/8,OK,0.6442268132686404,0.6439955138114563,0.00023129945718414202
201.0,1200.0,lam/8,OK,0.6547020460047158,0.6548337064018744,0.00013166039715861722
201.0,1200.0,lam/4,OK,0.5080487876996596,0.5078991991866459,0.00014958851301360987
201.0,1200.0,lam/4,OK,0.5237616368037726,0.5234399382637703,0.000321698540002302
201.0,1200.0,lam/4,OK,0.5447121022759236,0.5449807327719576,0.0002686304960339836
201.0,1200.0,lam/4,OK,0.5604249513800368,0.5601145782365132,0.0003103731435235568
201.0,1200.0,lam/4,OK,0.57613780048415,0.5760276039351852,0.00011019654896482489
201.0,1200.0,lam/4,OK,0.5918506495882632,0.5920428763504515,0.00019222676218833001
201.0,1200.0,lam/4,OK,0.6023258823243386,0.6024406163928316,0.00011473406849304979
201.0,1200.0,lam/4,OK,0.6180387314284518,0.6181844481182335,0.00014571668978169416
201.0,1200.0,lam/2,OK,0.34097535218401376,0.34055022280916397,0.0004251293748497864
201.0,1200.0,lam/2,OK,0.37245000007792267,0.3723663146843676,8.368539355507743e-05
201.0,1200.0,lam/2,OK,0.39867887332284685,0.39899895447963907,0.00032008115679221794
201.0,1200.0,lam/2,OK,0.4249077465677709,0.425156752240019,0.00024900567224805936
201.0,1200.0,lam/2,OK,0.44589084516371025,0.4455136645301351,0.0003771806335751693
201.0,1200.0,lam/2,OK,0.4668739437596495,0.4666173776931853,0.00025656606646423663
201.0,1200.0,lam/2,OK,0.4878570423555889,0.48764834722215783,0.00020869513343108048
201.0,1200.0,lam/2,OK,0.5088401409515282,0.5085842397061563,0.0002559012453718923
201.0,2400.0,lam/8,OK,0.6180387314284518,0.6181844481182335,0.00014571668978169416
201.0,2400.0,lam/8,OK,0.631132772348546,0.6312728542385899,0.00014008189004388605
201.0,2400.0,lam/8,OK,0.6442268132686404,0.6439955138114563,0.00023129945718414202
201.0,2400.0,lam/8,OK,0.6573208541887348,0.6573742791346356,5.342494590088176e-05
201.0,2400.0,lam/8,OK,0.6677960869248102,0.6678786613921576,8.257446734738494e-05
201.0,2400.0,lam/8,OK,0.6782713196608856,0.6781173116640457,0.00015400799683995547
