f_hz,z_i,z_j,n_modes,corr,D_abs
201.0,180,190,105,0.12724943166618255,0.8727505683338175
201.0,190,200,105,0.12216041966390404,0.877839580336096
201.0,200,210,105,0.08381623100910049,0.9161837689908995
201.0,210,220,105,0.12716957186191166,0.8728304281380883
201.0,180,200,105,0.09317331265758959,0.9068266873424105
201.0,200,220,105,0.05796623123353675,0.9420337687664633
235.0,180,190,101,0.10172744686555929,0.8982725531344407
235.0,190,200,101,0.06266195829739683,0.9373380417026032
235.0,200,210,101,0.06524473520785995,0.93475526479214
235.0,210,220,101,0.10007194135395935,0.8999280586460406
235.0,180,200,101,0.06668926408549235,0.9333107359145076
235.0,200,220,101,0.0609429826300892,0.9390570173699108
283.0,180,190,104,0.052724003216944995,0.947275996783055
283.0,190,200,104,0.005146898011639604,0.9948531019883604
283.0,200,210,104,0.014493683239041962,0.985506316760958
283.0,210,220,104,0.06878854250136567,0.9312114574986343
283.0,180,200,104,0.07662947409254815,0.9233705259074518
283.0,200,220,104,0.0850311363870337,0.9149688636129663
338.0,180,190,99,0.05410135489490242,0.9458986451050976
338.0,190,200,99,-0.02138731388112311,0.9786126861188769
338.0,200,210,99,-0.051136274565830135,0.9488637254341699
338.0,210,220,99,0.025685261989424297,0.9743147380105757
338.0,180,200,99,0.10613933288468308,0.8938606671153169
338.0,200,220,99,0.06197068902010966,0.9380293109798903
