f_hz,n_z,n_propagating,n_eff_0p1,n_eff_0p2
201.0,2001,1031,459,108
201.0,4001,1114,477,105
201.0,8001,1143,479,105
235.0,2001,1175,497,95
235.0,4001,1287,521,97
235.0,8001,1332,520,99
283.0,2001,1378,565,94
283.0,4001,1523,559,98
283.0,8001,1596,573,100
338.0,2001,1704,64,12
338.0,4001,1779,607,95
338.0,8001,1892,612,94
