mechanism,eps_db,median_delta_J,p10_delta_J,frac_dJ_gt_0,frac_dJ_gt_0p5,median_J_true_star,median_J_alt_star,n
A,0.0,3.761622196011364,1.0633058257760724,1.0,1.0,0.0,3.761622196011364,135
A,0.25,3.5191903788208023,0.8593176356561785,1.0,1.0,0.25000942193864567,3.770889796458456,135
A,0.5,3.2906046357494327,0.7252033929468077,1.0,1.0,0.5005778618521585,3.7950487079667563,135
A,1.0,2.8862625947859897,0.488228292603648,1.0,0.8888888888888888,0.9991293223463719,3.8853183645905243,135
A,1.5,2.5560548660580182,0.4195065994682251,1.0,0.8888888888888888,1.4957393280250153,4.042128094403832,135
A,2.0,2.264483515423019,0.30519028229872264,1.0,0.8888888888888888,1.998340875900358,4.266163779266674,135
B,0.0,2.6298799214343376,1.334501964356941,1.0,1.0,0.0,2.6298799214343376,150
B,0.25,2.3886830211938035,1.1031940622275298,1.0,1.0,0.2505520280388743,2.6381690953484664,150
B,0.5,2.165732425266156,0.9171363036973056,1.0,1.0,0.5006538291742805,2.671466583786746,150
B,1.0,1.822544354776927,0.6471097994053729,1.0,1.0,0.9991293223463719,2.8247523918462036,150
B,1.5,1.5012524488588,0.4908989919573251,1.0,0.8866666666666667,1.4957393280250155,2.9922156381089207,150
B,2.0,1.2945645098789709,0.37433509756977534,1.0,0.8,1.993003030303856,3.2727491914173026,150
C,0.0,2.597404001096762,1.3710815604724864,1.0,1.0,0.0,2.597404001096762,150
C,0.25,2.357181781233336,1.1373905647360754,1.0,1.0,0.25006551986967507,2.610316964748867,150
C,0.5,2.1370858729058875,0.9468836631902284,1.0,1.0,0.5005778618521585,2.641114047953214,150
C,1.0,1.7788246855948868,0.6997621681863129,1.0,1.0,0.9991293223463719,2.7720754998207733,150
C,1.5,1.502048862618028,0.5178841987055389,1.0,0.9466666666666667,1.4957393280250155,2.9931128850886655,150
C,2.0,1.2799185077703004,0.41339903251830407,1.0,0.8,1.9979182704890222,3.2581480809891996,150
