pair_id,mechanism,z_true,eps_db,seed,J_true_star,J_alt_star,delta_J,delta_J_gt_0,delta_J_gt_0p5,static_blind,blind_label
A01,A,180.0,0.0,0,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,180.0,0.0,1,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,180.0,0.0,2,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,180.0,0.0,3,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,180.0,0.0,4,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,180.0,0.25,0,0.25574760525267726,4.384074931831634,4.128327326578956,True,True,False,
A01,A,180.0,0.25,1,0.258561458137974,4.378748187360524,4.12018672922255,True,True,False,
A01,A,180.0,0.25,2,0.24894308986789318,4.351615402550555,4.102672312682662,True,True,False,
A01,A,180.0,0.25,3,0.2453608622534877,4.369196448263717,4.123835586010229,True,True,False,
A01,A,180.0,0.25,4,0.24587031765449935,4.357228503462803,4.111358185808304,True,True,False,
A01,A,180.0,0.5,0,0.5046849769371919,4.405214845034303,3.900529868097111,True,True,False,
A01,A,180.0,0.5,1,0.5051218114708023,4.40391450188174,3.8987926904109376,True,True,False,
A01,A,180.0,0.5,2,0.4978427985981408,4.3894509684859875,3.8916081698878466,True,True,False,
A01,A,180.0,0.5,3,0.5069774969027531,4.38655454049562,3.879577043592867,True,True,False,
A01,A,180.0,0.5,4,0.49717793689080725,4.3878350044746774,3.89065706758387,True,True,False,
A01,A,180.0,1.0,0,0.9835598762839541,4.477012546277787,3.4934526699938324,True,True,False,
A01,A,180.0,1.0,1,1.036322198013128,4.502627036474338,3.46630483846121,True,True,False,
A01,A,180.0,1.0,2,0.9991293223463719,4.515119708579568,3.515990386233196,True,True,False,
A01,A,180.0,1.0,3,1.0053810815827473,4.435254945351797,3.42987386376905,True,True,False,
A01,A,180.0,1.0,4,0.9983152404622384,4.435156864530086,3.4368416240678474,True,True,False,
A01,A,180.0,1.5,0,1.4999168236317642,4.617109423421105,3.117192599789341,True,True,False,
A01,A,180.0,1.5,1,1.4867222930316533,4.613603443714402,3.126881150682748,True,True,False,
A01,A,180.0,1.5,2,1.4518948712549262,4.607792070322941,3.155897199068015,True,True,False,
A01,A,180.0,1.5,3,1.4697264569249817,4.585095020704591,3.115368563779609,True,True,False,
A01,A,180.0,1.5,4,1.5549744329690445,4.632829256952165,3.077854823983121,True,True,False,
A01,A,180.0,2.0,0,1.9022322418833992,4.70840021984623,2.806167977962831,True,True,False,
A01,A,180.0,2.0,1,2.06261688847557,4.880909658837824,2.8182927703622545,True,True,False,
A01,A,180.0,2.0,2,1.9517153037603552,4.795027391722579,2.843312087962224,True,True,False,
A01,A,180.0,2.0,3,2.0028650169106403,4.78247311919173,2.7796081022810895,True,True,False,
A01,A,180.0,2.0,4,2.0307718809372926,4.7860951706116746,2.755323289674382,True,True,False,
A01,A,200.0,0.0,0,0.0,4.361081417975073,4.361081417975073,True,True,False,
