mechanism,n_cases,median_J_alt_fixed,median_J_alt_profiled,rej_fixed_z_thr0.5,rej_profiled_thr0.5,incremental_rej_thr0.5,rej_fixed_z_thr1.0,rej_profiled_thr1.0,incremental_rej_thr1.0,rej_fixed_z_thr1.5,rej_profiled_thr1.5,incremental_rej_thr1.5
A,30,4.44883883162263,3.5423001009440616,0.9,0.9,0.0,0.9,0.9,0.0,0.9,0.8,-0.09999999999999998
B,30,3.554176136679312,2.6298799214343376,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8,-0.19999999999999996
C,30,3.3825947477680396,2.597404001096762,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8,-0.19999999999999996
