pair_id,mechanism,z_true,J_true,J_alt_fixed_z,J_alt_profiled,z_alt_star,z_star_label,wrong_rejected_fixed_z_thr0.5,wrong_rejected_profiled_thr0.5,wrong_rejected_fixed_z_thr1.0,wrong_rejected_profiled_thr1.0,wrong_rejected_fixed_z_thr1.5,wrong_rejected_profiled_thr1.5
A07,A,200.0,0.0,4.417337985612254,3.761622196011364,165.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
A07,A,220.0,0.0,4.651847858446734,3.761622196011364,165.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
A08,A,180.0,0.0,4.618486880215321,3.322978005876759,235.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
A08,A,200.0,0.0,5.583405639504696,3.322978005876759,235.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
A08,A,220.0,0.0,5.214162818185868,3.322978005876759,235.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
A09,A,180.0,0.0,4.121442972813864,2.8167506488346037,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
A09,A,200.0,0.0,5.198137041464699,2.8167506488346032,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
A09,A,220.0,0.0,3.9739591814639,2.8167506488346032,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
A10,A,180.0,0.0,1.7539469905038207,1.0633058257760721,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
A10,A,200.0,0.0,2.916339188438888,1.0633058257760724,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
A10,A,220.0,0.0,3.295883436862783,1.0633058257760724,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
B01,B,180.0,0.0,4.539596803679151,2.707920896683704,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B01,B,200.0,0.0,4.168800020157235,2.7255447038357827,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B01,B,220.0,0.0,3.5593033725349494,2.6997602473366604,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B02,B,180.0,0.0,3.8504122297977794,2.7032757466020776,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B02,B,200.0,0.0,5.100558777900568,2.730490141256918,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B02,B,220.0,0.0,3.947652250510032,2.718138233825739,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B03,B,180.0,0.0,2.505182728024221,1.3488380050264297,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
B03,B,200.0,0.0,1.8760532892762394,1.1510264046214609,210.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
B03,B,220.0,0.0,1.9006746470866382,1.3288487988808735,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
B04,B,180.0,0.0,3.2542494767178884,1.9580935160971646,210.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B04,B,200.0,0.0,2.318573931417688,1.647749845342147,205.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B04,B,220.0,0.0,2.047386460201923,1.9520133532663924,210.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B05,B,180.0,0.0,4.537209772480555,2.7408647737145837,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B05,B,200.0,0.0,4.049071175705553,2.648319344688156,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B05,B,220.0,0.0,3.5490489008236743,2.7535475730894223,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B06,B,180.0,0.0,3.048910678425038,2.6114404981805186,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B06,B,200.0,0.0,3.8237664487360132,2.5121143563802937,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B06,B,220.0,0.0,3.2782927672877675,2.5378214778614967,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B07,B,180.0,0.0,4.162478737799574,3.154296426752716,165.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B07,B,200.0,0.0,3.973903479638434,3.188590166002423,165.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B07,B,220.0,0.0,3.9269639144944004,3.1637490647731252,165.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B08,B,180.0,0.0,2.475155875291792,1.3365362607817093,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
B08,B,200.0,0.0,1.864817140675811,1.1385484957850511,210.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
B08,B,220.0,0.0,1.8778606968961813,1.3351300938542818,175.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
B09,B,180.0,0.0,4.430642491937205,3.268953279179714,205.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B09,B,200.0,0.0,4.383859900761957,3.2465874852990897,205.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B09,B,220.0,0.0,3.606763509950595,3.214332163835974,205.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B10,B,180.0,0.0,3.5080936503215336,1.7090044692899322,205.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B10,B,200.0,0.0,2.6336503868171546,1.8171123733022956,210.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
B10,B,220.0,0.0,2.062931525885241,1.8181650601733776,205.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C01,C,180.0,0.0,3.0405591369913734,1.342835752570543,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
C01,C,200.0,0.0,2.1696425639277703,1.3801538215291802,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
C01,C,220.0,0.0,2.6447854524510164,1.3988385046176675,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
C02,C,180.0,0.0,3.2920903351744037,2.6037058848772974,230.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C02,C,200.0,0.0,4.4348118433546135,2.6100560168210025,230.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C02,C,220.0,0.0,3.7764052751760375,2.591102117316226,230.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C03,C,180.0,0.0,3.3859443177609423,2.7125315540709414,230.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C03,C,200.0,0.0,5.1122589775665785,2.7358677140423975,230.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
