n_lines,frequencies,median_delta_J,p10_delta_J,min_delta_J,fraction_tested_dJ_gt_0,fraction_tested_dJ_gt_0p5,subset_pass,status
1,201,1.785184257985327,0.6641614679062677,0.3365362702550957,1.0,0.9655172413793104,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
1,235,1.4477445043781332,0.5656529445084666,0.14003997985510167,1.0,0.9310344827586207,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
1,283,1.8505009980576024,1.1611539188365707,0.8551827448160462,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
1,338,1.8397909198566766,1.0645013925367106,0.7136085692553186,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
2,201;235,2.0356868250262554,0.9358048685912674,0.6606087527359092,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
2,201;283,2.493151434605307,1.0811669867155822,0.8010042985057547,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
2,201;338,2.1412618350784447,1.1722120545472785,0.9225593893371445,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
2,235;283,2.179698116391818,1.1059453679450921,0.7360118814734595,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
2,235;338,2.3955418474576975,1.0969112953955749,0.8307213121262631,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
2,283;338,2.6133855525921437,1.3068826560095403,1.138390017125468,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
3,201;235;283,2.5424266147703096,1.1560685366877814,0.9127817919977168,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
3,201;235;338,2.549890886470953,1.150273562932642,0.8951760516047261,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
3,201;283;338,2.675790630022866,1.3409174850402454,1.0348848663185535,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
3,235;283;338,2.5903215857113815,1.25520125928322,0.9330014037395055,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
4,201;235;283;338,2.7125315540709414,1.3403159558550095,1.0633058257760721,1.0,1.0,True,SUBSET_TRAJECTORY_INFORMATION_SURVIVES
