n_lines,n_subsets,worst_subset,worst_frac_gt0,worst_median_dJ,best_subset,best_frac_gt0,median_of_subset_medians,n_pass,all_pass
1,4,201,1.0,1.785184257985327,201,1.0,1.8124875889210017,4,True
2,6,201;235,1.0,2.0356868250262554,201;235,1.0,2.287619981924758,6,True
3,4,201;235;283,1.0,2.5424266147703096,201;235;283,1.0,2.570106236091167,4,True
4,1,201;235;283;338,1.0,2.7125315540709414,201;235;283;338,1.0,2.7125315540709414,1,True
