pair_id,mechanism,z_true,dJ_201,dJ_235,dJ_283,dJ_338,dJ_min,dJ_max,dJ_range
A01,A,180.0,2.902465453557174,3.3031838185295883,2.9708992144472175,3.4060805630841524,2.902465453557174,3.4060805630841524,0.5036151095269785
A01,A,200.0,2.902465453557174,3.3031838185295883,2.9708992144472175,3.4060805630841524,2.902465453557174,3.4060805630841524,0.5036151095269785
A01,A,220.0,2.902465453557174,3.3031838185295883,2.9708992144472175,3.4060805630841524,2.902465453557174,3.4060805630841524,0.5036151095269785
A02,A,180.0,3.2321291780099757,3.3676290032498333,3.02797964825562,3.195789861046654,3.02797964825562,3.3676290032498333,0.3396493549942132
A02,A,200.0,3.2321291780099757,3.3676290032498333,3.02797964825562,3.195789861046654,3.02797964825562,3.3676290032498333,0.3396493549942132
A02,A,220.0,3.2321291780099757,3.3676290032498333,3.02797964825562,3.195789861046654,3.02797964825562,3.3676290032498333,0.3396493549942132
A03,A,180.0,0.7338479784490007,0.9695692622801652,1.8619645655983075,1.458460437046612,0.7338479784490007,1.8619645655983075,1.1281165871493068
A03,A,200.0,0.7338479784490007,0.9695692622801652,1.8619645655983075,1.4584604370466123,0.7338479784490007,1.8619645655983075,1.1281165871493068
A03,A,220.0,0.7338479784490007,0.9695692622801652,1.8619645655983075,1.458460437046612,0.7338479784490007,1.8619645655983075,1.1281165871493068
A04,A,180.0,2.1945291459353737,2.242099709718677,2.26507813574229,3.3560219433547083,2.1945291459353737,3.3560219433547083,1.1614927974193345
A04,A,200.0,2.1945291459353737,2.2420997097186772,2.2650781357422898,3.356021943354708,2.1945291459353737,3.356021943354708,1.161492797419334
A04,A,220.0,2.1945291459353737,2.2420997097186772,2.26507813574229,3.3560219433547083,2.1945291459353737,3.3560219433547083,1.1614927974193345
A06,A,180.0,2.3748799973342156,2.2246686832018514,2.0800457252878584,2.952348912136083,2.0800457252878584,2.952348912136083,0.8723031868482245
A06,A,200.0,2.374879997334216,2.2246686832018514,2.0800457252878584,2.952348912136083,2.0800457252878584,2.952348912136083,0.8723031868482245
A06,A,220.0,2.3748799973342156,2.2246686832018514,2.0800457252878584,2.952348912136083,2.0800457252878584,2.952348912136083,0.8723031868482245
A07,A,180.0,2.4844250090036106,3.017689565375545,1.6890288816248282,3.52469610568626,1.6890288816248282,3.52469610568626,1.8356672240614316
A07,A,200.0,2.4844250090036106,3.0176895653755444,1.6890288816248282,3.5246961056862602,1.6890288816248282,3.5246961056862602,1.835667224061432
