n_lines,mechanism,median_delta_J,fraction_tested_dJ_gt_0,n
1,A,2.378002917225462,1.0,108
1,B,1.6042023628638593,1.0,120
1,C,1.3847145226002326,1.0,120
2,A,3.0155781817636775,1.0,162
2,B,2.062305536583117,1.0,180
2,C,1.8290534789746955,1.0,180
3,A,3.47155510818022,1.0,108
3,B,2.3942450940123585,1.0,120
3,C,2.147485235927389,1.0,120
4,A,3.761622196011364,1.0,27
4,B,2.6298799214343376,1.0,30
4,C,2.597404001096762,1.0,30
