k_true,dr,N,p,power,label,n_omega_peaks,abs_err,k_rec,status,unique_in_band,dr_tag,p_tag,power_tag,alias_class
1.32,1.8849555921538759,200,7,1,NO_FOLD_CONTROL|PRINTED_LITERAL_CONTROL|PRINTED_EQ19_MODULUS_POWER_1,7,0.15257486979166668,1.4725748697916667,NO_FOLD_DIRECT_RECOVERY,True,NO_FOLD_CONTROL,PRINTED_LITERAL_CONTROL,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BRANCH_AMBIGUOUS
1.32,1.8849555921538759,200,7,2,NO_FOLD_CONTROL|PRINTED_LITERAL_CONTROL|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,7,0.15257486979166668,1.4725748697916667,NO_FOLD_DIRECT_RECOVERY,True,NO_FOLD_CONTROL,PRINTED_LITERAL_CONTROL,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BRANCH_AMBIGUOUS
1.32,1.8849555921538759,200,133,1,NO_FOLD_CONTROL|OUR_MOVING_SAMPLE_INTERPRETATION|PRINTED_EQ19_MODULUS_POWER_1,133,0.013007812499999716,1.3330078124999998,NO_FOLD_DIRECT_RECOVERY,True,NO_FOLD_CONTROL,OUR_MOVING_SAMPLE_INTERPRETATION,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BRANCH_AMBIGUOUS
1.32,1.8849555921538759,200,133,2,NO_FOLD_CONTROL|OUR_MOVING_SAMPLE_INTERPRETATION|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,133,0.013007812499999716,1.3330078124999998,NO_FOLD_DIRECT_RECOVERY,True,NO_FOLD_CONTROL,OUR_MOVING_SAMPLE_INTERPRETATION,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BRANCH_AMBIGUOUS
1.32,0.5,200,7,1,AUX_CONTROL|PRINTED_LITERAL_CONTROL|PRINTED_EQ19_MODULUS_POWER_1,7,0.0007574583695373338,1.3207574583695374,FOLDED_BUT_BRANCH_RECOVERABLE,True,AUX_CONTROL,PRINTED_LITERAL_CONTROL,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.32,0.5,200,7,2,AUX_CONTROL|PRINTED_LITERAL_CONTROL|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,7,0.0007574583695373338,1.3207574583695374,FOLDED_BUT_BRANCH_RECOVERABLE,True,AUX_CONTROL,PRINTED_LITERAL_CONTROL,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.32,0.5,200,133,1,AUX_CONTROL|OUR_MOVING_SAMPLE_INTERPRETATION|PRINTED_EQ19_MODULUS_POWER_1,133,0.0007574583695373338,1.3207574583695374,FOLDED_BUT_BRANCH_RECOVERABLE,True,AUX_CONTROL,OUR_MOVING_SAMPLE_INTERPRETATION,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.32,0.5,200,133,2,AUX_CONTROL|OUR_MOVING_SAMPLE_INTERPRETATION|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,133,0.0007574583695373338,1.3207574583695374,FOLDED_BUT_BRANCH_RECOVERABLE,True,AUX_CONTROL,OUR_MOVING_SAMPLE_INTERPRETATION,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.32,2.5,200,7,1,REF7_CONSISTENT_SAMPLING_ASSUMPTION|PRINTED_LITERAL_CONTROL|PRINTED_EQ19_MODULUS_POWER_1,7,0.00014386605438287958,1.320143866054383,FOLDED_BUT_BRANCH_RECOVERABLE,True,REF7_CONSISTENT_SAMPLING_ASSUMPTION,PRINTED_LITERAL_CONTROL,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.32,2.5,200,7,2,REF7_CONSISTENT_SAMPLING_ASSUMPTION|PRINTED_LITERAL_CONTROL|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,7,0.00014386605438287958,1.320143866054383,FOLDED_BUT_BRANCH_RECOVERABLE,True,REF7_CONSISTENT_SAMPLING_ASSUMPTION,PRINTED_LITERAL_CONTROL,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.32,2.5,200,133,1,REF7_CONSISTENT_SAMPLING_ASSUMPTION|OUR_MOVING_SAMPLE_INTERPRETATION|PRINTED_EQ19_MODULUS_POWER_1,133,0.00014386605438287958,1.320143866054383,FOLDED_BUT_BRANCH_RECOVERABLE,True,REF7_CONSISTENT_SAMPLING_ASSUMPTION,OUR_MOVING_SAMPLE_INTERPRETATION,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.32,2.5,200,133,2,REF7_CONSISTENT_SAMPLING_ASSUMPTION|OUR_MOVING_SAMPLE_INTERPRETATION|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,133,0.00014386605438287958,1.320143866054383,FOLDED_BUT_BRANCH_RECOVERABLE,True,REF7_CONSISTENT_SAMPLING_ASSUMPTION,OUR_MOVING_SAMPLE_INTERPRETATION,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.41,1.8849555921538759,200,7,1,NO_FOLD_CONTROL|PRINTED_LITERAL_CONTROL|PRINTED_EQ19_MODULUS_POWER_1,7,8.789062499992006e-05,1.409912109375,FOLDED_BUT_BRANCH_RECOVERABLE,True,NO_FOLD_CONTROL,PRINTED_LITERAL_CONTROL,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
