case,n_true,dr,dr_tag,p,p_tag,power,power_tag,n_rec_in_band,mean_abs_err,max_abs_err,all_recovered_within_1e-3,status
5_peak_wide,5,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,17,0.002242827185447016,0.011035129648370612,False,PARTIAL_OR_FAIL
5_peak_wide,5,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,17,0.002242827185447016,0.011035129648370612,False,PARTIAL_OR_FAIL
2_peak_close,2,1.8849555921538759,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,2,4.313151041668295e-05,5.6966145833392545e-05,True,OK
2_peak_close,2,1.8849555921538759,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,2,4.313151041668295e-05,5.6966145833392545e-05,True,OK
2_peak_close,2,1.8849555921538759,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,14,4.313151041668295e-05,5.6966145833392545e-05,True,OK
2_peak_close,2,1.8849555921538759,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,14,4.313151041668295e-05,5.6966145833392545e-05,True,OK
2_peak_close,2,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,2,4.5630739383129004e-05,6.426510322476986e-05,True,OK
2_peak_close,2,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,2,4.5630739383129004e-05,6.426510322476986e-05,True,OK
2_peak_close,2,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,18,4.5630739383129004e-05,6.426510322476986e-05,True,OK
2_peak_close,2,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,18,4.5630739383129004e-05,6.426510322476986e-05,True,OK
3_peak_close,3,1.8849555921538759,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,3,5.002170138901363e-05,8.105468750008171e-05,True,OK
3_peak_close,3,1.8849555921538759,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,3,5.002170138901363e-05,8.105468750008171e-05,True,OK
3_peak_close,3,1.8849555921538759,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,15,5.002170138901363e-05,8.105468750008171e-05,True,OK
3_peak_close,3,1.8849555921538759,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,15,5.002170138901363e-05,8.105468750008171e-05,True,OK
3_peak_close,3,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,3,5.2615151727423516e-05,6.426510322476986e-05,True,OK
