zr,role,Delta_ratio,z_hat,D43,D50,D50_over_D43,D50_over_Dmax,D43_over_Dmax
70,CONTROL,0.02,50.0,0.0005331583672397125,0.05783042084476414,108.46762312700064,1.0,0.009219340953282786
18,MAIN,0.02,35.0,0.03671671117222184,0.013490194094359823,0.36741292081099786,0.2437942694464823,0.66354299382926
70,CONTROL,0.03,50.0,0.0005669034069397036,0.05899579399260777,104.06674800400806,1.0,0.009609217345404947
18,MAIN,0.03,34.0,0.0427056746978281,0.019166175310314316,0.4487969209227611,0.3721241321948766,0.8291592808385599
70,CONTROL,0.05,50.0,0.0007347428442348119,0.06234772460613073,84.856525103095,1.0,0.011784597575555528
18,MAIN,0.05,43.0,0.05068905656358957,0.029942887152511578,0.5907169946031278,0.5907169946031278,1.0
70,CONTROL,0.075,50.0,0.0012103440708284476,0.06755384886090052,55.813756178159935,1.0,0.01791673000483889
18,MAIN,0.075,43.0,0.05529330640476807,0.04079056173604502,0.7377124716949023,0.7377124716949023,1.0
70,CONTROL,0.1,50.0,0.001966439403745327,0.0727661004580422,37.003988182626,1.0,0.02702411413236579
18,MAIN,0.1,43.0,0.057027518629365184,0.04909002960683107,0.8608130037338348,0.8608130037338348,1.0
70,CONTROL,0.125,50.0,0.002875176772993417,0.07728263766473929,26.87926474318254,1.0,0.03720339858826059
18,MAIN,0.125,43.0,0.05736952045575169,0.05516317792778543,0.9615415553339343,0.9615415553339343,1.0
70,CONTROL,0.15,50.0,0.0038023054897747565,0.08089360854559428,21.274884083652708,1.0,0.04700378136341455
18,MAIN,0.15,50.0,0.057022784300953255,0.05944146245915639,1.0424159954280363,1.0,0.959309915030017
70,CONTROL,0.175,50.0,0.00466608549146443,0.08365647295057003,17.928619847107605,1.0,0.0557767417976308
18,MAIN,0.175,50.0,0.056335584081242694,0.06236388618071829,1.107007004503265,1.0,0.903336650926359
70,CONTROL,0.2,50.0,0.005434994893360789,0.08571796677339794,15.771489845944139,1.0,0.06340555076077128
18,MAIN,0.2,50.0,0.055481291982826475,0.06428473493516486,1.1586740798152895,1.0,0.8630554678149144
70,CONTROL,0.25,50.0,0.006692433913897563,0.08831687671194528,13.196525785416533,1.0,0.07577752025499764
18,MAIN,0.25,50.0,0.05359856854210899,0.06610640923763733,1.2333614690791925,1.0,0.8107923143947279
