smooth_m,route,Delta_ratio,z_hat,D43,D50,D50_over_D43,D50_over_Dmax,D43_over_Dmax,n_selected,slope
100.0,PAPER_EQ2,0.05,50.0,0.03979456392747916,0.06563058124397385,1.6492348393006075,1.0,0.6063417872157435,12.0,
100.0,PAPER_EQ2,0.1,50.0,0.04452571376828552,0.0664062392008441,1.491413243736555,1.0,0.6705049751969624,12.0,
100.0,PAPER_EQ2,0.2,50.0,0.046563991541872414,0.06547249253240617,1.4060756040111035,1.0,0.7111993104405666,12.0,
250.0,PAPER_EQ2,0.05,50.0,0.03997067600349537,0.05159907781731352,1.2909233212068085,1.0,0.7746393481102802,13.0,
250.0,PAPER_EQ2,0.1,50.0,0.049615685807783104,0.06605607796705382,1.3313547296909831,1.0,0.7511146185901237,13.0,
250.0,PAPER_EQ2,0.2,50.0,0.05399774490184871,0.0729394597493878,1.3507871464256387,1.0,0.7403090876650197,13.0,
500.0,PAPER_EQ2,0.05,50.0,0.04272658541872988,0.052080338145317415,1.218921138558551,1.0,0.8203976191458631,13.0,
500.0,PAPER_EQ2,0.1,50.0,0.051389617889056674,0.06678514401030125,1.2995843665248001,1.0,0.7694767848539804,13.0,
500.0,PAPER_EQ2,0.2,50.0,0.05475128007953014,0.07402411153746583,1.3520069563659611,1.0,0.7396411647820842,13.0,
,THEORY_CONTROL,0.05,43.0,0.05068905656358957,0.029942887152511578,0.5907169946031278,0.5907169946031278,1.0,13.0,
,THEORY_CONTROL,0.1,43.0,0.057027518629365184,0.04909002960683107,0.8608130037338348,0.8608130037338348,1.0,13.0,
,THEORY_CONTROL,0.2,50.0,0.055481291982826475,0.06428473493516486,1.1586740798152895,1.0,0.8630554678149144,13.0,
250.0,REAL_DATA_STYLE_LOGFIT,,,,,,,,,-2.73348997252559
