picker,zs,zr,prominence_frac,n_peaks,n_selected,selected_modes,z_hat
CUSTOM,50.0,18,0.01,60,14,16;15;14;13;12;11;10;9;8;7;6;5;4;3,50.0
CUSTOM,50.0,18,0.03,36,13,16;15;14;13;12;11;10;9;8;7;6;5;4,50.0
CUSTOM,50.0,18,0.05,27,11,16;15;13;12;11;10;9;8;7;6;5,50.0
CUSTOM,50.0,18,0.1,15,11,16;15;13;12;11;10;9;8;7;6;5,50.0
CUSTOM,50.0,70,0.01,62,15,16;15;14;13;11;10;9;8;7;6;5;4;3;2;1,50.0
CUSTOM,50.0,70,0.03,38,14,15;14;13;11;10;9;8;7;6;5;4;3;2;1,50.0
CUSTOM,50.0,70,0.05,28,13,15;14;13;11;10;8;7;6;5;4;3;2;1,50.0
CUSTOM,50.0,70,0.1,17,9,13;10;8;7;5;4;3;2;1,50.0
SCIPY_STYLE,50.0,18,0.01,62,16,16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1,50.0
SCIPY_STYLE,50.0,18,0.03,36,13,16;15;14;13;12;11;10;9;8;7;6;5;4,50.0
SCIPY_STYLE,50.0,18,0.05,28,12,16;15;14;13;12;11;10;9;8;7;6;5,50.0
SCIPY_STYLE,50.0,18,0.1,15,11,16;15;13;12;11;10;9;8;7;6;5,50.0
SCIPY_STYLE,50.0,70,0.01,62,15,16;15;14;13;11;10;9;8;7;6;5;4;3;2;1,50.0
SCIPY_STYLE,50.0,70,0.03,38,14,15;14;13;11;10;9;8;7;6;5;4;3;2;1,50.0
SCIPY_STYLE,50.0,70,0.05,28,13,15;14;13;11;10;8;7;6;5;4;3;2;1,50.0
SCIPY_STYLE,50.0,70,0.1,17,9,13;10;8;7;5;4;3;2;1,50.0
