removed_mode,Delta_ratio,z_hat,D43,D50,D50_over_D43,D50_over_Dmax,D43_over_Dmax
16,0.05,43.0,0.050740141253085444,0.027274197326833276,0.5375270279756024,0.5375270279756024,1.0
16,0.1,43.0,0.057174856643260066,0.04528067488673052,0.7919683151854188,0.7919683151854188,1.0
16,0.2,50.0,0.05573051778112681,0.05936002906991567,1.0651261002641896,1.0,0.9388559718440512
15,0.05,34.0,0.04581528639794794,0.027119718351782025,0.5919360214453818,0.5849577211855782,0.9882110565889128
15,0.1,43.0,0.051223312816316084,0.04525251110965086,0.8834358541378184,0.8834358541378184,1.0
15,0.2,50.0,0.04889779877120226,0.05954270142771226,1.217696970497968,1.0,0.8212223765253005
14,0.05,43.0,0.05156482100074018,0.028161248630589678,0.5461329659262356,0.5461329659262356,1.0
14,0.1,43.0,0.05806114044647412,0.046766831011595004,0.8054755840476264,0.8054755840476264,1.0
14,0.2,50.0,0.056423908700490105,0.061782463381013286,1.0949695759109406,1.0,0.9132673838613896
13,0.05,33.0,0.04178624225322532,0.021264048546890853,0.5088767833688028,0.43377096313087127,0.8524086327131585
13,0.1,43.0,0.04698737011661478,0.03816495814681248,0.8122386516226263,0.8122386516226263,1.0
13,0.2,50.0,0.04534831916736849,0.05276293720155667,1.1635037013571068,1.0,0.8594729856326228
12,0.05,43.0,0.04956417773241348,0.029556453846829187,0.596326928016404,0.596326928016404,1.0
12,0.1,43.0,0.05576478485487892,0.04859179228670471,0.8713705685973495,0.8713705685973495,1.0
12,0.2,50.0,0.05412989394932214,0.06370933415022036,1.176971346181959,1.0,0.8496383563150913
11,0.05,32.0,0.041444808198930545,0.02258250882965886,0.544881489649205,0.45238809101416744,0.8302504298786423
11,0.1,43.0,0.04692879361109251,0.03979074634902685,0.847896212265332,0.847896212265332,1.0
11,0.2,50.0,0.04499100822483784,0.053967304746912366,1.1995131222046953,1.0,0.8336715801507933
10,0.05,44.0,0.041367542710160174,0.019734977236204224,0.47706428623223895,0.4491000118818262,0.9413825868809649
10,0.1,43.0,0.04720069480690863,0.03703501320138413,0.7846285600855906,0.7846285600855906,1.0
10,0.2,50.0,0.04608126750714487,0.052465141396243774,1.1385351192457778,1.0,0.8783216108980895
9,0.05,43.0,0.05057903083303036,0.030118349348831536,0.5954710648422096,0.5954710648422096,1.0
9,0.1,43.0,0.057001399226266805,0.0494449648504493,0.8674342300647345,0.8674342300647345,1.0
9,0.2,50.0,0.055573366437457784,0.0649012791323326,1.1678486169336608,1.0,0.8562753643752482
8,0.05,43.0,0.034757990574847956,0.018089827828423107,0.5204509101142778,0.5204509101142778,1.0
8,0.1,43.0,0.039529866207540794,0.034944494478538785,0.8840023463543295,0.8840023463543295,1.0
8,0.2,50.0,0.037099396461640885,0.05066872027096224,1.3657559179797285,1.0,0.7321952530721838
7,0.05,35.0,0.06131867679182702,0.0205684953675715,0.3354360603279197,0.2909327868119685,0.8673271040911785
7,0.1,44.0,0.07195072857290644,0.03816939168068928,0.5304934701531603,0.5130358664677598,0.967091765181652
7,0.2,43.0,0.07358934724950446,0.05355697742940576,0.7277816617644534,0.7277816617644534,1.0
6,0.05,43.0,0.03994874508921575,0.02791045031976661,0.6986564974052488,0.6986564974052488,1.0
6,0.1,50.0,0.04683266208580278,0.0475323716182452,1.0149406312022253,1.0,0.9852793052687941
6,0.2,50.0,0.04643992323072113,0.06195864125982013,1.3341676072977011,1.0,0.7495310143419364
5,0.05,50.0,0.04727859913707387,0.06072260279158125,1.284357064293074,1.0,0.7785996805727949
5,0.1,50.0,0.05267301719215354,0.07110627523483531,1.3499563728319648,1.0,0.740764679603816
5,0.2,50.0,0.05238797625300925,0.07375487700238928,1.407858869107445,1.0,0.7102984695006969
4,0.05,43.0,0.0580884670555337,0.039075530731540506,0.6726899970381993,0.6726899970381993,1.0
4,0.1,43.0,0.05943340988559472,0.05275161891158784,0.8875751704829173,0.8875751704829173,1.0
4,0.2,50.0,0.056209522965342366,0.06556212158818886,1.166388151499046,1.0,0.8573475293921639
