route,Delta_ratio,z_hat,D43,D50,D50_over_D43,global_peak_depth,second_peak_depth,second_peak_ratio,n_selected
THEORY_CONTROL_sqrt_r,0.02,35.0,0.03671671117222184,0.013490194094359823,0.36741292081099786,35.0,34.0,0.9930777941982202,13
THEORY_CONTROL_sqrt_r,0.03,34.0,0.0427056746978281,0.019166175310314316,0.4487969209227611,34.0,35.0,0.9950375993127765,13
THEORY_CONTROL_sqrt_r,0.05,43.0,0.05068905656358957,0.029942887152511578,0.5907169946031278,43.0,44.0,0.9374739461109005,13
THEORY_CONTROL_sqrt_r,0.075,43.0,0.05529330640476807,0.04079056173604502,0.7377124716949023,43.0,44.0,0.8930695724642586,13
THEORY_CONTROL_sqrt_r,0.1,43.0,0.057027518629365184,0.04909002960683107,0.8608130037338348,43.0,44.0,0.8632816735368283,13
THEORY_CONTROL_sqrt_r,0.125,43.0,0.05736952045575169,0.05516317792778543,0.9615415553339343,43.0,50.0,0.9615415553339343,13
THEORY_CONTROL_sqrt_r,0.15,50.0,0.057022784300953255,0.05944146245915639,1.0424159954280363,50.0,43.0,0.959309915030017,13
THEORY_CONTROL_sqrt_r,0.175,50.0,0.056335584081242694,0.06236388618071829,1.107007004503265,50.0,51.0,0.9122758234859778,13
THEORY_CONTROL_sqrt_r,0.2,50.0,0.055481291982826475,0.06428473493516486,1.1586740798152895,50.0,51.0,0.9098173390057357,13
THEORY_CONTROL_sqrt_r,0.25,50.0,0.05359856854210899,0.06610640923763733,1.2333614690791925,50.0,51.0,0.9071727823826486,13
PAPER_EQ2_w100,0.02,50.0,0.03680563467402646,0.06461674644607225,1.7556210351582917,50.0,49.0,0.8769638575737349,12
PAPER_EQ2_w100,0.03,50.0,0.037640491597991016,0.06493397686638804,1.725109691974739,50.0,49.0,0.872406190139387,12
PAPER_EQ2_w100,0.05,50.0,0.03979456392747916,0.06563058124397385,1.6492348393006075,50.0,51.0,0.8639129190335941,12
PAPER_EQ2_w100,0.075,50.0,0.04249560554656683,0.06622391843036457,1.5583709792721079,50.0,51.0,0.8737152952651489,12
PAPER_EQ2_w100,0.1,50.0,0.04452571376828552,0.0664062392008441,1.491413243736555,50.0,51.0,0.8816748612961773,12
PAPER_EQ2_w100,0.125,50.0,0.04578587483786424,0.06632719981966262,1.448638910024954,50.0,51.0,0.8873023607551977,12
PAPER_EQ2_w100,0.15,50.0,0.04643319275616576,0.06611569604357324,1.4238886477345216,50.0,51.0,0.8909767235253374,12
PAPER_EQ2_w100,0.175,50.0,0.04664595376790051,0.06582606019006926,1.4111847839494187,50.0,51.0,0.8932273223707298,12
PAPER_EQ2_w100,0.2,50.0,0.046563991541872414,0.06547249253240617,1.4060756040111035,50.0,51.0,0.8945031053777711,12
PAPER_EQ2_w100,0.25,50.0,0.0458926604948999,0.06458621731499421,1.407332166374877,50.0,51.0,0.895372619645447,12
PAPER_EQ2_w250,0.02,57.0,0.02794695003173239,0.030679002040367314,1.097758503362006,57.0,58.0,0.8743790705207244,13
PAPER_EQ2_w250,0.03,57.0,0.03265862235336855,0.03896341415448258,1.1930513704128654,57.0,58.0,0.8927092518781881,13
PAPER_EQ2_w250,0.05,50.0,0.03997067600349537,0.05159907781731352,1.2909233212068085,50.0,57.0,0.9490757331958948,13
PAPER_EQ2_w250,0.075,50.0,0.04587449585879318,0.06075547770411011,1.3243846404573527,50.0,49.0,0.8586311056016979,13
PAPER_EQ2_w250,0.1,50.0,0.049615685807783104,0.06605607796705382,1.3313547296909831,50.0,51.0,0.8575863478775301,13
PAPER_EQ2_w250,0.125,50.0,0.051896200684614056,0.06926218620787032,1.33462922707567,50.0,51.0,0.8667483885992489,13
PAPER_EQ2_w250,0.15,50.0,0.05318668916765187,0.0712133140502072,1.338931134174058,50.0,51.0,0.872592802795222,13
PAPER_EQ2_w250,0.175,50.0,0.05381535605276702,0.07235638916658332,1.344530529457734,50.0,51.0,0.8763903803884642,13
PAPER_EQ2_w250,0.2,50.0,0.05399774490184871,0.0729394597493878,1.3507871464256387,50.0,51.0,0.8789315619297364,13
PAPER_EQ2_w250,0.25,50.0,0.05354872537074422,0.07297434796969181,1.3627653592957523,50.0,51.0,0.88203184586322,13
PAPER_EQ2_w500,0.02,57.0,0.03193464573660434,0.032165621388736305,1.0072327607463394,57.0,58.0,0.8881903583514724,13
PAPER_EQ2_w500,0.03,57.0,0.036196935148094925,0.039961531577249784,1.104003181864777,57.0,58.0,0.9081806360077828,13
PAPER_EQ2_w500,0.05,50.0,0.04272658541872988,0.052080338145317415,1.218921138558551,50.0,57.0,0.9403024547891831,13
PAPER_EQ2_w500,0.075,50.0,0.048039168539200684,0.061252360614987234,1.275050390703669,50.0,51.0,0.8636574270122458,13
PAPER_EQ2_w500,0.1,50.0,0.051389617889056674,0.06678514401030125,1.2995843665248001,50.0,51.0,0.8749035151703946,13
PAPER_EQ2_w500,0.125,50.0,0.05335606423231586,0.07019636243871807,1.3156210722942088,50.0,51.0,0.8821299660196547,13
PAPER_EQ2_w500,0.15,50.0,0.05437626937041963,0.0722687001733635,1.329048517121648,50.0,51.0,0.8867418546481383,13
PAPER_EQ2_w500,0.175,50.0,0.05477053325110427,0.07345531341114014,1.3411465810342307,50.0,51.0,0.8897405231085413,13
PAPER_EQ2_w500,0.2,50.0,0.05475128007953014,0.07402411153746583,1.3520069563659611,50.0,51.0,0.8917727688146382,13
PAPER_EQ2_w500,0.25,50.0,0.05398595022702637,0.07392785392145333,1.3693906212739713,50.0,51.0,0.8944019298034049,13
