n_detected_peaks_in_band,true_peak_recalled,false_peak_count,recall,precision,f1,peak_count_err,recovered_ks,abs_err_list,max_abs_err,case,n_true,dr,dr_tag,p,p_tag,power,power_tag,backward_dup_forward,rank,complete_success
2,2,0,1.0,1.0,1.0,0,1.350066;1.480068,6.585e-05;6.767e-05,6.766999999996415e-05,2_peak_wide,2,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,False,4,True
2,2,0,1.0,1.0,1.0,0,1.350066;1.480068,6.585e-05;6.767e-05,6.766999999996415e-05,2_peak_wide,2,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,4,True
2,2,0,1.0,1.0,1.0,0,1.350066;1.480068,6.585e-05;6.767e-05,6.766999999996415e-05,2_peak_wide,2,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,False,4,True
2,2,0,1.0,1.0,1.0,0,1.350066;1.480068,6.585e-05;6.767e-05,6.766999999996415e-05,2_peak_wide,2,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,4,True
2,2,0,1.0,1.0,1.0,0,1.350056;1.479985,5.649e-05;1.534e-05,5.649099999982532e-05,2_peak_wide,2,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,False,4,True
2,2,0,1.0,1.0,1.0,0,1.350056;1.479985,5.649e-05;1.534e-05,5.649099999982532e-05,2_peak_wide,2,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,4,True
2,2,0,1.0,1.0,1.0,0,1.350056;1.479985,5.649e-05;1.534e-05,5.649099999982532e-05,2_peak_wide,2,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,False,4,True
2,2,0,1.0,1.0,1.0,0,1.350056;1.479985,5.649e-05;1.534e-05,5.649099999982532e-05,2_peak_wide,2,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,4,True
3,3,0,1.0,1.0,1.0,0,1.329925;1.410082;1.490037,7.528e-05;8.234e-05;3.651e-05,8.234000000006958e-05,3_peak_wide,3,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,False,6,True
2,2,0,0.6666666666666666,1.0,0.8,-1,1.410082;1.490037,8.008e-02;8.234e-05;3.651e-05,0.08008233999999992,3_peak_wide,3,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,6,False
3,3,0,1.0,1.0,1.0,0,1.329925;1.410082;1.490037,7.528e-05;8.234e-05;3.651e-05,8.234000000006958e-05,3_peak_wide,3,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,False,6,True
3,3,0,1.0,1.0,1.0,0,1.329925;1.410082;1.490037,7.528e-05;8.234e-05;3.651e-05,8.234000000006958e-05,3_peak_wide,3,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,6,True
3,3,0,1.0,1.0,1.0,0,1.329961;1.410035;1.489956,3.866e-05;3.514e-05;4.446e-05,4.446099999988462e-05,3_peak_wide,3,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,False,6,True
2,2,0,0.6666666666666666,1.0,0.8,-1,1.329961;1.410035,3.866e-05;3.514e-05;7.996e-02,0.07996486000000003,3_peak_wide,3,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,6,False
3,3,0,1.0,1.0,1.0,0,1.329961;1.410035;1.489956,3.866e-05;3.514e-05;4.446e-05,4.446099999988462e-05,3_peak_wide,3,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,False,6,True
3,3,0,1.0,1.0,1.0,0,1.329961;1.410035;1.489956,3.866e-05;3.514e-05;4.446e-05,4.446099999988462e-05,3_peak_wide,3,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,6,True
3,0,3,0.0,0.0,0.0,-2,1.323414;1.388314;1.480678,3.414e-03;2.831e-02;2.169e-02;2.068e-02;1.932e-02,0.02831364699999983,5_peak_wide,5,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,False,7,False
1,0,1,0.0,0.0,0.0,-4,1.388314,6.831e-02;2.831e-02;2.169e-02;7.169e-02;1.117e-01,0.11168635300000007,5_peak_wide,5,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,7,False
3,3,0,0.6,1.0,0.7499999999999999,-2,1.360035;1.410082;1.459927,4.003e-02;3.469e-05;8.234e-05;7.346e-05;4.007e-02,0.04007345700000009,5_peak_wide,5,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,False,10,False
0,0,0,0.0,0.0,0.0,-5,,nan;nan;nan;nan;nan,,5_peak_wide,5,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,10,False
3,0,3,0.0,0.0,0.0,-2,1.356653;1.443323;1.498239,3.665e-02;3.347e-03;3.332e-02;1.668e-02;1.761e-03,0.03665260899999989,5_peak_wide,5,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,False,7,False
3,0,3,0.0,0.0,0.0,-2,1.356653;1.443323;1.498239,3.665e-02;3.347e-03;3.332e-02;1.668e-02;1.761e-03,0.03665260899999989,5_peak_wide,5,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,7,False
4,4,0,0.8,1.0,0.888888888888889,-1,1.360027;1.410035;1.460043;1.499926,4.003e-02;2.737e-05;3.514e-05;4.291e-05;7.359e-05,0.04002736699999998,5_peak_wide,5,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,False,10,False
2,2,0,0.4,1.0,0.5714285714285715,-3,1.360027;1.410035,4.003e-02;2.737e-05;3.514e-05;4.996e-02;8.996e-02,0.08996486000000004,5_peak_wide,5,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,10,False
1,1,0,0.5,1.0,0.6666666666666666,-1,1.404996,4.996e-03;3.804e-06,0.004996196000000008,2_peak_close,2,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,False,4,False
1,1,0,0.5,1.0,0.6666666666666666,-1,1.404996,4.996e-03;3.804e-06,0.004996196000000008,2_peak_close,2,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,4,False
