n_detected_peaks_in_band,true_peak_recalled,false_peak_count,recall,precision,f1,peak_count_err,recovered_ks,abs_err_list,max_abs_err,k_true,dr,dr_tag,p,p_tag,power,power_tag,selected_peak_k,selected_abs_err,alias_class,backward_dup_forward,rank,cond,eq19_peakpos_same_as_power2
0,0,0,0.0,0.0,0.0,-1,,nan,,1.32,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,,,FOLDED_BUT_BRANCH_RECOVERABLE,False,2,2.600155707224042e+16,True
0,0,0,0.0,0.0,0.0,-1,,nan,,1.32,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,,,FOLDED_BUT_BRANCH_RECOVERABLE,False,2,2.600155707224042e+16,True
1,1,0,1.0,1.0,1.0,0,1.410082,8.234e-05,8.234000000006958e-05,1.41,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,1.41008234,8.234000000006958e-05,NO_FOLD_DIRECT_RECOVERY,False,2,132187810759627.22,True
1,1,0,1.0,1.0,1.0,0,1.410082,8.234e-05,8.234000000006958e-05,1.41,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,1.41008234,8.234000000006958e-05,NO_FOLD_DIRECT_RECOVERY,False,2,132187810759627.22,True
1,1,0,1.0,1.0,1.0,0,1.410082,8.234e-05,8.234000000006958e-05,1.41,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,1.41008234,8.234000000006958e-05,NO_FOLD_DIRECT_RECOVERY,False,2,3.030928470890434e+16,True
1,1,0,1.0,1.0,1.0,0,1.410082,8.234e-05,8.234000000006958e-05,1.41,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,1.41008234,8.234000000006958e-05,NO_FOLD_DIRECT_RECOVERY,False,2,3.030928470890434e+16,True
1,1,0,1.0,1.0,1.0,0,1.409728,2.717e-04,0.000271656000000009,1.41,0.5,AUX_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,1.409728344,0.000271656000000009,NO_FOLD_DIRECT_RECOVERY,False,2,593373913166267.5,True
1,1,0,1.0,1.0,1.0,0,1.409728,2.717e-04,0.000271656000000009,1.41,0.5,AUX_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,1.409728344,0.000271656000000009,NO_FOLD_DIRECT_RECOVERY,False,2,593373913166267.5,True
1,1,0,1.0,1.0,1.0,0,1.409728,2.717e-04,0.000271656000000009,1.41,0.5,AUX_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,1.409728344,0.000271656000000009,NO_FOLD_DIRECT_RECOVERY,False,2,7.329596447166428e+17,True
1,1,0,1.0,1.0,1.0,0,1.409728,2.717e-04,0.000271656000000009,1.41,0.5,AUX_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,1.409728344,0.000271656000000009,NO_FOLD_DIRECT_RECOVERY,False,2,7.329596447166428e+17,True
