theta_rel_deg,phi_deg,u,delta_u_vs_phi0,is_mirror_pair_sign,mirror_u_equals_pos
0.0,-20.0,0.9396926207859084,0.06030737921409157,True,True
0.0,-15.0,0.9659258262890683,0.03407417371093169,True,True
0.0,-10.0,0.984807753012208,0.01519224698779198,True,True
0.0,-5.0,0.9961946980917455,0.003805301908254455,True,True
0.0,-2.0,0.9993908270190958,0.0006091729809042379,True,True
0.0,-1.0,0.9998476951563913,0.00015230484360873042,True,True
0.0,0.0,1.0,0.0,False,True
0.0,1.0,0.9998476951563913,0.00015230484360873042,True,True
0.0,2.0,0.9993908270190958,0.0006091729809042379,True,True
0.0,5.0,0.9961946980917455,0.003805301908254455,True,True
0.0,10.0,0.984807753012208,0.01519224698779198,True,True
0.0,15.0,0.9659258262890683,0.03407417371093169,True,True
0.0,20.0,0.9396926207859084,0.06030737921409157,True,True
15.0,-20.0,0.9076733711903687,0.058252455098699585,True,True
15.0,-15.0,0.9330127018922194,0.0329131243968489,True,True
15.0,-10.0,0.9512512425641977,0.014674583724870627,True,True
15.0,-5.0,0.9622501868990583,0.0036756393900100326,True,True
15.0,-2.0,0.9653374103741355,0.0005884159149328605,True,True
15.0,-1.0,0.9657787111071577,0.00014711518191057316,True,True
15.0,0.0,0.9659258262890683,0.0,False,True
15.0,1.0,0.9657787111071577,0.00014711518191057316,True,True
15.0,2.0,0.9653374103741355,0.0005884159149328605,True,True
15.0,5.0,0.9622501868990583,0.0036756393900100326,True,True
15.0,10.0,0.9512512425641977,0.014674583724870627,True,True
15.0,15.0,0.9330127018922194,0.0329131243968489,True,True
15.0,20.0,0.9076733711903687,0.058252455098699585,True,True
30.0,-20.0,0.8137976813493738,0.052227722435064905,True,True
30.0,-15.0,0.8365163037378079,0.029509100046630765,True,True
30.0,-10.0,0.8528685319524433,0.013156871831995431,True,True
30.0,-5.0,0.862729915662821,0.003295488121617729,True,True
30.0,-2.0,0.8654978445076765,0.0005275592767621795,True,True
30.0,-1.0,0.8658935039207541,0.0001318998636845592,True,True
30.0,0.0,0.8660254037844387,0.0,False,True
30.0,1.0,0.8658935039207541,0.0001318998636845592,True,True
30.0,2.0,0.8654978445076765,0.0005275592767621795,True,True
30.0,5.0,0.862729915662821,0.003295488121617729,True,True
30.0,10.0,0.8528685319524433,0.013156871831995431,True,True
30.0,15.0,0.8365163037378079,0.029509100046630765,True,True
30.0,20.0,0.8137976813493738,0.052227722435064905,True,True
45.0,-20.0,0.6644630243886748,0.0426437567978728,True,True
45.0,-15.0,0.6830127018922194,0.024094079294328163,True,True
45.0,-10.0,0.696364240320019,0.010742540866528594,True,True
45.0,-5.0,0.7044160264027587,0.0026907547837888846,True,True
45.0,-2.0,0.7066760308408345,0.00043075034571304904,True,True
45.0,-1.0,0.7069990853988243,0.00010769578772329425,True,True
45.0,0.0,0.7071067811865476,0.0,False,True
45.0,1.0,0.7069990853988243,0.00010769578772329425,True,True
45.0,2.0,0.7066760308408345,0.00043075034571304904,True,True
45.0,5.0,0.7044160264027587,0.0026907547837888846,True,True
45.0,10.0,0.696364240320019,0.010742540866528594,True,True
45.0,15.0,0.6830127018922194,0.024094079294328163,True,True
45.0,20.0,0.6644630243886748,0.0426437567978728,True,True
60.0,-20.0,0.4698463103929543,0.030153689607045786,True,True
60.0,-15.0,0.48296291314453427,0.017037086855465844,True,True
60.0,-10.0,0.4924038765061041,0.00759612349389599,True,True
60.0,-5.0,0.4980973490458729,0.0019026509541272274,True,True
60.0,-2.0,0.499695413509548,0.00030458649045211894,True,True
60.0,-1.0,0.49992384757819575,7.615242180436521e-05,True,True
60.0,0.0,0.5000000000000001,0.0,False,True
60.0,1.0,0.49992384757819575,7.615242180436521e-05,True,True
60.0,2.0,0.499695413509548,0.00030458649045211894,True,True
60.0,5.0,0.4980973490458729,0.0019026509541272274,True,True
60.0,10.0,0.4924038765061041,0.00759612349389599,True,True
60.0,15.0,0.48296291314453427,0.017037086855465844,True,True
60.0,20.0,0.4698463103929543,0.030153689607045786,True,True
75.0,-20.0,0.24321034680169396,0.015608698300826784,True,True
75.0,-15.0,0.24999999999999997,0.008819045102520767,True,True
75.0,-10.0,0.25488700224417876,0.0039320428583419775,True,True
75.0,-5.0,0.25783416049629954,0.0009848846062212036,True,True
75.0,-2.0,0.2586613795333009,0.00015766556921986696,True,True
75.0,-1.0,0.25877962570833346,3.941939418727891e-05,True,True
75.0,0.0,0.25881904510252074,0.0,False,True
75.0,1.0,0.25877962570833346,3.941939418727891e-05,True,True
75.0,2.0,0.2586613795333009,0.00015766556921986696,True,True
75.0,5.0,0.25783416049629954,0.0009848846062212036,True,True
75.0,10.0,0.25488700224417876,0.0039320428583419775,True,True
75.0,15.0,0.24999999999999997,0.008819045102520767,True,True
75.0,20.0,0.24321034680169396,0.015608698300826784,True,True
90.0,-20.0,5.753957801139251e-17,3.692761945975147e-18,True,True
90.0,-15.0,5.914589856893349e-17,2.0864413884341683e-18,True,True
90.0,-10.0,6.030208312509488e-17,9.302568322727793e-19,True,True
90.0,-5.0,6.099933241728101e-17,2.330075400866514e-19,True,True
90.0,-2.0,6.119503887030809e-17,3.7301087059573963e-20,True,True
90.0,-1.0,6.122301397540666e-17,9.325981960999081e-21,True,True
90.0,0.0,6.123233995736766e-17,0.0,False,True
90.0,1.0,6.122301397540666e-17,9.325981960999081e-21,True,True
90.0,2.0,6.119503887030809e-17,3.7301087059573963e-20,True,True
90.0,5.0,6.099933241728101e-17,2.330075400866514e-19,True,True
90.0,10.0,6.030208312509488e-17,9.302568322727793e-19,True,True
90.0,15.0,5.914589856893349e-17,2.0864413884341683e-18,True,True
90.0,20.0,5.753957801139251e-17,3.692761945975147e-18,True,True
