branch_id,z_s_m,topology,n_hits,n_ranges,r_min_km,r_max_km,coverage_local_stencil,launch_drift_deg,phi_drift_deg,tau_drift_s,max_residual_m,stable_for_fisher
E0,190.0,surface_bounce,1,1,50.0,50.0,1,0.0,0.0,0.0,0.005687390656419211,False
E1,190.0,refracted,1,1,50.0,50.0,1,0.0,0.0,0.0,0.0711199611482698,False
E2,200.0,surface_bounce,6,6,45.0,60.0,6,3.2812499999999964,3.2693492736558856,10.561019810028093,0.08077544559583316,True
E3,200.0,surface_bounce,3,3,45.0,49.5,3,2.360026041666668,2.393788683884111,2.8743815046819066,0.09861705982609692,True
E4,200.0,refracted,8,8,45.0,60.0,8,3.95703125,3.956960637485037,9.93370970308855,0.05886123329133852,True
E5,200.0,surface_bounce,4,4,49.0,60.0,4,4.203776041666666,4.188211391394374,7.141159908190524,0.0734023430775892,True
E6,200.0,surface_bounce,1,1,60.0,60.0,1,0.0,0.0,0.0,0.07420086338800047,False
E7,200.0,surface_bounce,1,1,60.0,60.0,1,0.0,0.0,0.0,0.022805614066129465,False
E8,200.0,surface_bounce,1,1,60.0,60.0,1,0.0,0.0,0.0,0.07263118263443857,False
E9,210.0,surface_bounce,1,1,50.0,50.0,1,0.0,0.0,0.0,0.016671951871757074,False
E10,210.0,refracted,1,1,50.0,50.0,1,0.0,0.0,0.0,0.016730371800548482,False
E11,210.0,surface_bounce,1,1,50.0,50.0,1,0.0,0.0,0.0,0.02792528286241236,False
