z_hit,tau,phi_arr_rad,phi_arr_deg,launch_deg,z_min,z_max,topology,residual_m,x_hit,r_km,z_s,root_ok,admitted,grid_r_km,grid_zs_m
203.69815355714678,33.23135161554723,0.2515775921585697,14.414334250749556,-14.428149223327637,2.159007275892577e-05,2687.4699897717815,surface_bounce,3.6981535571467816,49000.00000096852,49.0,190.0,False,False,49.0,190.0
208.83251443606702,33.166191459294744,-0.23750426926942125,-13.607992245476494,-13.631092389424643,2.2579336924621884e-06,2643.551215709791,surface_bounce,8.832514436067015,49000.00166202838,49.0,190.0,False,False,49.0,190.0
198.2914847944948,32.68565955004152,0.07825471193983584,4.483664721164605,-4.477369626363119,1.3414269356193387e-05,2128.2496660043785,surface_bounce,-1.7085152055051935,49000.00000099694,49.0,190.0,False,False,49.0,190.0
201.81550495991291,32.67109724273508,-0.06352654030101856,-3.639802646316098,-3.551492373148602,1.9387432533934934e-05,2088.3327561034757,surface_bounce,1.8155049599129143,49000.00003247287,49.0,190.0,False,False,49.0,190.0
199.9611095267196,32.668220387303826,-0.01466919985637211,-0.8404832406040352,0.3229166666666656,190.0,2010.7554192460495,refracted,-0.038890473280389415,49000.00000119229,49.0,190.0,True,True,49.0,190.0
203.54987113454567,32.67215593977164,0.06436551665871648,3.6878724507234466,3.5753170649210606,3.793578271360509e-05,2089.749680057135,surface_bounce,3.5498711345456684,49000.00000099793,49.0,190.0,False,False,49.0,190.0
198.86528123912484,33.111177604208855,-0.2241859991067782,-12.844911574742033,12.824380556742348,2.8019007116242278e-05,2599.3727057212823,surface_bounce,-1.1347187608751597,49000.00000098323,49.0,190.0,False,False,49.0,190.0
191.47062761866005,33.16935937959721,0.2372287471305419,13.59220598975629,13.653008460998532,9.197188157727965e-06,2646.015355650295,surface_bounce,-8.529372381339954,49000.000000971995,49.0,190.0,False,False,49.0,190.0
190.53932138679463,33.55015157480154,0.24585607446114113,14.086515434277493,-14.169916470845541,5.168406700661876e-05,2674.0254870464146,surface_bounce,-9.460678613205374,49500.00000096993,49.5,190.0,False,False,49.5,190.0
202.66800747833102,33.48918904199314,-0.2333624087715122,-13.370681119614352,-13.391044298807781,1.954685890126484e-05,2630.98055746194,surface_bounce,2.6680074783310204,49500.0014248345,49.5,190.0,False,False,49.5,190.0
