source,offset_s,amp
S0_DENSE,0.0,1.0
S0_23POINT,0.0,1.0
S0_23POINT,0.09779999999999997,0.9999551387640602
S0_23POINT,-0.0978,0.99995513876406
S1,0.0,1.0
S1,0.14529999999999996,0.7927480454109614
S1,-0.14529999999999998,0.7927480454109594
S1,-0.0792,0.7783125232732245
S1,0.07919999999999999,0.7783125232732244
S1,-0.0262,0.7660643676859727
S1,0.0262,0.7660643676859727
S1,-0.0451,0.6779648448641858
S2,0.0,1.0
S2,-0.1456,0.9814944441019126
S2,0.14559999999999998,0.981494444101911
S2,-0.0869,0.8948833606949366
S2,0.08689999999999998,0.8948833606949328
S2,0.058599999999999985,0.8836696050983636
S2,-0.0586,0.8836696050983633
S2,-0.1101,0.6892170767253303
