theta_rel_deg,phi1_deg,phi2_deg,u1,u2,delta_u,is_pm_mirror,delta_u_formula_pm
0.0,-20.0,-15.0,0.9396926207859084,0.9659258262890683,0.026233205503159884,False,0.026233205503159884
0.0,-20.0,-10.0,0.9396926207859084,0.984807753012208,0.04511513222629959,False,0.04511513222629959
0.0,-20.0,-5.0,0.9396926207859084,0.9961946980917455,0.05650207730583712,False,0.05650207730583712
0.0,-20.0,-2.0,0.9396926207859084,0.9993908270190958,0.059698206233187334,False,0.059698206233187334
0.0,-20.0,-1.0,0.9396926207859084,0.9998476951563913,0.06015507437048284,False,0.06015507437048284
0.0,-20.0,1.0,0.9396926207859084,0.9998476951563913,0.06015507437048284,False,0.06015507437048284
0.0,-20.0,2.0,0.9396926207859084,0.9993908270190958,0.059698206233187334,False,0.059698206233187334
0.0,-20.0,5.0,0.9396926207859084,0.9961946980917455,0.05650207730583712,False,0.05650207730583712
0.0,-20.0,10.0,0.9396926207859084,0.984807753012208,0.04511513222629959,False,0.04511513222629959
0.0,-20.0,15.0,0.9396926207859084,0.9659258262890683,0.026233205503159884,False,0.026233205503159884
0.0,-20.0,20.0,0.9396926207859084,0.9396926207859084,0.0,True,0.0
0.0,-15.0,-10.0,0.9659258262890683,0.984807753012208,0.018881926723139708,False,0.018881926723139708
0.0,-15.0,-5.0,0.9659258262890683,0.9961946980917455,0.030268871802677233,False,0.030268871802677233
0.0,-15.0,-2.0,0.9659258262890683,0.9993908270190958,0.03346500073002745,False,0.03346500073002745
0.0,-15.0,-1.0,0.9659258262890683,0.9998476951563913,0.03392186886732296,False,0.03392186886732296
0.0,-15.0,1.0,0.9659258262890683,0.9998476951563913,0.03392186886732296,False,0.03392186886732296
0.0,-15.0,2.0,0.9659258262890683,0.9993908270190958,0.03346500073002745,False,0.03346500073002745
0.0,-15.0,5.0,0.9659258262890683,0.9961946980917455,0.030268871802677233,False,0.030268871802677233
0.0,-15.0,10.0,0.9659258262890683,0.984807753012208,0.018881926723139708,False,0.018881926723139708
0.0,-15.0,15.0,0.9659258262890683,0.9659258262890683,0.0,True,0.0
0.0,-15.0,20.0,0.9659258262890683,0.9396926207859084,0.026233205503159884,False,0.026233205503159884
0.0,-10.0,-5.0,0.984807753012208,0.9961946980917455,0.011386945079537525,False,0.011386945079537525
0.0,-10.0,-2.0,0.984807753012208,0.9993908270190958,0.014583074006887742,False,0.014583074006887742
0.0,-10.0,-1.0,0.984807753012208,0.9998476951563913,0.01503994214418325,False,0.01503994214418325
0.0,-10.0,1.0,0.984807753012208,0.9998476951563913,0.01503994214418325,False,0.01503994214418325
0.0,-10.0,2.0,0.984807753012208,0.9993908270190958,0.014583074006887742,False,0.014583074006887742
0.0,-10.0,5.0,0.984807753012208,0.9961946980917455,0.011386945079537525,False,0.011386945079537525
0.0,-10.0,10.0,0.984807753012208,0.984807753012208,0.0,True,0.0
0.0,-10.0,15.0,0.984807753012208,0.9659258262890683,0.018881926723139708,False,0.018881926723139708
0.0,-10.0,20.0,0.984807753012208,0.9396926207859084,0.04511513222629959,False,0.04511513222629959
0.0,-5.0,-2.0,0.9961946980917455,0.9993908270190958,0.003196128927350217,False,0.003196128927350217
0.0,-5.0,-1.0,0.9961946980917455,0.9998476951563913,0.0036529970646457244,False,0.0036529970646457244
0.0,-5.0,1.0,0.9961946980917455,0.9998476951563913,0.0036529970646457244,False,0.0036529970646457244
0.0,-5.0,2.0,0.9961946980917455,0.9993908270190958,0.003196128927350217,False,0.003196128927350217
0.0,-5.0,5.0,0.9961946980917455,0.9961946980917455,0.0,True,0.0
0.0,-5.0,10.0,0.9961946980917455,0.984807753012208,0.011386945079537525,False,0.011386945079537525
