source,local_mainlobe_width_s,psl_outside_first_null,n_significant_peaks,peaks_offset_amp,global_status,note
S0_DENSE,0.00520000000000001,0.21720242688437139,2,"[[-0.0063, 0.21720242688437139], [0.0063, 0.21720242688437139]]",GLOBAL_DELAY_USABLE_IN_TEST_WINDOW,PSL = max A outside central first-null region; not half-power shoulder
S1,0.006399999999999989,0.7927480454109614,6,"[[0.14529999999999996, 0.7927480454109614], [-0.14529999999999998, 0.7927480454109594], [-0.0792, 0.7783125232732245], [0.07919999999999999, 0.7783125232732244], [-0.1055, 0.6766020555085112], [0.10550000000000001, 0.6766020555085088]]",GLOBAL_AMBIGUOUS,PSL = max A outside central first-null region; not half-power shoulder
S2,0.005599999999999994,0.9814944441019126,6,"[[-0.1456, 0.9814944441019126], [0.14559999999999998, 0.981494444101911], [-0.0869, 0.8948833606949366], [0.08689999999999998, 0.8948833606949328], [0.058599999999999985, 0.8836696050983636], [-0.0586, 0.8836696050983633]]",GLOBAL_AMBIGUOUS,PSL = max A outside central first-null region; not half-power shoulder
S0_23POINT,0.0050000000000000044,0.9999551387640602,6,"[[0.09779999999999997, 0.9999551387640602], [-0.0978, 0.99995513876406], [0.09169999999999998, 0.21862001078818658], [-0.0917, 0.2186200107881859], [-0.006099999999999994, 0.21860797635255472], [0.006099999999999994, 0.21860797635255472]]",GLOBAL_AMBIGUOUS_COMB_CONTROL,PSL = max A outside central first-null region; not half-power shoulder
