theta_rel_deg,obs_mode,obs_set,y0,J_r,J_z,sv_min,cond_J,det_F,crb_r_m,crb_z_m,corr_rz,cond_F,ridge_note,sigma_assumed
0.0,IDEAL_ELEVATION,A_angle_only,"[0.0, 0.007999829339886634]","[0.0, -1.5998976705400292e-07]","[-1.9999999997333332e-05, 1.999872007924907e-05]",1.1313256423014606e-07,250.00399003225277,1.7654479405854307e-15,77135.84956582137,436.33231305676003,0.7070841541316142,62501.99503205042,angle-only: elevation pair constrains r/z via geometry ridge,"[0.008726646259971648, 0.008726646259971648]"
0.0,IDEAL_ELEVATION,B_delay_only,[0.0010666496005455883],[-2.133231049583628e-08],[5.333162672371827e-06],5.333205336141794e-06,1.0,1.5057159697438705e-30,4346235977055.5376,17384666668.997303,1.0000000000000002,4.197558132369341e+17,"delay-only: Δτ const-curve ridge in (r,z)",[0.001]
0.0,IDEAL_ELEVATION,C_joint,"[0.0, 0.007999829339886634, 0.0010666496005455883]","[0.0, -1.5998976705400292e-07, -2.133231049583628e-08]","[-1.9999999997333332e-05, 1.999872007924907e-05, 5.333162672371827e-06]",1.1313256423213635e-07,254.40968571042845,6.545769684666574e-15,77135.84950089826,347.6628971823161,0.8874530035864595,231739.29646651348,joint: angle ridge × delay ridge,"[0.008726646259971648, 0.008726646259971648, 0.001]"
0.0,HLA_DIRECTION_COSINE,A_angle_only,"[1.0, 0.9999680015359181]","[0.0, 1.2798772319744245e-09]","[0.0, -1.5998464114597155e-07]",0.0,inf,0.0,inf,inf,,inf,angle-only: elevation pair constrains r/z via geometry ridge,"[0.005, 0.005]"
0.0,HLA_DIRECTION_COSINE,B_delay_only,[0.0010666496005455883],[-2.133231049583628e-08],[5.333162672371827e-06],5.333205336141794e-06,1.0,1.5057159697438705e-30,4346235977055.5376,17384666668.997303,1.0000000000000002,4.197558132369341e+17,"delay-only: Δτ const-curve ridge in (r,z)",[0.001]
0.0,HLA_DIRECTION_COSINE,C_joint,"[1.0, 0.9999680015359181, 0.0010666496005455883]","[0.0, 1.2798772319744245e-09, -2.133231049583628e-08]","[0.0, -1.5998464114597155e-07, 5.333162672371827e-06]",6.396560003308854e-10,8341.365524283801,4.659295010791666e-19,7813264.781248907,31254.24811783291,0.9999820042269655,1736457970.8340175,joint: angle ridge × delay ridge,"[0.005, 0.005, 0.001]"
30.0,IDEAL_ELEVATION,A_angle_only,"[0.0, 0.007999829339886634]","[0.0, -1.5998976705400292e-07]","[-1.9999999997333332e-05, 1.999872007924907e-05]",1.1313256423014606e-07,250.00399003225277,1.7654479405854307e-15,77135.84956582137,436.33231305676003,0.7070841541316142,62501.99503205042,angle-only: elevation pair constrains r/z via geometry ridge,"[0.008726646259971648, 0.008726646259971648]"
30.0,IDEAL_ELEVATION,B_delay_only,[0.0010666496005455883],[-2.133231049583628e-08],[5.333162672371827e-06],5.333205336141794e-06,1.0,1.5057159697438705e-30,4346235977055.5376,17384666668.997303,1.0000000000000002,4.197558132369341e+17,"delay-only: Δτ const-curve ridge in (r,z)",[0.001]
30.0,IDEAL_ELEVATION,C_joint,"[0.0, 0.007999829339886634, 0.0010666496005455883]","[0.0, -1.5998976705400292e-07, -2.133231049583628e-08]","[-1.9999999997333332e-05, 1.999872007924907e-05, 5.333162672371827e-06]",1.1313256423213635e-07,254.40968571042845,6.545769684666574e-15,77135.84950089826,347.6628971823161,0.8874530035864595,231739.29646651348,joint: angle ridge × delay ridge,"[0.008726646259971648, 0.008726646259971648, 0.001]"
30.0,HLA_DIRECTION_COSINE,A_angle_only,"[0.8660254037844387, 0.8659976923016617]","[0.0, 1.1084062001565087e-09]","[0.0, -1.3855076347324413e-07]",0.0,inf,0.0,inf,inf,,inf,angle-only: elevation pair constrains r/z via geometry ridge,"[0.005, 0.005]"
30.0,HLA_DIRECTION_COSINE,B_delay_only,[0.0010666496005455883],[-2.133231049583628e-08],[5.333162672371827e-06],5.333205336141794e-06,1.0,1.5057159697438705e-30,4346235977055.5376,17384666668.997303,1.0000000000000002,4.197558132369341e+17,"delay-only: Δτ const-curve ridge in (r,z)",[0.001]
30.0,HLA_DIRECTION_COSINE,C_joint,"[0.8660254037844387, 0.8659976923016617, 0.0010666496005455883]","[0.0, 1.1084062001565087e-09, -2.133231049583628e-08]","[0.0, -1.3855076347324413e-07, 5.333162672371827e-06]",5.540206182115375e-10,9629.614207899556,3.494471301460136e-19,9021940.401077924,36088.64744702368,0.9999865025931712,2315235589.7668147,joint: angle ridge × delay ridge,"[0.005, 0.005, 0.001]"
60.0,IDEAL_ELEVATION,A_angle_only,"[0.0, 0.007999829339886634]","[0.0, -1.5998976705400292e-07]","[-1.9999999997333332e-05, 1.999872007924907e-05]",1.1313256423014606e-07,250.00399003225277,1.7654479405854307e-15,77135.84956582137,436.33231305676003,0.7070841541316142,62501.99503205042,angle-only: elevation pair constrains r/z via geometry ridge,"[0.008726646259971648, 0.008726646259971648]"
60.0,IDEAL_ELEVATION,B_delay_only,[0.0010666496005455883],[-2.133231049583628e-08],[5.333162672371827e-06],5.333205336141794e-06,1.0,1.5057159697438705e-30,4346235977055.5376,17384666668.997303,1.0000000000000002,4.197558132369341e+17,"delay-only: Δτ const-curve ridge in (r,z)",[0.001]
60.0,IDEAL_ELEVATION,C_joint,"[0.0, 0.007999829339886634, 0.0010666496005455883]","[0.0, -1.5998976705400292e-07, -2.133231049583628e-08]","[-1.9999999997333332e-05, 1.999872007924907e-05, 5.333162672371827e-06]",1.1313256423213635e-07,254.40968571042845,6.545769684666574e-15,77135.84950089826,347.6628971823161,0.8874530035864595,231739.29646651348,joint: angle ridge × delay ridge,"[0.008726646259971648, 0.008726646259971648, 0.001]"
60.0,HLA_DIRECTION_COSINE,A_angle_only,"[0.5000000000000001, 0.4999840007679592]","[0.0, 6.399386159872122e-10]","[0.0, -7.999232057298578e-08]",0.0,inf,0.0,inf,inf,,inf,angle-only: elevation pair constrains r/z via geometry ridge,"[0.005, 0.005]"
60.0,HLA_DIRECTION_COSINE,B_delay_only,[0.0010666496005455883],[-2.133231049583628e-08],[5.333162672371827e-06],5.333205336141794e-06,1.0,1.5057159697438705e-30,4346235977055.5376,17384666668.997303,1.0000000000000002,4.197558132369341e+17,"delay-only: Δτ const-curve ridge in (r,z)",[0.001]
60.0,HLA_DIRECTION_COSINE,C_joint,"[0.5000000000000001, 0.4999840007679592, 0.0010666496005455883]","[0.0, 6.399386159872122e-10, -2.133231049583628e-08]","[0.0, -7.999232057298578e-08, 5.333162672371827e-06]",3.1993588928166584e-10,16671.48140956344,1.1648237526992197e-19,15626318.637508783,62505.12149546741,0.9999955004798152,6945456914.387583,joint: angle ridge × delay ridge,"[0.005, 0.005, 0.001]"
