aperture_tag,aperture_m,note,f_hz,theta_rel_deg,phi1_deg,phi2_deg,delta_u,steering_corr,bartlett_dual_peak,crb_sigma_u,L_required_lambda_over_du_m,resolved_corr_lt_0p95,resolved_sigma_u_lt_du,is_pm_mirror
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-20.0,2.0,0.059698206233187334,0.9739385354091086,False,0.010442367873665304,125.63191548342724,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-20.0,5.0,0.05650207730583712,0.9766356181473806,False,0.010442367873665304,132.73848250576071,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-20.0,10.0,0.04511513222629959,0.9850666302444276,False,0.010442367873665304,166.24133921141254,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-15.0,2.0,0.03346500073002745,0.9917670477523363,True,0.010442367873665304,224.11474186135027,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-15.0,5.0,0.030268871802677233,0.9932615834070069,True,0.010442367873665304,247.77930439206648,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-15.0,10.0,0.018881926723139708,0.9973746691209411,False,0.010442367873665304,397.20522751572736,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-10.0,2.0,0.014583074006887742,0.9984335202003083,False,0.010442367873665304,514.2948596748305,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-10.0,5.0,0.011386945079537525,0.9990447454803195,False,0.010442367873665304,658.6490009052199,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-10.0,10.0,0.0,0.9999999999999998,False,0.010442367873665304,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-5.0,2.0,0.003196128927350217,0.9999247224478829,False,0.010442367873665304,2346.588692283434,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-5.0,5.0,0.0,0.9999999999999998,False,0.010442367873665304,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-5.0,10.0,0.011386945079537525,0.9990447454803195,False,0.010442367873665304,658.6490009052199,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-2.0,2.0,0.0,0.9999999999999998,False,0.010442367873665304,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-2.0,5.0,0.003196128927350217,0.9999247224478829,False,0.010442367873665304,2346.588692283434,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-2.0,10.0,0.014583074006887742,0.9984335202003083,False,0.010442367873665304,514.2948596748305,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-1.0,2.0,0.00045686813729550746,0.999998461816833,False,0.010442367873665304,16416.115258983176,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-1.0,5.0,0.0036529970646457244,0.9999016639828725,False,0.010442367873665304,2053.108685081127,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,-1.0,10.0,0.01503994214418325,0.9983338801028178,False,0.010442367873665304,498.6721310560793,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,1.0,2.0,0.00045686813729550746,0.999998461816833,False,0.010442367873665304,16416.115258983176,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,1.0,5.0,0.0036529970646457244,0.9999016639828725,False,0.010442367873665304,2053.108685081127,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,1.0,10.0,0.01503994214418325,0.9983338801028178,False,0.010442367873665304,498.6721310560793,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,2.0,5.0,0.003196128927350217,0.9999247224478829,False,0.010442367873665304,2346.588692283434,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,2.0,10.0,0.014583074006887742,0.9984335202003083,False,0.010442367873665304,514.2948596748305,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,2.0,15.0,0.03346500073002745,0.9917670477523363,True,0.010442367873665304,224.11474186135027,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,2.0,20.0,0.059698206233187334,0.9739385354091086,False,0.010442367873665304,125.63191548342724,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,5.0,10.0,0.011386945079537525,0.9990447454803195,False,0.010442367873665304,658.6490009052199,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,5.0,15.0,0.030268871802677233,0.9932615834070069,False,0.010442367873665304,247.77930439206648,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,0.0,5.0,20.0,0.05650207730583712,0.9766356181473806,False,0.010442367873665304,132.73848250576071,False,True,False
