z_s_m,branch_i,branch_j,phi_i_deg,phi_j_deg,theta_rel_deg,delta_u,aperture,aperture_m,corr,crb_sigma_u,resolved_corr,resolved_sigma_u,is_pm_mirror
190.0,E0,E1,-13.145326848560309,-0.7978458277464031,0.0,0.02610669019667855,14m,14.0,0.9921702256586631,0.008353894298932244,False,True,False
190.0,E0,E1,-13.145326848560309,-0.7978458277464031,0.0,0.02610669019667855,70m,70.0,0.8148085150874687,0.001670778859786449,True,True,False
190.0,E0,E1,-13.145326848560309,-0.7978458277464031,30.0,0.022609056919053794,14m,14.0,0.9941242845743574,0.008353894298932244,False,True,False
190.0,E0,E1,-13.145326848560309,-0.7978458277464031,30.0,0.022609056919053794,70m,70.0,0.8590845926733851,0.001670778859786449,True,True,False
190.0,E0,E1,-13.145326848560309,-0.7978458277464031,60.0,0.013053345098339275,14m,14.0,0.9980391699259701,0.008353894298932244,False,True,False
190.0,E0,E1,-13.145326848560309,-0.7978458277464031,60.0,0.013053345098339275,70m,70.0,0.9516527387394663,0.001670778859786449,False,True,False
200.0,E2,E3,-13.172148672704868,14.15881658395179,0.0,0.004068365588894007,14m,14.0,0.999809426647403,0.008353894298932244,False,False,False
200.0,E2,E3,-13.172148672704868,14.15881658395179,0.0,0.004068365588894007,70m,70.0,0.9952420614838897,0.001670778859786449,False,True,False
200.0,E2,E3,-13.172148672704868,14.15881658395179,30.0,0.0035233079518647292,14m,14.0,0.9998570679857568,0.008353894298932244,False,False,False
200.0,E2,E3,-13.172148672704868,14.15881658395179,30.0,0.0035233079518647292,70m,70.0,0.99643029760949,0.001670778859786449,False,True,False
200.0,E2,E3,-13.172148672704868,14.15881658395179,60.0,0.0020341827944470037,14m,14.0,0.999952354662029,0.008353894298932244,False,False,False
200.0,E2,E3,-13.172148672704868,14.15881658395179,60.0,0.0020341827944470037,70m,70.0,0.9988092664602731,0.001670778859786449,False,True,False
200.0,E2,E4,-13.172148672704868,-0.30359659618399015,0.0,0.026296173002362422,14m,14.0,0.9920564226659616,0.008353894298932244,False,True,False
200.0,E2,E4,-13.172148672704868,-0.30359659618399015,0.0,0.026296173002362422,70m,70.0,0.8122687574697856,0.001670778859786449,True,True,False
200.0,E2,E4,-13.172148672704868,-0.30359659618399015,30.0,0.022773153842356342,14m,14.0,0.9940388330863197,0.008353894298932244,False,True,False
200.0,E2,E4,-13.172148672704868,-0.30359659618399015,30.0,0.022773153842356342,70m,70.0,0.857121869188709,0.001670778859786449,True,True,False
200.0,E2,E4,-13.172148672704868,-0.30359659618399015,60.0,0.013148086501181211,14m,14.0,0.9980106198536491,0.008353894298932244,False,True,False
200.0,E2,E4,-13.172148672704868,-0.30359659618399015,60.0,0.013148086501181211,70m,70.0,0.9509586831952731,0.001670778859786449,False,True,False
200.0,E2,E5,-13.172148672704868,13.147062056720376,0.0,9.968151086015009e-05,14m,14.0,0.999999885586902,0.008353894298932244,False,False,True
200.0,E2,E5,-13.172148672704868,13.147062056720376,0.0,9.968151086015009e-05,70m,70.0,0.999997139674863,0.001670778859786449,False,False,True
200.0,E2,E5,-13.172148672704868,13.147062056720376,30.0,8.632672069253111e-05,14m,14.0,0.9999999141901759,0.008353894298932244,False,False,True
200.0,E2,E5,-13.172148672704868,13.147062056720376,30.0,8.632672069253111e-05,70m,70.0,0.9999978547556968,0.001670778859786449,False,False,True
