z_hit,tau,phi_arr_rad,phi_arr_deg,launch_deg,z_min,z_max,topology,residual_m,x_hit,r_km,z_s,root_ok,admitted,grid_r_km,grid_zs_m,branch_id
200.01518761030593,33.33053677842697,-0.0052987602012582805,-0.30359659618399015,0.30208333333333226,200.0,2006.528601320614,refracted,0.015187610305929411,50000.00004038694,50.0,200.0,True,True,50.0,200.0,R0
200.05378308229024,33.813455896268046,0.22945951985378804,13.147062056720376,13.199218749999996,1.7473915334945982,2619.2806792153256,surface_bounce,0.05378308229023787,50000.000000973785,50.0,200.0,True,True,50.0,200.0,R1
200.0057244199275,33.33054728419295,-0.00965860271542346,-0.5533971715873608,0.06249999999999978,195.0,2008.0005131933056,refracted,0.005724419927503277,50000.00000100109,50.0,195.0,True,True,50.0,195.0,R0
200.02502386648555,33.81420568755321,0.22992426544647032,13.173690017728376,13.182291666666663,1.0230518423479005,2618.971868135838,surface_bounce,0.025023866485554436,50000.00000097368,50.0,195.0,True,True,50.0,195.0,R1
199.96633332209555,33.756711651709566,-0.21568549570702064,-12.357868606199318,12.373697916666664,2.7663010456265873,2573.048207987799,surface_bounce,-0.033666677904449216,50000.00104369949,50.0,195.0,True,True,50.0,195.0,R2
199.957636489786,33.81269902886174,-0.22986507974613218,-13.170298926891475,-13.169270833333334,0.0943420203317693,2617.689826153391,surface_bounce,-0.04236351021398832,50000.00129710617,50.0,195.0,True,True,50.0,195.0,R3
199.9851437408137,33.33051215375386,-0.0008572631048170761,-0.04911755783829957,0.5520833333333314,199.9851437408137,2005.9231482696198,refracted,-0.014856259186302623,50000.00000865414,50.0,205.0,True,True,50.0,205.0,R0
200.07573527083798,33.33245807976725,0.062422514363218246,3.576546619607167,3.6191406249999996,0.07813889528056878,2086.365431737659,surface_bounce,0.07573527083798126,50000.00000099805,50.0,205.0,True,True,50.0,205.0,R1
199.92720861725704,33.81421541773862,-0.22982664473740158,-13.168096763105662,-13.229166666666668,0.12201715804564017,2619.8667098832016,surface_bounce,-0.07279138274296315,50000.00153382607,50.0,205.0,True,True,50.0,205.0,R3
199.90744193371842,33.34689354279807,0.07674675443148257,4.397265120250899,-4.463541666666668,0.04766559552231131,2122.915961400842,surface_bounce,-0.09255806628158325,50000.00000099705,50.0,205.0,True,True,50.0,205.0,R4
199.9321967244099,33.87534434296842,0.24299552824621898,13.92261820906033,-14.006510416666668,1.0751350537014375,2662.799540885365,surface_bounce,-0.06780327559010857,50000.00000097062,50.0,205.0,True,True,50.0,205.0,R5
200.07111996114827,33.33054368925661,-0.013925036617474264,-0.7978458277464031,-0.16666666666666696,189.5413883626364,2010.2343899591701,refracted,0.0711199611482698,50000.00000112576,50.0,190.0,True,True,50.0,190.0,R0
199.99431260934358,33.81194116528598,-0.2294292347581874,-13.145326848560309,-13.184895833333336,1.5491644560040498,2617.8015991811317,surface_bounce,-0.005687390656419211,50000.0011760441,50.0,190.0,True,True,50.0,190.0,R3
199.98326962819945,33.330472997374514,0.003485404043852292,0.19969894161056645,0.8020833333333313,199.32436517125416,2006.1813350194648,refracted,-0.016730371800548482,50000.00000099999,50.0,210.0,True,True,50.0,210.0,R0
199.9720747171376,33.75458323250538,-0.21519932119454097,-12.330012858527402,12.375651041666664,3.970845143457474,2571.1076308413813,surface_bounce,-0.02792528286241236,50000.00077042604,50.0,210.0,True,True,50.0,210.0,R2
199.98332804812824,33.81496270374597,-0.23020691034376156,-13.189884377444073,-13.258463541666668,2.7623660388613693,2619.7510311737724,surface_bounce,-0.016671951871757074,50000.00000111219,50.0,210.0,True,True,50.0,210.0,R3
199.98468002628263,32.999349741339216,-0.007617351777393381,-0.4364421079111169,0.43749999999999845,199.98468002628263,2007.2156878548767,refracted,-0.01531997371736793,49500.00001481975,49.5,200.0,True,True,49.5,200.0,R0
200.05584006699408,33.49112181914321,-0.23403556513839177,-13.409250138388911,-13.41796875,0.7638876273108064,2631.4156832871245,surface_bounce,0.05584006699407951,49500.00000263418,49.5,200.0,True,True,49.5,200.0,R3
