r_target_km,launch_deg,phi_arr_deg,tau_s,turning_depth_m,topology,z_hit_m,err_z_m,grid
45.0,-16.576844719926203,16.54089618702965,30.688826188439126,2803.28886649527,surface_bounce,202.39738968143564,2.397389681435641,coarse201
45.0,-15.768794431253626,-15.738866028511515,30.609530609750937,2760.0353716535406,surface_bounce,202.30342948298784,2.3034294829878377,coarse201
45.0,-5.23460955780489,5.191259902989945,30.050086676775617,2163.687954819162,surface_bounce,195.43272870061676,-4.567271299383236,coarse201
45.0,-4.133173672470233,-4.100415323813793,30.038206760699662,2110.281165956341,surface_bounce,196.02480531753096,-3.975194682469038,coarse201
45.0,1.6966053816593143,-1.697111335631798,30.026252672669006,2025.2961188546396,refracted,200.0284604915407,0.02846049154069874,coarse201
45.0,4.117958362492718,4.086176678925839,30.03828538011704,2109.7577121404183,surface_bounce,197.20479342902692,-2.795206570973079,coarse201
45.0,14.903541001607927,-14.889745562114943,30.54429524753726,2714.0002732825556,refracted,200.83051372115247,0.8305137211524709,coarse201
45.0,15.750974378903836,15.740149544502238,30.60940868464318,2759.929303451979,surface_bounce,198.83137033234044,-1.168629667659559,coarse201
50.0,-24.927623691120626,-24.912391834455608,35.02145455978823,3208.2742159705344,refracted,206.34446107337578,6.344461073375783,coarse201
50.0,-13.96506129457131,13.92451245452884,33.883647706177946,2661.161943936469,surface_bounce,195.97764295737827,-4.022357042621735,coarse201
50.0,-13.200801067768191,-13.177347506587195,33.81494499326747,2618.8662920510073,surface_bounce,194.3588633767811,-5.641136623218898,coarse201
50.0,-4.38873119527585,4.315364281936306,33.35670131905798,2121.8050105266566,surface_bounce,191.14241749864928,-8.85758250135072,coarse201
50.0,-3.5570647755455473,-3.841132088660662,33.33927725097711,2085.4651289299504,surface_bounce,235.2880965073329,35.28809650733291,coarse201
50.0,0.3023761203560593,-0.3029617314393793,33.330977309796495,2006.5298288859642,refracted,200.00587405897392,0.005874058973915908,coarse201
50.0,3.489116586663778,2.3233394503390405,33.33929308222031,2082.7619354385424,refracted,89.56362800764603,-110.43637199235397,coarse201
50.0,12.362370456901646,-12.35442993078661,33.76174039877557,2571.720290617875,refracted,198.98811277622693,-1.0118872237730727,coarse201
50.0,13.175346187679162,13.14015567659621,33.81555685472013,2617.942014874274,refracted,195.51852959837686,-4.481470401623142,coarse201
50.0,24.315352325151217,-24.292074705728336,34.92083294649932,3181.0222478143464,refracted,195.5804282907916,-4.419571709208412,coarse201
50.0,24.92501263204405,24.887334858501656,35.021476980584076,3208.317028516849,surface_bounce,193.0401152216646,-6.959884778335407,coarse201
55.0,-22.316047166742173,22.28339083530247,38.161411622127495,3088.773316665433,surface_bounce,201.4809511354669,1.4809511354669098,coarse201
55.0,-21.769105080267217,-21.707880859754248,38.07062401619479,3062.6683828948094,surface_bounce,174.1239438822678,-25.87605611773219,coarse201
55.0,-11.878017971709905,11.848016906757683,37.11241471075598,2543.50039852788,surface_bounce,200.2901652507858,0.2901652507858046,coarse201
55.0,-11.133182937167721,-11.119641258105853,37.05655871630049,2499.7032565644176,surface_bounce,205.24340769651283,5.243407696512833,coarse201
55.0,-3.866524519995343,3.7590474166394734,36.658174622959244,2098.350107244024,surface_bounce,187.74349316759273,-12.256506832407268,coarse201
55.0,-1.0025147266891095,1.0002925531441182,36.65353580356944,2012.7696178956182,refracted,199.9262464959356,-0.07375350406439907,coarse201
55.0,10.33471794113655,-10.313632189280723,37.01443843365779,2454.167518529503,refracted,195.522721494371,-4.477278505628988,coarse201
55.0,11.125585605671503,11.11380446366353,37.056228822117546,2500.3357191211603,surface_bounce,199.65801473872966,-0.341985261270338,coarse201
55.0,21.115366197011557,-21.093981828902482,37.97118392750391,3032.3703618159852,surface_bounce,202.87056202151808,2.870562021518083,coarse201
55.0,21.711478226680672,21.68780802854646,38.07289603714681,3060.7908144838875,refracted,200.21698915019348,0.2169891501934842,coarse201
60.0,-19.616988314005596,19.575787660568082,41.26395593696698,2958.352939867751,surface_bounce,201.6567730049219,1.656773004921888,coarse201
60.0,-19.031300548128552,-19.011319272341435,41.17328393840098,2930.1109747404375,surface_bounce,199.0367711674006,-0.9632288325994125,coarse201
60.0,-10.185101676846879,10.111753529416672,40.35479494734342,2444.560190838064,surface_bounce,189.7862050741237,-10.2137949258763,coarse201
60.0,-9.478443296842807,-9.429549965617383,40.323039806033435,2403.837918238625,surface_bounce,189.49732844640252,-10.50267155359748,coarse201
60.0,-3.497763387258582,0.7917643744498803,39.95527012856392,2083.1126808184827,refracted,12.89905269674118,-187.1009473032588,coarse201
60.0,-2.2593581200788067,2.2640533659627793,39.965336389607806,2039.738063650234,refracted,200.3521296951698,0.3521296951697934,coarse201
60.0,8.678993982136022,-8.660845869260918,40.280892980135775,2357.016457421255,surface_bounce,199.18580295096737,-0.8141970490326287,coarse201
60.0,9.453743428587822,9.411229243228535,40.31049024112049,2402.478218929641,surface_bounce,193.2656212349963,-6.734378765003697,coarse201
60.0,18.455182738969317,-18.412196302178256,41.096168498431325,2901.150229756837,refracted,190.55378663503424,-9.446213364965757,coarse201
60.0,19.024483238272605,18.98385974723316,41.173560706113484,2929.857674447841,refracted,196.98739874868906,-3.01260125131094,coarse201
