source,represents,tau_true_s,search_half_window_s,local_mainlobe_s,psl_outside_first_null,n_peaks,peaks,global_status
S0_DENSE,continuous broadband (0.25 Hz integration),0.0,0.6,0.005300441703475323,0.21723450144487036,2,"[[-0.006300525043753669, 0.2172345014448702], [0.006400533377781459, 0.21723450144487036]]",GLOBAL_DELAY_USABLE_IN_TEST_WINDOW
S0_23POINT,comb control NOT broadband,0.0,0.6,0.005100425035419631,0.999999688407556,38,"[[-0.5927493957829819, 0.21848374379228], [-0.5866488874072839, 0.9999056649260161], [-0.580548379031586, 0.21860719724358674], [-0.4949412451037586, 0.2186032510687906], [-0.4888407367280606, 0.999999688407556], [-0.48274022835236263, 0.21861037120779528]]",GLOBAL_AMBIGUOUS_COMB_CONTROL
S1,sparse lines,0.0,0.6,0.006300525043753669,0.9095220241559249,134,"[[-0.5930494207850654, 0.501054631426045], [-0.5857488124010334, 0.5950076039931904], [-0.5779481623468622, 0.7282069875948561], [-0.567147262271856, 0.47566959691481453], [-0.5591465955496291, 0.7652819158818166], [-0.5515459621635136, 0.40426653058018525]]",GLOBAL_AMBIGUOUS
S2,sparse lines,0.0,0.6,0.005700475039586594,0.9816170388769307,166,"[[-0.5986498874906242, 0.724421758718869], [-0.5922493541128426, 0.49144300629197024], [-0.5821485123760313, 0.739826101309916], [-0.5753479456621384, 0.3925267134442497], [-0.5700475039586632, 0.41518351398757386], [-0.5632469372447704, 0.8446557566695473]]",GLOBAL_AMBIGUOUS
