f_hz,zs_true,mode_id,k_r,phi_180,phi_190,phi_200,phi_210,phi_220,A_m_true
201.0,180.0,0,0.8418803205,0.0,0.0,0.0,0.0,0.0,0.0
201.0,180.0,1,0.8417507760095237,0.0,0.0,0.0,0.0,0.0,0.0
201.0,180.0,2,0.8416212315190476,0.0,0.0,0.0,0.0,0.0,0.0
201.0,180.0,3,0.8414916870285714,0.0,0.0,0.0,0.0,3.4580158535391093e-06,0.0
201.0,180.0,4,0.8413621425380952,0.0,0.0,0.0,0.0,1.687330033746548e-05,0.0
201.0,180.0,5,0.841232598047619,0.0,0.0,0.0,3.062084888370009e-06,2.1119237717357462e-05,0.0
201.0,180.0,6,0.8411030535571429,0.0,0.0,7.898549483797979e-07,9.206149752571945e-06,0.0,0.0
201.0,180.0,7,0.8409735090666667,0.0,1.5328279914683662e-07,2.614810887280328e-06,4.846414776693568e-07,0.0,0.0
201.0,180.0,8,0.8408439645761905,6.705656687699957e-09,6.017043665451638e-07,6.096352535678306e-07,0.0,0.0,4.088004715144782e-15
201.0,180.0,9,0.8407144200857143,7.628031880813069e-08,3.7579076661131694e-07,0.0,0.0,0.0,0.0
201.0,180.0,10,0.8405848755952381,1.8486028238839935e-07,0.0,0.0,0.0,0.0,0.0
201.0,180.0,11,0.8404553311047619,0.0,0.0,0.0,0.0,0.0,0.0
201.0,180.0,12,0.8403257866142857,0.0,0.0,0.0,0.0,0.0,0.0
201.0,180.0,13,0.8401962421238095,0.0,0.0,0.0,0.0,0.0,0.0
201.0,180.0,14,0.8400666976333333,0.0,0.0,0.0,0.0,0.0,0.0
201.0,180.0,15,0.8399371531428571,0.0,0.0,0.0,0.0,0.0,0.0
201.0,180.0,16,0.839807608652381,0.0,0.0,0.0,0.0,0.0,0.0
201.0,200.0,0,0.8418803205,0.0,0.0,0.0,0.0,0.0,0.0
201.0,200.0,1,0.8417507760095237,0.0,0.0,0.0,0.0,0.0,0.0
201.0,200.0,2,0.8416212315190476,0.0,0.0,0.0,0.0,0.0,0.0
201.0,200.0,3,0.8414916870285714,0.0,0.0,0.0,0.0,9.44386119954288e-06,0.0
201.0,200.0,4,0.8413621425380952,0.0,0.0,0.0,0.0,2.1119237717357462e-05,0.0
201.0,200.0,5,0.841232598047619,0.0,0.0,0.0,9.048178762895986e-06,0.0,0.0
201.0,200.0,6,0.8411030535571429,0.0,0.0,2.4232073883467817e-06,4.846414776693568e-07,0.0,5.871934046938431e-12
201.0,200.0,7,0.8409735090666667,0.0,4.877082028542646e-07,6.096352535678306e-07,0.0,0.0,3.716551423927131e-13
201.0,200.0,8,0.8408439645761905,2.210533921243041e-08,3.7579076661131694e-07,0.0,0.0,0.0,0.0
201.0,200.0,9,0.8407144200857143,1.8486028238839935e-07,0.0,0.0,0.0,0.0,0.0
201.0,200.0,10,0.8405848755952381,0.0,0.0,0.0,0.0,0.0,0.0
201.0,200.0,11,0.8404553311047619,0.0,0.0,0.0,0.0,0.0,0.0
201.0,200.0,12,0.8403257866142857,0.0,0.0,0.0,0.0,0.0,0.0
201.0,200.0,13,0.8401962421238095,0.0,0.0,0.0,0.0,0.0,0.0
201.0,200.0,14,0.8400666976333333,0.0,0.0,0.0,0.0,0.0,0.0
201.0,200.0,15,0.8399371531428571,0.0,0.0,0.0,0.0,0.0,0.0
201.0,200.0,16,0.839807608652381,0.0,0.0,0.0,0.0,0.0,0.0
201.0,220.0,0,0.8418803205,0.0,0.0,0.0,0.0,0.0,0.0
201.0,220.0,1,0.8417507760095237,0.0,0.0,0.0,0.0,0.0,0.0
201.0,220.0,2,0.8416212315190476,0.0,0.0,0.0,0.0,0.0,0.0
201.0,220.0,3,0.8414916870285714,0.0,0.0,0.0,0.0,9.44386119954288e-06,0.0
201.0,220.0,4,0.8413621425380952,0.0,0.0,0.0,0.0,4.5617312498507086e-05,0.0
201.0,220.0,5,0.841232598047619,0.0,0.0,0.0,9.048178762895986e-06,5.7135396637022496e-05,0.0
201.0,220.0,6,0.8411030535571429,0.0,0.0,2.4232073883467817e-06,2.597465760118212e-05,0.0,0.0
201.0,220.0,7,0.8409735090666667,0.0,4.877082028542646e-07,7.708469865974621e-06,1.4197669224813583e-06,0.0,0.0
201.0,220.0,8,0.8408439645761905,2.210533921243041e-08,1.8596988934405089e-06,1.8548851585364899e-06,0.0,0.0,0.0
201.0,220.0,9,0.8407144200857143,2.5463647489232245e-07,1.1861952725666925e-06,0.0,0.0,0.0,0.0
201.0,220.0,10,0.8405848755952381,6.047431270417291e-07,0.0,0.0,0.0,0.0,0.0
201.0,220.0,11,0.8404553311047619,0.0,0.0,0.0,0.0,0.0,0.0
201.0,220.0,12,0.8403257866142857,0.0,0.0,0.0,0.0,0.0,0.0
201.0,220.0,13,0.8401962421238095,0.0,0.0,0.0,0.0,0.0,0.0
201.0,220.0,14,0.8400666976333333,0.0,0.0,0.0,0.0,0.0,0.0
201.0,220.0,15,0.8399371531428571,0.0,0.0,0.0,0.0,0.0,0.0
201.0,220.0,16,0.839807608652381,0.0,0.0,0.0,0.0,0.0,0.0
235.0,180.0,0,0.9842991002,0.0,0.0,0.0,3.4616052835190194e-07,6.6341632650619384e-06,0.0
235.0,180.0,1,0.9841694865583334,0.0,0.0,0.0,1.4086165570006412e-06,2.588778352219399e-07,0.0
235.0,180.0,2,0.9840398729166666,0.0,0.0,1.07103213906612e-07,6.786141020711513e-07,0.0,0.0
235.0,180.0,3,0.983910259275,0.0,1.7560777706648922e-08,4.1130657820076536e-07,0.0,0.0,0.0
235.0,180.0,4,0.9837806456333333,0.0,7.755186396707375e-08,1.3083690646453666e-08,0.0,0.0,0.0
235.0,180.0,5,0.9836510319916667,4.40098905585274e-09,3.357173227414016e-08,0.0,0.0,0.0,0.0
235.0,180.0,6,0.9835214183500001,1.873838007160347e-08,0.0,0.0,0.0,0.0,0.0
235.0,180.0,7,0.9833918047083333,4.809906073432915e-10,0.0,0.0,0.0,0.0,0.0
235.0,180.0,8,0.9832621910666667,0.0,0.0,0.0,0.0,0.0,0.0
235.0,180.0,9,0.983132577425,0.0,0.0,0.0,0.0,0.0,0.0
235.0,180.0,10,0.9830029637833333,0.0,0.0,0.0,0.0,0.0,0.0
235.0,180.0,11,0.9828733501416667,0.0,0.0,0.0,0.0,0.0,0.0
235.0,180.0,12,0.9827437365,0.0,0.0,0.0,0.0,0.0,0.0
235.0,180.0,13,0.9826141228583334,0.0,0.0,0.0,0.0,0.0,0.0
235.0,180.0,14,0.9824845092166667,0.0,0.0,0.0,0.0,0.0,0.0
235.0,180.0,15,0.982354895575,0.0,0.0,0.0,0.0,4.742016404634337e-06,0.0
235.0,180.0,16,0.9822252819333334,0.0,0.0,0.0,8.800644209259188e-07,1.5679208931032906e-05,0.0
