f_hz,mode_id,k_mod,k_prt,abs_diff,pass,zs,M_mod,M_prt,note
201.0,0.0,0.8418803215026855,0.8418803205,1.0026856012146368e-09,True,,,,
201.0,21.0,0.8391599059104919,0.8391598862,1.9710491905300387e-08,True,,,,
201.0,42.0,0.8365350365638733,0.8365350659,2.933612675004582e-08,True,,,,
201.0,63.0,0.8338152170181274,0.8338152179,8.818725749648593e-10,True,,,,
201.0,84.0,0.8303481936454773,0.8303482135,1.9854522692597243e-08,True,,,,
201.0,105.0,0.8263131976127625,0.826313184,1.3612762472803297e-08,True,,,,
201.0,126.0,0.8218125104904175,0.8218125022,8.29041746364112e-09,True,,,,
201.0,147.0,0.8168994188308716,0.8168994395,2.06691284088123e-08,True,,,,
201.0,168.0,0.8116081953048706,0.811608218,2.269512944241825e-08,True,,,,
201.0,189.0,0.8059628009796143,0.8059628048,3.820385785502367e-09,True,,,,
201.0,210.0,0.7999808192253113,0.7999808158,3.425311256854968e-09,True,,,,
201.0,231.0,0.7936754822731018,0.7936754729,9.37310185022966e-09,True,,,,
201.0,252.0,0.7870569825172424,0.7870570045,2.198275761422508e-08,True,,,,
201.0,273.0,0.7816386818885803,0.7816386687,1.318858033894088e-08,True,,,,
201.0,294.0,0.7785924077033997,0.7785923792,2.8503399640555926e-08,True,,,,
201.0,315.0,0.7760254740715027,0.7760254962,2.212849736782374e-08,True,,,,
201.0,336.0,0.7737098932266235,0.7737099139,2.067337645517142e-08,True,,,,
201.0,357.0,0.7714682221412659,0.77146825,2.7858734097385707e-08,True,,,,
201.0,378.0,0.7685637474060059,0.7685637633,1.5893994120830257e-08,True,,,,
201.0,399.0,0.7651776671409607,0.7651776429,2.4240960683208357e-08,True,,,,
201.0,420.0,0.7613925337791443,0.7613925172,1.657914427966034e-08,True,,,,
201.0,441.0,0.7572447657585144,0.7572447386,2.7158514437353176e-08,True,,,,
201.0,462.0,0.7527554631233215,0.7527554754,1.227667845160596e-08,True,,,,
201.0,483.0,0.7479378581047058,0.7479378592,1.0952941886799294e-09,True,,,,
