f_hz,zs,M,Nphi,z_min,z_max,n_allzero_modes,all_finite,phi_200_nonzero,pass
201.0,180.0,641,16,0.0,5000.0,0,True,True,True
201.0,200.0,641,16,0.0,5000.0,0,True,True,True
201.0,220.0,641,16,0.0,5000.0,0,True,True,True
235.0,180.0,749,16,0.0,5000.0,0,True,True,True
235.0,200.0,749,16,0.0,5000.0,0,True,True,True
235.0,220.0,749,16,0.0,5000.0,0,True,True,True
338.0,180.0,1078,16,0.0,5000.0,0,True,True,True
338.0,200.0,1078,16,0.0,5000.0,0,True,True,True
338.0,220.0,1078,16,0.0,5000.0,0,True,True,True
