f_hz,zs,mode_id,k_mod,k_prt,abs_diff,pass
201.0,180.0,0,0.8418803215026855,0.8418803205,1.0026856012146368e-09,True
201.0,180.0,21,0.8391599059104919,0.8391598862,1.9710491905300387e-08,True
201.0,180.0,42,0.8365350365638733,0.8365350659,2.933612675004582e-08,True
201.0,180.0,63,0.8338152170181274,0.8338152179,8.818725749648593e-10,True
201.0,180.0,84,0.8303481936454773,0.8303482135,1.9854522692597243e-08,True
201.0,180.0,105,0.8263131976127625,0.826313184,1.3612762472803297e-08,True
201.0,180.0,126,0.8218125104904175,0.8218125022,8.29041746364112e-09,True
201.0,180.0,147,0.8168994188308716,0.8168994395,2.06691284088123e-08,True
201.0,200.0,0,0.8418803215026855,0.8418803205,1.0026856012146368e-09,True
201.0,200.0,21,0.8391599059104919,0.8391598862,1.9710491905300387e-08,True
201.0,200.0,42,0.8365350365638733,0.8365350659,2.933612675004582e-08,True
201.0,200.0,63,0.8338152170181274,0.8338152179,8.818725749648593e-10,True
201.0,200.0,84,0.8303481936454773,0.8303482135,1.9854522692597243e-08,True
201.0,200.0,105,0.8263131976127625,0.826313184,1.3612762472803297e-08,True
201.0,200.0,126,0.8218125104904175,0.8218125022,8.29041746364112e-09,True
201.0,200.0,147,0.8168994188308716,0.8168994395,2.06691284088123e-08,True
201.0,220.0,0,0.8418803215026855,0.8418803205,1.0026856012146368e-09,True
201.0,220.0,21,0.8391599059104919,0.8391598862,1.9710491905300387e-08,True
201.0,220.0,42,0.8365350365638733,0.8365350659,2.933612675004582e-08,True
201.0,220.0,63,0.8338152170181274,0.8338152179,8.818725749648593e-10,True
201.0,220.0,84,0.8303481936454773,0.8303482135,1.9854522692597243e-08,True
201.0,220.0,105,0.8263131976127625,0.826313184,1.3612762472803297e-08,True
201.0,220.0,126,0.8218125104904175,0.8218125022,8.29041746364112e-09,True
201.0,220.0,147,0.8168994188308716,0.8168994395,2.06691284088123e-08,True
235.0,180.0,0,0.9842991232872009,0.9842991002,2.308720092880634e-08,True
235.0,180.0,24,0.9811883568763733,0.9811883728,1.592362675051362e-08,True
235.0,180.0,48,0.978184700012207,0.9781847007,6.877929337179012e-10,True
235.0,180.0,72,0.9751200675964355,0.9751200532,1.4396435599195456e-08,True
235.0,180.0,96,0.9712221026420593,0.9712221235,2.0857940707941225e-08,True
235.0,180.0,120,0.9666723012924194,0.9666722877,1.359241941223388e-08,True
235.0,180.0,144,0.961592972278595,0.9615929922,1.992140508111362e-08,True
235.0,180.0,168,0.9560465216636658,0.9560465316,9.93633419987816e-09,True
235.0,200.0,0,0.9842991232872009,0.9842991002,2.308720092880634e-08,True
235.0,200.0,24,0.9811883568763733,0.9811883728,1.592362675051362e-08,True
235.0,200.0,48,0.978184700012207,0.9781847007,6.877929337179012e-10,True
235.0,200.0,72,0.9751200675964355,0.9751200532,1.4396435599195456e-08,True
235.0,200.0,96,0.9712221026420593,0.9712221235,2.0857940707941225e-08,True
235.0,200.0,120,0.9666723012924194,0.9666722877,1.359241941223388e-08,True
235.0,200.0,144,0.961592972278595,0.9615929922,1.992140508111362e-08,True
235.0,200.0,168,0.9560465216636658,0.9560465316,9.93633419987816e-09,True
235.0,220.0,0,0.9842991232872009,0.9842991002,2.308720092880634e-08,True
235.0,220.0,24,0.9811883568763733,0.9811883728,1.592362675051362e-08,True
235.0,220.0,48,0.978184700012207,0.9781847007,6.877929337179012e-10,True
235.0,220.0,72,0.9751200675964355,0.9751200532,1.4396435599195456e-08,True
235.0,220.0,96,0.9712221026420593,0.9712221235,2.0857940707941225e-08,True
235.0,220.0,120,0.9666723012924194,0.9666722877,1.359241941223388e-08,True
