f_hz,mean_n_peaks,mean_fwhm,mean_abs_err,mean_psl
201.0,2.0,50.0,50.0,0.48000000000000015
235.0,3.0,50.0,50.0,0.48165275169416183
338.0,3.0,48.666666666666664,50.0,0.49333333333333335
