f_hz,zs_true,L_m,z_hat_m,err_z_m,fwhm_local_m,psl,n_peaks,delta,method
201.0,180.0,1200.0,180.0,0.0,48.0,0.9996352095307501,1,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
201.0,180.0,2400.0,180.0,0.0,48.0,0.9996352095307501,1,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
201.0,200.0,1200.0,206.0,6.0,10.0,0.30607486457367256,1,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
201.0,200.0,2400.0,206.0,6.0,10.0,0.30607486457367256,1,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
201.0,220.0,1200.0,150.0,-70.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
201.0,220.0,2400.0,150.0,-70.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
235.0,180.0,1200.0,150.0,-30.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
235.0,180.0,2400.0,150.0,-30.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
235.0,200.0,1200.0,200.0,0.0,6.0,0.35865435462840306,1,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
235.0,200.0,2400.0,200.0,0.0,6.0,0.35865435462840306,1,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
235.0,220.0,1200.0,150.0,-70.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
235.0,220.0,2400.0,150.0,-70.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
283.0,180.0,1200.0,150.0,-30.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
283.0,180.0,2400.0,150.0,-30.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
283.0,200.0,1200.0,200.0,0.0,4.0,0.47703692529174335,1,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
283.0,200.0,2400.0,200.0,0.0,4.0,0.47703692529174335,1,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
283.0,220.0,1200.0,150.0,-70.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
283.0,220.0,2400.0,150.0,-70.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
338.0,180.0,1200.0,150.0,-30.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
338.0,180.0,2400.0,150.0,-30.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
338.0,200.0,1200.0,200.0,0.0,6.0,0.43476513114813015,1,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
338.0,200.0,2400.0,200.0,0.0,4.0,0.2373913043477958,1,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
338.0,220.0,1200.0,150.0,-70.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
338.0,220.0,2400.0,150.0,-70.0,0.0,0.0,0,0.0,YANG_FORMULA_RECOVERY_PARTIAL modal-peak depth score δ=0
