f_hz,zs_true,L_m,z_hat_m,err_z_m,fwhm_local_m,psl,n_peaks,delta,method
201.0,180.0,1200.0,250.0,70.0,48.0,0.49999999999999983,4,0.0,YANG_FORMULA_RECOVERY_PARTIAL
201.0,180.0,2400.0,250.0,70.0,50.0,0.48000000000000015,2,0.0,YANG_FORMULA_RECOVERY_PARTIAL
201.0,200.0,1200.0,250.0,50.0,50.0,0.48000000000000015,4,0.0,YANG_FORMULA_RECOVERY_PARTIAL
201.0,200.0,2400.0,250.0,50.0,50.0,0.4800000000000002,2,0.0,YANG_FORMULA_RECOVERY_PARTIAL
201.0,220.0,1200.0,250.0,30.0,50.0,0.47999999999999987,4,0.0,YANG_FORMULA_RECOVERY_PARTIAL
201.0,220.0,2400.0,250.0,30.0,50.0,0.48,2,0.0,YANG_FORMULA_RECOVERY_PARTIAL
235.0,180.0,1200.0,250.0,70.0,50.0,0.47999999999999976,3,0.0,YANG_FORMULA_RECOVERY_PARTIAL
235.0,180.0,2400.0,250.0,70.0,50.0,0.48495825508248547,3,0.0,YANG_FORMULA_RECOVERY_PARTIAL
235.0,200.0,1200.0,250.0,50.0,50.0,0.4800000000000001,3,0.0,YANG_FORMULA_RECOVERY_PARTIAL
235.0,200.0,2400.0,250.0,50.0,50.0,0.4800000000000002,3,0.0,YANG_FORMULA_RECOVERY_PARTIAL
235.0,220.0,1200.0,250.0,30.0,50.0,0.48000000000000004,3,0.0,YANG_FORMULA_RECOVERY_PARTIAL
235.0,220.0,2400.0,250.0,30.0,50.0,0.47999999999999987,3,0.0,YANG_FORMULA_RECOVERY_PARTIAL
338.0,180.0,1200.0,250.0,70.0,50.0,0.4800000000000001,4,0.0,YANG_FORMULA_RECOVERY_PARTIAL
338.0,180.0,2400.0,250.0,70.0,48.0,0.49999999999999994,3,0.0,YANG_FORMULA_RECOVERY_PARTIAL
338.0,200.0,1200.0,250.0,50.0,48.0,0.49999999999999994,4,0.0,YANG_FORMULA_RECOVERY_PARTIAL
338.0,200.0,2400.0,250.0,50.0,48.0,0.4999999999999999,3,0.0,YANG_FORMULA_RECOVERY_PARTIAL
338.0,220.0,1200.0,250.0,30.0,50.0,0.48000000000000004,4,0.0,YANG_FORMULA_RECOVERY_PARTIAL
338.0,220.0,2400.0,250.0,30.0,50.0,0.4800000000000001,3,0.0,YANG_FORMULA_RECOVERY_PARTIAL
