zs,zr,n_detected,n_selected,selected_mode_ids,z_hat,abs_error,D_true_over_Dmax,second_peak_depth,second_peak_ratio,overall_ok,note
4.0,18.0,32,10,17;16;15;14;13;12;11;10;9;8,5.0,1.0,0.8836889115016894,37.0,0.06141115035712084,True,
4.0,70.0,44,10,16;15;14;13;12;11;10;9;8;7,5.0,1.0,0.873683748247713,87.0,0.10169693506717808,True,
50.0,18.0,36,13,16;15;14;13;12;11;10;9;8;7;6;5;4,43.0,7.0,0.8608130037338348,43.0,0.8630554678149144,False,fidelity gate
50.0,70.0,38,14,15;14;13;11;10;9;8;7;6;5;4;3;2;1,50.0,0.0,1.0,80.0,0.2370669591710006,True,
