zs,zr,Delta_ratio,n_detected,n_selected,selected_mode_ids,z_hat,abs_error,D_true_over_Dmax,second_peak_depth,second_peak_ratio
4.0,18.0,0.05,32,10,17;16;15;14;13;12;11;10;9;8,5.0,1.0,0.8827348908093916,37.0,0.0606890412207593
4.0,18.0,0.1,32,10,17;16;15;14;13;12;11;10;9;8,5.0,1.0,0.8836889115016894,37.0,0.0606856909266794
4.0,18.0,0.2,32,10,17;16;15;14;13;12;11;10;9;8,5.0,1.0,0.8855485009727594,37.0,0.06141115035712084
4.0,70.0,0.05,44,10,16;15;14;13;12;11;10;9;8;7,5.0,1.0,0.8677779214391259,87.0,0.10140400890170596
4.0,70.0,0.1,44,10,16;15;14;13;12;11;10;9;8;7,5.0,1.0,0.873683748247713,87.0,0.10145749479638555
4.0,70.0,0.2,44,10,16;15;14;13;12;11;10;9;8;7,5.0,1.0,0.8862977169617257,87.0,0.10169693506717808
50.0,18.0,0.05,36,13,16;15;14;13;12;11;10;9;8;7;6;5;4,43.0,7.0,0.5907169946031278,34.0,0.8755447055567825
50.0,18.0,0.1,36,13,16;15;14;13;12;11;10;9;8;7;6;5;4,43.0,7.0,0.8608130037338348,50.0,0.8608130037338348
50.0,18.0,0.2,36,13,16;15;14;13;12;11;10;9;8;7;6;5;4,50.0,0.0,1.0,43.0,0.8630554678149144
50.0,70.0,0.05,38,14,15;14;13;11;10;9;8;7;6;5;4;3;2;1,50.0,0.0,1.0,80.0,0.4447104194353914
50.0,70.0,0.1,38,14,15;14;13;11;10;9;8;7;6;5;4;3;2;1,50.0,0.0,1.0,80.0,0.3419057802774033
50.0,70.0,0.2,38,14,15;14;13;11;10;9;8;7;6;5;4;3;2;1,50.0,0.0,1.0,80.0,0.2370669591710006
