zs,zr,n,r0,r1,i,r,re,im
4.0,18.0,1997.0,5010.0,10000.0,,,,
4.0,18.0,,,,0.0,5010.0,0.0007230187184177339,0.0005319831543602049
4.0,18.0,,,,99.0,5257.5,-0.0001295631955144927,-5.944630174781196e-05
4.0,18.0,,,,198.0,5505.0,0.0006070866365917027,3.920477320207283e-05
4.0,18.0,,,,297.0,5752.5,-0.00028520519845187664,0.00034759624395519495
4.0,18.0,,,,396.0,6000.0,0.00019330583745613694,0.0002260519249830395
4.0,18.0,,,,495.0,6247.50048828125,-0.0003755684301722795,0.00023468399012926966
4.0,18.0,,,,594.0,6495.00048828125,0.00018676208856049925,-0.00033581917523406446
4.0,18.0,,,,693.0,6742.50048828125,-0.00036577723221853375,0.0003916714049410075
4.0,18.0,,,,792.0,6990.00048828125,-0.00030184074421413243,-0.0003969671088270843
4.0,18.0,,,,891.0,7237.5,0.00012492245878092945,0.00021874831872992218
4.0,18.0,,,,990.0,7485.0,-0.00015343666018452495,-0.0002764068194665015
4.0,18.0,,,,1089.0,7732.5,0.0003051876847166568,-0.0001226636813953519
4.0,18.0,,,,1188.0,7980.00048828125,-1.5014164091553539e-05,-0.0002337163605261594
4.0,18.0,,,,1287.0,8227.5,0.00033287747646681964,-3.371157799847424e-05
4.0,18.0,,,,1386.0,8475.0,-0.0001649965561227873,0.00017899050726555288
4.0,18.0,,,,1485.0,8722.5,0.00013259303523227572,6.806186138419434e-05
4.0,18.0,,,,1584.0,8970.0,-1.617724228708539e-05,0.00033700925996527076
4.0,18.0,,,,1683.0,9217.5009765625,3.0434977816184983e-05,-6.42669401713647e-05
4.0,18.0,,,,1782.0,9465.0,-3.187422771588899e-05,4.4050353608326986e-05
4.0,18.0,,,,1881.0,9712.5,-0.00019405984494369477,-9.579333709552884e-05
4.0,18.0,,,,1980.0,9960.0,-7.284890307346359e-05,7.392738189082593e-05
4.0,70.0,1997.0,5010.0,10000.0,,,,
4.0,70.0,,,,0.0,5010.0,-0.00025499644107185304,-2.1617535821860656e-05
4.0,70.0,,,,99.0,5257.5,-0.0008216645801439881,0.00034343634615652263
4.0,70.0,,,,198.0,5505.0,0.00010969373397529125,-1.3489011507772375e-05
4.0,70.0,,,,297.0,5752.5,0.00046253594337031245,6.670796574326232e-05
4.0,70.0,,,,396.0,6000.0,5.764863090007566e-05,-0.0002242544578621164
4.0,70.0,,,,495.0,6247.50048828125,-0.0001767434732755646,-0.00030501693254336715
4.0,70.0,,,,594.0,6495.00048828125,0.00013478157052304596,-4.153956979280338e-05
4.0,70.0,,,,693.0,6742.50048828125,-5.9004330978496e-05,0.00024296461197081953
4.0,70.0,,,,792.0,6990.00048828125,-5.072695785202086e-05,-9.083995246328413e-05
4.0,70.0,,,,891.0,7237.5,0.0001515563199063763,0.00011527279275469482
4.0,70.0,,,,990.0,7485.0,0.0001433850993635133,0.0001856288145063445
4.0,70.0,,,,1089.0,7732.5,-1.775873352016788e-05,4.0726961742620915e-05
4.0,70.0,,,,1188.0,7980.00048828125,-7.883810758357868e-05,-0.00022574285685550421
4.0,70.0,,,,1287.0,8227.5,-0.00012758016237057745,9.113565465668216e-05
4.0,70.0,,,,1386.0,8475.0,-0.00021254501189105213,3.794167787418701e-05
4.0,70.0,,,,1485.0,8722.5,0.00010126984125236049,-3.0278613849077374e-05
4.0,70.0,,,,1584.0,8970.0,6.425540777854621e-05,-9.181660425383598e-05
4.0,70.0,,,,1683.0,9217.5009765625,3.8884070818312466e-05,1.2057770618412178e-05
4.0,70.0,,,,1782.0,9465.0,-7.62980998842977e-05,-9.394530934514478e-06
4.0,70.0,,,,1881.0,9712.5,0.0001864676014520228,-5.907452214160003e-05
4.0,70.0,,,,1980.0,9960.0,-1.100285862776218e-05,-4.335853645898169e-06
50.0,18.0,1997.0,5010.0,10000.0,,,,
50.0,18.0,,,,0.0,5010.0,-0.0006744434940628707,-2.643062089191517e-06
50.0,18.0,,,,99.0,5257.5,-0.000702003831975162,-3.990361074102111e-05
50.0,18.0,,,,198.0,5505.0,-0.0005987243494018912,-0.0003074442793149501
50.0,18.0,,,,297.0,5752.5,0.0005070746992714703,1.8857386749004945e-05
50.0,18.0,,,,396.0,6000.0,0.0005530701600946486,6.855603714939207e-05
50.0,18.0,,,,495.0,6247.50048828125,0.000360978941898793,-4.776986315846443e-05
50.0,18.0,,,,594.0,6495.00048828125,-0.000215485822991468,-0.00012446314212866127
50.0,18.0,,,,693.0,6742.50048828125,-0.0003738093946594745,-0.00015332250040955842
50.0,18.0,,,,792.0,6990.00048828125,6.776417285436764e-05,9.611461791791953e-06
50.0,18.0,,,,891.0,7237.5,0.00022048775281291455,4.846300362260081e-05
50.0,18.0,,,,990.0,7485.0,0.0003320697578601539,0.00026470472221262753
50.0,18.0,,,,1089.0,7732.5,-1.3192934602557216e-05,0.00022528789122588933
50.0,18.0,,,,1188.0,7980.00048828125,-5.541107748285867e-05,0.00030162831535562873
50.0,18.0,,,,1287.0,8227.5,-0.00033845880534499884,-0.00019975357281509787
50.0,18.0,,,,1386.0,8475.0,-0.00013182613474782556,-0.00040538766188547015
