case,peak_id,k_peak,mode_id,k_true,delta_k,status
zs4.0_zr18.0,0,1.3478371963883027,17,1.3477357625961304,0.00010143379217231185,SELECTED
zs4.0_zr18.0,1,1.362396180379156,16,1.3623950481414795,1.1322376765043884e-06,SELECTED
zs4.0_zr18.0,2,1.3759321006301115,15,1.375969648361206,-3.75477310945449e-05,SELECTED
zs4.0_zr18.0,3,1.388602351562692,14,1.3885791301727295,2.322138996246892e-05,SELECTED
zs4.0_zr18.0,4,1.4001708415446132,13,1.4000681638717651,0.00010267767284810603,SELECTED
zs4.0_zr18.0,5,1.4019808773921247,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,6,1.403318729975068,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,7,1.4046565825580113,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,8,1.4059944351409546,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,9,1.4072535905131365,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,10,1.4086701403068411,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,11,1.4104801761543526,12,1.4104909896850586,-1.081353070597757e-05,SELECTED
zs4.0_zr18.0,12,1.4123689092126255,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,13,1.4137067617955688,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,14,1.415044614378512,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,15,1.4163824669614553,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,16,1.4177203195443986,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,17,1.41953035539191,11,1.4195870161056519,-5.666071374177406e-05,SELECTED
zs4.0_zr18.0,18,1.4213403912394216,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,19,1.4225995466116035,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,20,1.4238587019837854,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,21,1.425904829463581,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,22,1.4276361681003311,10,1.4275851249694824,5.104313084869361e-05,SELECTED
zs4.0_zr18.0,23,1.4319645146922064,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,24,1.433381064485911,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,25,1.4351911003334226,9,1.4351578950881958,3.3205245226763935e-05,SELECTED
zs4.0_zr18.0,26,1.4369224389701727,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,27,1.438260291553116,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,28,1.4395194469252979,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,29,1.4407786022974798,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr18.0,30,1.4429821241987981,8,1.44283926486969,0.00014285932910818033,SELECTED
zs4.0_zr18.0,31,1.4446347656247869,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,0,1.3624748775899174,16,1.3623950481414795,7.982944843787365e-05,SELECTED
zs4.0_zr70.0,1,1.3760107978408729,15,1.375969648361206,4.114947966682436e-05,SELECTED
zs4.0_zr70.0,2,1.377742136477623,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,3,1.3790799890605663,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,4,1.3804178416435096,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,5,1.3816769970156915,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,6,1.3829361523878734,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,7,1.3841953077600553,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,8,1.3855331603429986,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,9,1.3867923157151805,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,10,1.388602351562692,14,1.3885791301727295,2.322138996246892e-05,SELECTED
zs4.0_zr70.0,11,1.390333690199442,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,12,1.3916715427823854,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,13,1.3930093953653286,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,14,1.394347247948272,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,15,1.3956064033204538,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,16,1.396944255903397,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,17,1.3982821084863404,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,18,1.4000134471230905,13,1.4000681638717651,-5.47167486746325e-05,SELECTED
zs4.0_zr70.0,19,1.401823482970602,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,20,1.4031613355535453,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,21,1.4056009490871477,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,22,1.410558873365114,12,1.4104909896850586,6.788368005539169e-05,SELECTED
zs4.0_zr70.0,23,1.4124476064233868,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,24,1.4138641562170915,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,25,1.4152020088000348,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,26,1.416539861382978,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,27,1.41779901675516,-1,,,UNMATCHED_OR_AMBIGUOUS
