zs_true,zr,Delta_ratio,route,z_hat,global_peak_value,true_depth_value,second_peak_depth,second_peak_ratio,near_true
4.0,18.0,0.05,THEORY_CONTROL,5.0,0.17051080134721758,0.1528041068659366,11.0,0.05892636869736413,True
4.0,18.0,0.1,THEORY_CONTROL,5.0,0.17172633578603974,0.15326761014206383,11.0,0.055207939208246744,True
4.0,18.0,0.2,THEORY_CONTROL,5.0,0.1696415770828569,0.1512646747253125,11.0,0.05136567894942256,True
4.0,18.0,0.1,PAPER_DATA_SHADING_w100,5.0,0.16934303699200176,0.15338736312615728,,,True
4.0,18.0,0.1,PAPER_DATA_SHADING_w250,5.0,0.17626489905892126,0.16043491491546902,,,True
4.0,18.0,0.1,PAPER_DATA_SHADING_w500,5.0,0.17242520352851265,0.15500635356166845,,,True
4.0,70.0,0.05,THEORY_CONTROL,5.0,0.168431076224694,0.14775913841177682,11.0,0.06312381867471589,True
4.0,70.0,0.1,THEORY_CONTROL,5.0,0.16407193410727647,0.14450298569319256,11.0,0.06002795284488387,True
4.0,70.0,0.2,THEORY_CONTROL,5.0,0.15232265853458854,0.1355465988361082,27.0,0.058143724764666296,True
4.0,70.0,0.1,PAPER_DATA_SHADING_w100,5.0,0.15189082715263502,0.13245452554197282,,,True
4.0,70.0,0.1,PAPER_DATA_SHADING_w250,5.0,0.1535016630073304,0.13419370022276852,,,True
4.0,70.0,0.1,PAPER_DATA_SHADING_w500,5.0,0.16206964592596243,0.1421111710381141,,,True
50.0,18.0,0.05,THEORY_CONTROL,50.0,0.11987637301278167,0.11987637301278167,58.0,0.4837531258616096,True
50.0,18.0,0.1,THEORY_CONTROL,50.0,0.10934263095705578,0.10934263095705578,58.0,0.5381837286172633,True
50.0,18.0,0.2,THEORY_CONTROL,50.0,0.09727498070299301,0.09727498070299301,43.0,0.5981415167408275,True
50.0,18.0,0.1,PAPER_DATA_SHADING_w100,50.0,0.10183039894771555,0.10183039894771555,,,True
50.0,18.0,0.1,PAPER_DATA_SHADING_w250,50.0,0.1105381256512206,0.1105381256512206,,,True
50.0,18.0,0.1,PAPER_DATA_SHADING_w500,50.0,0.10882308675681708,0.10882308675681708,,,True
50.0,70.0,0.05,THEORY_CONTROL,50.0,0.148644023335704,0.148644023335704,44.0,0.07839346538000255,True
50.0,70.0,0.1,THEORY_CONTROL,50.0,0.14833677603671544,0.14833677603671544,44.0,0.07584613070518131,True
50.0,70.0,0.2,THEORY_CONTROL,50.0,0.14296486018347832,0.14296486018347832,44.0,0.08346512550938985,True
50.0,70.0,0.1,PAPER_DATA_SHADING_w100,50.0,0.15891688180224361,0.15891688180224361,,,True
50.0,70.0,0.1,PAPER_DATA_SHADING_w250,50.0,0.1594238143108055,0.1594238143108055,,,True
50.0,70.0,0.1,PAPER_DATA_SHADING_w500,50.0,0.15836658837958592,0.15836658837958592,,,True
